title         = ASCII CSV version of worksheet 33, "Coal: Consumption" from the 2014 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2014/BP_2014_coal_consumption_mtoe.csv
original data = http://www.bp.com/content/dam/bp/excel/Energy-Economics/statistical-review-2014/BP-Statistical_Review_of_world_energy_2014_workbook.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.9,4.7,16.0,"na",0.0,19.2,6.0,512.1,328.2,548.7,2.7,10.8,883.0,339.9,0.0,0.1,27.9,234.8,854.9,0.2,308.0,5.9,1431.7,1.7,"na",15.5,1.2,1.2,114.4,2.0,35.3,163.5,2.1,0.1,0.0,0.4,9.6,2.0,45.1,117.4,2.1,0.1,10.9,0.1,2.2,0.0,35.5,0.2,8.6,43.6,5.0,0.0,"na","na",0.7,0.0,9.5,0.8,1.6,0.0,0.0,1.4,59.5,0.6,0.0,4.1,"na",0.0,1.2,0.0,5.8,0.0,"na",3.7,0.0,3.0,"na",291.8,"na",0.0,3.2,24.7
1966,0.0,0.9,4.4,16.6,"na",0.0,17.5,6.2,489.8,341.5,570.8,2.9,11.5,877.5,352.8,0.0,0.1,27.6,246.6,845.9,0.2,321.9,6.1,1448.3,1.9,"na",15.2,0.9,1.2,122.4,2.0,35.2,152.7,2.4,0.1,0.0,0.3,9.1,1.9,41.3,111.7,2.1,0.1,10.5,0.2,2.5,0.0,35.5,0.2,9.0,45.5,5.6,0.0,"na","na",0.7,0.0,8.6,0.7,1.6,0.0,0.0,1.2,60.3,0.6,0.0,4.4,"na",0.0,1.2,0.0,5.9,0.1,"na",4.1,0.0,3.0,"na",306.0,"na",0.0,3.4,24.3
1967,0.0,0.9,4.0,17.1,"na",0.0,17.2,6.7,475.9,345.5,564.4,2.9,12.6,861.6,355.6,0.0,0.1,28.4,240.4,834.3,0.3,316.2,6.4,1426.0,1.9,"na",15.0,0.7,1.2,108.8,2.2,34.1,147.1,2.2,0.1,0.0,0.4,8.9,1.8,41.8,104.4,2.0,0.1,9.1,0.1,2.6,0.0,36.1,0.3,9.8,50.9,5.3,0.0,"na","na",0.9,0.0,8.3,0.7,1.5,0.0,0.0,1.1,61.4,0.6,0.0,4.8,"na",0.0,1.1,0.0,5.7,0.1,"na",3.6,0.0,3.0,"na",300.2,"na",0.0,3.7,25.0
1968,0.0,0.9,4.0,17.5,"na",0.0,17.7,7.3,483.3,340.5,564.2,3.2,13.8,883.1,351.0,0.0,0.1,29.9,245.7,837.2,0.3,328.0,6.2,1447.2,1.9,"na",16.3,0.6,1.2,108.0,2.0,35.3,149.2,2.5,0.1,0.0,0.4,9.4,2.2,40.0,104.5,2.3,0.1,9.0,0.1,3.1,0.0,37.3,0.3,9.5,53.9,5.0,0.0,"na","na",0.9,0.0,7.6,0.8,1.4,0.0,0.0,1.2,64.3,0.5,0.0,5.3,"na",0.0,1.1,0.0,6.0,0.1,"na",3.9,0.0,3.0,"na",310.7,"na",0.0,4.1,26.2
1969,0.0,0.9,3.8,18.0,"na",0.0,17.3,7.3,489.2,335.5,586.3,3.2,14.9,894.1,346.1,0.0,0.1,30.2,276.3,838.3,0.3,328.7,6.6,1480.4,2.1,"na",15.8,0.6,1.2,130.4,2.1,36.6,153.6,2.2,0.1,0.0,0.5,9.3,2.6,39.8,101.8,2.2,0.0,9.1,0.1,2.9,0.0,39.6,0.3,9.8,58.2,5.3,0.0,"na","na",1.0,0.0,6.7,0.8,1.4,0.0,0.0,1.1,67.6,0.5,0.0,6.1,"na",0.0,1.1,0.0,6.3,0.1,"na",4.2,0.0,2.8,"na",312.0,"na",0.0,4.4,26.5
1970,0.0,1.0,4.0,18.0,"na",0.0,16.3,8.0,480.2,331.5,619.8,3.2,16.1,885.0,342.5,0.0,0.1,31.1,313.4,825.9,0.3,327.1,7.0,1504.8,2.4,"na",16.9,0.4,1.3,165.9,2.2,37.1,151.7,2.0,0.1,0.0,0.4,9.7,2.5,37.8,96.0,2.5,0.0,9.2,0.1,0.9,0.0,37.6,0.3,9.9,60.2,5.6,0.0,"na","na",1.1,0.0,4.8,0.9,1.4,0.0,0.0,0.9,70.2,0.5,0.0,6.7,"na",0.0,1.5,0.0,6.3,0.1,"na",4.6,0.0,2.7,"na",309.1,"na",0.0,4.7,27.4
1971,0.0,0.9,3.5,17.9,"na",0.0,13.5,7.9,457.0,339.1,658.1,3.8,17.6,837.5,350.9,0.0,0.1,33.4,334.4,811.1,0.4,309.7,6.6,1495.6,2.4,"na",16.1,0.2,1.2,191.3,1.9,38.7,144.5,1.4,0.0,0.0,0.4,10.0,2.2,33.8,85.1,3.7,0.0,8.9,0.1,0.7,0.0,38.1,0.4,9.5,53.9,5.7,0.0,"na","na",1.4,0.0,3.6,0.8,1.3,0.0,0.0,0.7,71.8,0.4,0.0,7.0,"na",0.0,1.5,0.0,6.6,0.2,"na",4.8,0.0,2.4,"na",292.3,"na",0.0,5.1,29.2
1972,0.0,0.9,3.6,18.7,"na",0.1,12.9,8.2,438.9,355.1,688.9,3.9,18.1,827.6,366.6,0.0,0.1,33.7,345.7,809.2,0.6,321.0,6.3,1516.6,2.4,"na",15.2,0.2,1.0,202.3,1.8,38.1,140.1,1.3,0.0,0.0,0.3,10.0,1.8,29.5,74.5,4.0,0.0,8.7,0.1,0.7,0.0,40.2,0.6,8.9,50.5,5.8,0.0,"na","na",1.5,0.1,3.1,0.9,1.3,0.1,0.0,0.6,75.1,0.4,0.0,7.6,"na",0.0,1.5,0.0,6.6,0.1,"na",5.0,0.0,2.3,"na",304.3,"na",0.0,5.4,29.5
1973,0.0,0.9,3.5,19.6,"na",0.1,10.8,8.2,446.3,355.3,695.9,3.9,18.5,863.1,367.2,0.0,0.1,35.6,354.6,817.2,0.7,344.1,6.6,1559.0,2.4,"na",15.6,0.2,1.1,205.0,2.1,37.3,141.2,1.8,0.0,0.0,0.3,9.9,2.0,29.4,80.7,4.7,0.0,8.7,0.1,0.8,0.0,39.7,0.7,9.0,53.7,7.4,0.0,"na","na",1.6,0.1,3.1,0.9,1.5,0.1,0.0,0.6,75.5,0.6,0.0,8.5,"na",0.0,1.6,0.0,6.4,0.1,"na",5.1,0.0,2.1,"na",326.9,"na",0.0,6.3,31.4
1974,0.0,1.1,3.4,20.7,"na",0.1,11.5,8.1,439.6,355.5,703.1,3.7,19.3,853.9,367.9,0.0,0.1,37.1,363.8,811.5,0.8,336.7,7.1,1557.1,2.5,"na",15.9,0.1,1.1,202.8,2.3,37.1,139.6,2.1,0.0,0.0,0.5,9.2,2.1,30.3,71.1,4.9,0.0,8.3,0.1,0.8,0.0,44.8,0.8,9.8,57.3,7.6,0.0,"na","na",1.8,0.1,2.9,1.0,1.5,0.1,0.0,0.5,77.6,0.4,0.0,9.2,"na",0.0,1.9,0.0,6.4,0.1,"na",5.5,0.0,2.1,"na",319.1,"na",0.0,6.7,32.9
