title         = ASCII CSV version of worksheet 21, "Natural Gas: Production" from the 2014 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2014/BP_2014_gas_production_mtoe.csv
original data = http://www.bp.com/content/dam/bp/excel/Energy-Economics/statistical-review-2014/BP-Statistical_Review_of_world_energy_2014_workbook.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,0.8,5.4,1.6,"na",0.0,0.6,0.2,0.0,91.6,161.2,221.7,0.1,4.9,681.8,174.1,0.1,0.6,2.6,14.1,253.7,9.7,607.1,16.3,903.5,0.1,51.0,2.6,1.2,9.9,0.0,2.3,0.1,9.4,1.1,0.6,0.7,3.3,10.8,1.8,"na",0.0,0.0,10.1,0.0,0.1,24.0,0.0,0.0,0.4,3.1,4.4,0.9,21.0,"na",1.5,0.0,0.0,"na",1.6,"na",546.0,"na",6.9,0.0,0.0
1971,1.3,5.9,2.3,"na",0.4,0.8,0.2,0.0,111.7,173.0,244.1,0.1,5.6,721.6,186.5,0.1,0.7,4.1,16.8,285.8,15.2,627.3,16.7,965.7,0.1,55.8,3.4,1.2,12.4,0.0,2.4,0.1,15.6,1.1,0.6,0.8,8.1,11.0,1.9,"na",1.3,0.0,10.0,0.0,0.2,33.2,0.0,0.0,0.4,3.1,4.5,0.9,22.4,"na",1.2,0.0,0.0,"na",1.6,"na",561.4,"na",6.7,0.0,0.0
1972,1.3,5.6,3.4,"na",0.4,1.0,0.4,1.0,133.9,180.3,260.4,0.1,6.1,750.3,194.5,0.1,0.6,6.4,19.3,315.6,18.8,633.1,17.6,1010.7,0.2,63.0,4.4,1.5,14.8,0.0,3.0,0.1,22.6,1.1,0.7,0.8,10.9,11.7,2.2,"na",2.9,0.0,10.4,0.0,0.2,44.2,0.0,0.0,0.4,2.9,4.8,1.0,23.0,"na",1.4,0.0,0.0,"na",1.7,"na",559.6,"na",6.7,0.0,0.0
1973,1.6,6.1,4.3,"na",0.5,1.4,1.8,1.5,150.3,192.5,283.6,0.3,6.3,771.2,207.6,0.0,0.5,8.2,23.0,344.3,21.4,638.0,20.0,1054.8,0.2,67.5,5.4,1.5,16.7,0.0,4.0,0.1,24.5,0.7,0.7,0.8,12.0,12.6,2.5,"na",3.4,0.0,11.4,0.0,0.4,53.8,0.0,0.0,0.4,3.3,4.9,1.4,24.3,"na",1.6,0.0,0.0,"na",1.6,"na",559.1,"na",8.2,0.0,0.0
1974,1.6,6.5,4.9,"na",0.6,1.8,3.8,1.5,166.9,212.3,311.5,0.4,6.6,762.1,227.6,0.1,0.6,8.6,28.2,380.8,22.5,612.5,21.1,1073.6,0.3,66.1,6.8,1.5,17.5,0.0,4.7,0.1,29.6,1.0,0.8,0.8,12.5,12.6,2.6,"na",3.1,0.2,11.9,0.0,0.4,63.8,0.0,0.0,0.4,3.7,4.7,1.2,25.1,"na",2.0,0.0,0.0,"na",1.5,"na",534.5,"na",8.7,0.0,0.0
