title         = ASCII CSV version of worksheet 37, "Hydroelectricity: Consumption" from the 2014 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2014/BP_2014_hydro_consumption_mtoe.csv
original data = http://www.bp.com/content/dam/bp/excel/Energy-Economics/statistical-review-2014/BP-Statistical_Review_of_world_energy_2014_workbook.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.3,3.9,1.7,"na",0.0,0.1,0.5,50.1,19.3,47.6,2.0,2.5,161.2,21.6,0.0,0.8,2.5,34.4,88.8,0.4,73.5,9.2,208.8,5.4,"na",26.5,5.5,0.9,5.0,0.8,0.5,3.7,0.0,0.1,0.1,0.4,4.5,2.2,10.6,1.0,0.2,0.0,0.0,0.4,0.2,0.0,4.3,0.4,10.4,15.8,0.2,0.0,"na","na",2.0,0.1,0.0,11.2,2.3,0.6,0.2,0.5,0.2,0.9,0.0,0.2,"na",0.0,10.5,0.0,0.5,0.2,"na",0.5,0.0,0.8,"na",45.0,"na",0.3,0.3,0.0
1966,0.0,0.3,3.9,1.7,"na",0.0,0.1,0.5,54.2,21.8,52.0,2.1,2.5,171.4,24.2,0.1,1.1,2.6,37.3,96.2,0.5,76.7,10.2,223.4,5.9,"na",29.1,6.2,0.9,5.1,0.9,0.5,4.0,0.0,0.1,0.1,0.4,6.3,2.4,11.8,1.0,0.4,0.0,0.0,0.5,0.2,0.0,4.5,0.4,10.7,18.1,0.2,0.0,"na","na",2.3,0.2,0.0,11.0,2.4,0.6,0.2,0.5,0.2,1.2,0.0,0.2,"na",0.0,10.3,0.0,0.5,0.3,"na",0.5,0.0,0.9,"na",45.2,"na",0.3,0.3,0.0
1967,0.0,0.3,4.0,1.7,"na",0.0,0.1,0.5,52.3,21.0,52.6,2.3,2.5,176.2,23.7,0.1,1.2,2.9,35.1,95.3,0.5,84.0,10.8,228.7,6.2,"na",30.1,6.8,1.0,4.4,1.0,0.4,3.8,0.0,0.1,0.1,0.4,5.2,2.7,10.3,1.1,0.4,0.0,0.0,0.6,0.2,0.0,5.1,0.5,10.4,15.6,0.2,0.0,"na","na",2.5,0.2,0.0,12.1,2.5,0.7,0.2,0.6,0.2,1.2,0.0,0.3,"na",0.0,11.2,0.0,0.4,0.4,"na",0.5,0.0,0.8,"na",51.4,"na",0.4,0.3,0.0
1968,0.0,0.3,4.1,1.8,"na",0.0,0.1,0.3,53.1,24.7,60.0,2.8,2.6,180.1,27.6,0.1,1.2,3.6,37.5,101.7,0.6,85.3,11.5,240.1,6.5,"na",30.8,6.7,0.8,5.2,1.1,0.3,3.8,0.0,0.1,0.1,0.7,5.6,2.4,11.4,0.8,0.3,0.0,0.0,0.7,0.2,0.0,5.8,0.5,10.4,15.7,0.2,0.0,"na","na",2.9,0.2,0.0,13.6,2.7,0.8,0.2,0.7,0.2,1.2,0.0,0.4,"na",0.0,11.0,0.0,0.4,0.4,"na",0.7,0.0,1.2,"na",51.6,"na",0.6,0.3,0.0
1969,0.0,0.3,3.8,2.0,"na",0.0,0.1,0.4,52.1,26.8,65.2,3.2,2.6,189.2,30.5,0.1,1.3,4.2,40.0,102.7,0.6,94.5,12.4,254.4,7.0,"na",33.5,6.4,0.9,5.3,1.2,0.3,3.1,0.0,0.1,0.1,0.9,7.0,2.0,12.0,0.7,0.5,0.0,0.0,0.8,0.1,0.0,6.5,0.5,10.1,17.3,0.3,0.0,"na","na",3.1,0.2,0.0,13.0,2.6,0.8,0.2,0.7,0.2,1.4,0.0,0.5,"na",0.0,9.5,0.0,0.3,0.3,"na",0.8,0.0,0.9,"na",57.9,"na",0.7,0.3,0.0
1970,0.0,0.3,4.8,2.3,"na",0.0,0.1,0.5,55.1,29.0,71.8,3.5,2.7,193.7,32.8,0.1,1.5,4.7,40.8,108.3,0.7,95.9,15.1,265.5,9.0,"na",35.1,6.6,1.0,5.4,1.4,0.4,4.0,0.0,0.1,0.1,1.1,6.4,2.2,12.8,1.0,0.7,0.0,0.0,0.9,0.2,0.0,6.9,0.6,9.9,16.6,0.3,0.0,"na","na",3.4,0.3,0.0,13.1,2.9,0.9,0.3,0.7,0.4,1.3,0.0,0.6,"na",0.0,9.4,0.0,0.4,0.5,"na",0.7,0.0,0.8,"na",57.4,"na",0.9,0.3,0.0
1971,0.0,0.3,3.8,2.6,"na",0.0,0.0,0.5,54.6,29.4,76.2,3.8,2.7,200.6,33.4,0.1,1.8,5.0,44.4,109.6,0.7,100.4,16.7,276.8,9.8,"na",35.5,6.6,1.0,6.6,1.5,0.3,3.0,0.0,0.1,0.1,1.1,7.3,2.4,11.1,0.8,0.7,0.0,0.0,0.3,0.1,0.0,7.6,0.6,9.6,18.0,0.3,0.0,"na","na",3.3,0.3,0.0,14.5,3.3,1.0,0.4,0.9,0.4,1.4,0.0,1.0,"na",0.0,11.8,0.0,0.3,0.5,"na",0.6,0.0,0.7,"na",61.6,"na",1.2,0.3,0.0
1972,0.0,0.3,3.9,2.6,"na",0.0,0.0,0.5,57.0,28.6,80.8,4.7,2.8,208.8,33.3,0.1,1.7,6.2,46.4,112.0,0.9,105.3,18.9,289.6,11.5,"na",38.8,5.5,1.2,7.5,1.6,0.3,3.0,0.0,0.1,0.2,1.2,7.9,2.2,11.0,0.8,0.7,0.0,0.0,0.3,0.2,0.0,7.3,0.8,10.3,19.0,0.3,0.0,"na","na",3.5,0.3,0.0,15.4,3.5,1.0,0.3,0.9,0.4,1.6,0.0,1.7,"na",0.0,12.2,0.0,0.4,0.5,"na",0.8,0.0,0.8,"na",63.1,"na",1.4,0.3,0.2
1973,0.0,0.7,4.3,2.8,"na",0.1,0.0,0.6,55.9,28.5,84.4,4.8,2.8,208.0,33.0,0.1,1.8,6.2,44.9,112.2,0.8,107.1,21.2,292.4,13.1,"na",40.5,6.0,1.2,8.3,1.8,0.2,3.4,0.0,0.2,0.1,1.2,6.5,2.3,10.8,0.9,0.6,0.0,0.0,0.4,0.1,0.0,7.8,0.7,8.5,15.8,0.3,0.0,"na","na",3.7,0.3,0.0,16.7,3.4,1.1,0.4,1.0,0.4,1.7,0.0,1.7,"na",0.0,13.6,0.0,0.3,0.5,"na",0.6,0.0,0.8,"na",63.0,"na",1.4,0.3,0.0
1974,0.0,1.1,5.1,3.1,"na",0.1,0.1,0.5,60.1,30.8,93.7,5.8,2.9,227.0,36.3,0.2,1.8,7.6,49.0,120.8,1.0,118.1,24.2,320.6,14.9,"na",44.8,6.3,1.4,9.4,2.0,0.4,4.0,0.0,0.1,0.1,1.4,7.0,2.7,12.7,0.9,0.5,0.0,0.0,0.4,0.2,0.0,7.5,0.7,8.2,17.9,0.4,0.0,"na","na",3.8,0.3,0.0,17.3,3.4,1.2,0.5,1.0,0.6,1.8,0.0,1.9,"na",0.0,13.0,0.0,0.5,0.7,"na",0.8,0.0,1.1,"na",69.5,"na",1.7,0.3,0.3
1975,0.0,1.2,5.4,3.4,"na",0.1,0.0,0.6,59.6,29.4,96.9,6.0,3.0,227.8,34.6,0.4,1.8,7.8,52.1,120.4,1.2,116.9,26.4,324.7,16.4,"na",44.1,7.3,1.4,9.9,2.2,0.4,3.9,0.0,0.1,0.1,1.5,5.9,2.8,13.6,0.9,0.5,0.0,0.0,0.4,0.1,0.0,9.0,0.8,8.1,18.3,0.4,0.0,"na","na",3.4,0.3,0.0,17.5,3.8,1.2,0.5,1.1,0.5,1.5,0.0,2.0,"na",0.0,13.1,0.0,0.5,0.7,"na",1.3,0.0,1.2,"na",69.3,"na",2.0,0.3,0.3
1976,0.0,1.1,4.7,3.2,"na",0.1,0.0,0.7,54.0,31.6,104.2,6.4,3.1,221.1,37.2,0.5,2.0,8.8,52.8,117.5,1.4,115.4,29.4,325.3,18.8,"na",45.9,5.8,1.4,10.0,2.3,0.3,3.1,0.0,0.1,0.1,1.8,4.7,2.1,11.0,1.0,0.5,0.0,0.0,0.2,0.1,0.0,9.4,0.9,9.4,18.9,0.4,0.0,"na","na",3.9,0.3,0.0,18.6,3.5,1.3,0.6,1.2,0.5,1.1,0.0,1.8,"na",0.0,12.4,0.0,0.5,0.7,"na",1.9,0.0,1.0,"na",65.6,"na",2.4,0.3,0.4
