title         = ASCII CSV version of worksheet "Natural Gas: Production" from the 2018 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2018/BP_2018_gas_production_mtoe.csv
original data = http://www.bp.com/content/dam/bp/en/corporate/excel/energy-economics/statistical-review-2018/bp-statistical-review-of-world-energy-2018-underpinning-data.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,0.698,5.034,1.488,"na",0.0,0.559,0.184,0.036,88.981,161.222,217.451,0.097,4.674,621.587,0.111,0.637,2.594,12.985,89.838,9.019,547.299,16.08,839.038,0.071,46.446,2.487,1.074,9.944,0.0,2.096,0.07,9.415,1.1,0.544,0.637,3.134,10.818,1.664,"na",0.24,0.006,9.484,0.0,0.091,24.004,0.0,0.0,0.342,2.502,4.402,0.894,18.695,"na",1.321,0.0,0.0,"na",1.528,"na",491.369,"na",7.359,0.0,0.0
1971,1.233,5.44,2.221,"na",0.0,0.815,0.182,0.036,108.891,172.995,238.348,0.157,5.249,659.284,0.104,0.671,3.183,15.358,109.91,14.204,565.463,16.519,897.632,0.113,50.778,3.241,1.118,12.418,0.0,2.21,0.07,15.646,1.309,0.577,0.756,7.581,11.023,1.719,"na",0.578,0.012,9.388,0.071,0.168,33.176,0.0,0.0,0.408,2.495,4.539,0.894,19.979,"na",1.102,0.0,0.0,"na",1.602,"na",505.297,"na",7.131,0.0,0.0
1972,1.252,5.171,3.188,"na",0.378,1.017,0.373,0.96,131.091,180.326,254.515,0.204,5.695,687.406,0.103,0.644,5.601,17.856,132.34,17.62,570.746,17.431,941.921,0.153,57.33,4.194,1.366,14.831,0.0,2.8,0.059,22.576,0.97,0.632,0.764,10.223,11.683,2.032,"na",2.313,0.013,9.758,0.1,0.225,44.234,0.0,0.0,0.392,2.313,4.801,0.982,20.437,"na",1.249,0.0,0.0,"na",1.656,"na",503.659,"na",7.089,0.0,0.0
1973,1.455,5.631,4.047,"na",0.523,1.442,1.631,1.48,147.526,192.462,279.28,0.645,5.893,708.012,0.045,0.497,8.454,22.16,148.949,20.134,575.228,19.905,987.292,0.176,61.425,5.182,1.415,16.667,0.0,3.716,0.047,24.512,1.503,0.631,0.743,11.297,12.618,2.276,"na",3.701,0.016,10.602,0.1,0.345,53.788,0.0,0.0,0.384,2.634,4.871,1.406,21.637,"na",1.47,0.0,0.0,"na",1.591,"na",503.201,"na",8.732,0.0,0.0
1974,1.457,6.061,4.618,"na",0.575,1.778,3.54,1.549,164.112,212.253,306.495,0.826,6.206,701.702,0.055,0.568,8.822,26.994,165.654,21.104,552.303,21.065,1008.197,0.338,60.151,6.526,1.473,17.494,0.0,4.296,0.05,29.562,1.552,0.714,0.683,11.722,12.595,2.394,"na",3.329,0.142,11.115,0.208,0.322,63.772,0.0,0.0,0.396,2.914,4.715,1.155,22.332,"na",1.861,0.0,0.0,"na",1.453,"na",481.038,"na",9.228,0.0,0.0
