title         = ASCII CSV version of worksheet "Hydroelectricity: Consumption" from the 2018 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2018/BP_2018_hydro_consumption_mtoe.csv
original data = http://www.bp.com/content/dam/bp/en/corporate/excel/energy-economics/statistical-review-2018/bp-statistical-review-of-world-energy-2018-underpinning-data.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAP","BP_OECD","BP_OME","BP_TAF","BP_TAP","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CY","CZ","DE","DK","DZ","EC","EE","EG","ES","FI","FR","GB","GR","HK","HR","HU","ID","IE","IL","IN","IQ","IR","IS","IT","JP","KR","KW","KZ","LK","LT","LU","LV","MA","MK","MX","MY","NL","NO","NZ","OM","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SI","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.274,3.639,1.74,"na",0.0,0.062,0.453,49.061,19.306,48.037,2.258,160.084,0.126,3.231,34.067,68.452,0.531,73.53,9.004,208.121,5.425,"na",26.502,5.453,0.895,5.0,0.802,0.0,0.505,3.668,0.005,0.089,0.078,"na",0.392,4.533,2.116,10.608,1.044,0.188,0.0,"na",0.016,0.413,0.213,0.0,4.337,0.016,0.389,0.145,9.647,15.849,0.161,0.0,"na",0.083,"na",0.02,"na",0.274,"na",2.005,0.135,0.0,11.17,2.267,0.0,0.595,0.172,0.497,0.204,0.899,0.0,0.226,"na",0.0,10.511,0.0,"na",0.503,0.248,"na",0.493,0.0,0.831,"na",45.023,"na",0.316,0.077,0.0
1966,0.0,0.278,3.922,1.662,"na",0.0,0.068,0.455,53.33,21.77,52.595,2.261,170.577,0.137,3.541,36.971,73.589,0.576,76.69,10.035,223.172,5.934,"na",29.149,6.227,0.942,5.088,0.891,0.0,0.476,3.968,0.005,0.082,0.089,"na",0.413,6.277,2.349,11.813,1.026,0.428,0.0,"na",0.024,0.537,0.192,0.0,4.529,0.021,0.418,0.141,9.893,18.059,0.223,0.0,"na",0.09,"na",0.018,"na",0.238,"na",2.3,0.16,0.0,11.018,2.445,0.0,0.639,0.18,0.497,0.204,1.194,0.0,0.234,"na",0.0,10.303,0.0,"na",0.482,0.288,"na",0.529,0.0,0.863,"na",45.241,"na",0.324,0.088,0.0
1967,0.0,0.284,4.005,1.721,"na",0.0,0.054,0.458,51.513,20.998,53.042,2.309,175.325,0.166,3.656,34.852,73.554,0.64,84.042,10.625,228.367,6.207,"na",30.123,6.754,0.963,4.386,0.993,0.0,0.429,3.768,0.005,0.092,0.099,"na",0.445,5.218,2.631,10.268,1.105,0.411,0.0,"na",0.018,0.603,0.182,0.0,5.068,0.024,0.45,0.15,9.58,15.614,0.216,0.0,"na",0.093,"na",0.02,"na",0.211,"na",2.505,0.167,0.0,12.066,2.539,0.0,0.716,0.243,0.589,0.216,1.24,0.0,0.334,"na",0.0,11.158,0.0,"na",0.413,0.394,"na",0.539,0.0,0.813,"na",51.414,"na",0.376,0.097,0.0
1968,0.0,0.335,4.115,1.799,"na",0.0,0.055,0.295,52.252,24.666,60.382,2.3,179.257,0.184,4.214,37.21,76.226,0.697,85.333,11.294,239.64,6.496,"na",30.846,6.679,0.808,5.175,1.107,0.0,0.332,3.824,0.005,0.126,0.103,"na",0.679,5.616,2.373,11.409,0.842,0.34,0.0,"na",0.021,0.745,0.174,0.0,5.849,0.029,0.484,0.155,9.657,15.659,0.21,0.0,"na",0.107,"na",0.02,"na",0.239,"na",2.861,0.185,0.0,13.628,2.664,0.0,0.768,0.159,0.708,0.228,1.174,0.0,0.353,"na",0.0,11.039,0.0,"na",0.379,0.357,"na",0.718,0.0,1.184,"na",51.626,"na",0.632,0.109,0.0
1969,0.0,0.3,3.783,1.965,"na",0.0,0.052,0.416,51.249,26.824,65.6,2.323,188.381,0.215,4.884,39.685,75.073,0.768,94.539,12.208,253.981,6.952,"na",33.54,6.391,0.911,5.263,1.23,0.0,0.271,3.103,0.005,0.082,0.115,"na",0.903,7.047,1.979,11.979,0.737,0.511,0.0,"na",0.021,0.779,0.132,0.0,6.494,0.032,0.521,0.195,9.315,17.328,0.323,0.0,"na",0.124,"na",0.018,"na",0.31,"na",3.066,0.233,0.0,12.987,2.633,0.0,0.837,0.181,0.747,0.183,1.428,0.0,0.503,"na",0.0,9.471,0.0,"na",0.295,0.267,"na",0.779,0.0,0.902,"na",57.933,"na",0.742,0.122,0.0
1970,0.0,0.343,4.817,2.301,"na",0.0,0.056,0.487,54.326,28.991,72.933,2.336,192.84,0.21,6.127,40.53,78.508,0.81,95.9,14.908,265.774,9.006,"na",35.146,6.601,0.974,5.439,1.37,0.0,0.387,3.967,0.005,0.132,0.126,"na",1.061,6.397,2.155,12.826,1.026,0.661,0.0,"na",0.021,0.947,0.182,0.0,6.887,0.039,0.561,0.32,9.135,16.611,0.276,0.0,"na",0.168,"na",0.02,"na",0.305,"na",3.395,0.295,0.0,13.091,2.867,0.0,0.866,0.349,0.661,0.4,1.313,0.0,0.626,"na",0.0,9.4,0.0,"na",0.445,0.453,"na",0.686,0.0,0.805,"na",57.359,"na",0.929,0.136,0.0
1971,0.0,0.345,3.806,2.604,"na",0.0,0.03,0.492,53.73,29.353,76.696,2.391,199.729,0.201,5.846,44.054,79.447,0.849,100.407,16.468,276.425,9.775,"na",35.532,6.572,0.995,6.579,1.453,0.0,0.266,3.045,0.005,0.074,0.138,"na",1.142,7.328,2.417,11.055,0.763,0.666,0.0,"na",0.021,0.312,0.105,0.0,7.554,0.045,0.603,0.348,8.843,17.968,0.299,0.0,"na",0.187,"na",0.011,"na",0.344,"na",3.271,0.297,0.0,14.468,3.257,0.0,0.968,0.386,0.863,0.355,1.396,0.0,1.018,"na",0.0,11.774,0.0,"na",0.334,0.519,"na",0.591,0.0,0.7,"na",61.604,"na",1.221,0.139,0.021
1972,0.0,0.336,3.912,2.614,"na",0.04,0.041,0.474,56.078,28.63,81.067,2.482,207.833,0.197,6.751,46.072,82.402,1.034,105.323,18.688,288.9,11.468,"na",38.768,5.484,1.182,7.456,1.61,0.0,0.284,2.988,0.005,0.113,0.243,"na",1.168,7.872,2.349,11.049,0.763,0.671,0.0,"na",0.024,0.279,0.155,0.0,7.332,0.045,0.792,0.385,9.356,18.995,0.31,0.0,"na",0.192,"na",0.013,"na",0.361,"na",3.489,0.281,0.0,15.418,3.454,0.0,1.005,0.324,0.908,0.339,1.603,0.0,1.661,"na",0.0,12.168,0.0,"na",0.35,0.486,"na",0.725,0.0,0.824,"na",63.066,"na",1.363,0.095,0.187
1973,0.0,0.67,4.347,2.78,"na",0.075,0.039,0.582,55.945,28.54,84.475,2.509,208.042,0.112,6.744,44.617,83.717,0.849,107.1,20.951,292.518,13.099,"na",40.465,6.016,1.203,8.333,1.752,0.0,0.245,3.446,0.005,0.171,0.131,"na",1.166,6.454,2.394,10.792,0.868,0.557,0.0,"na",0.021,0.352,0.145,0.0,7.808,0.066,0.671,0.494,8.491,15.833,0.291,0.0,"na",0.157,"na",0.011,"na",0.27,"na",3.682,0.296,0.0,16.666,3.416,0.0,1.079,0.418,0.958,0.329,1.657,0.0,1.708,"na",0.0,13.555,0.0,"na",0.299,0.527,"na",0.589,0.0,0.768,"na",62.953,"na",1.408,0.095,0.043
1974,0.0,1.125,5.139,3.139,"na",0.055,0.054,0.471,60.478,30.798,93.72,2.593,227.375,0.26,7.94,48.686,90.407,1.091,118.116,24.057,321.095,14.862,"na",44.788,6.302,1.368,9.43,1.989,0.0,0.392,3.991,0.005,0.113,0.131,"na",1.384,6.997,2.874,12.724,0.921,0.505,0.0,"na",0.018,0.39,0.179,0.0,7.513,0.092,0.739,0.511,8.552,17.878,0.431,0.0,"na",0.226,"na",0.017,"na",0.303,"na",3.797,0.293,0.0,17.345,3.437,0.0,1.182,0.503,0.963,0.48,1.771,0.0,1.918,"na",0.0,12.966,0.0,"na",0.503,0.674,"na",0.759,0.0,1.066,"na",69.531,"na",1.745,0.095,0.254
1975,0.0,1.162,5.384,3.369,"na",0.099,0.041,0.555,60.718,29.353,97.077,2.677,228.861,0.351,8.345,51.926,92.142,1.232,116.855,26.086,325.938,16.357,"na",44.132,7.294,1.389,9.868,2.202,0.0,0.411,3.86,0.005,0.074,0.137,"na",1.537,5.896,2.763,13.601,0.868,0.504,0.0,"na",0.037,0.409,0.118,0.0,8.976,0.105,0.776,0.499,9.282,18.255,0.381,0.0,"na",0.244,"na",0.015,"na",0.23,"na",3.434,0.293,0.0,17.521,3.771,0.0,1.237,0.503,1.108,0.45,1.45,0.0,1.971,"na",0.0,13.053,0.0,"na",0.453,0.672,"na",1.336,0.0,1.189,"na",69.289,"na",2.021,0.113,0.251
