title         = ASCII CSV version of worksheet 7, "Oil: Consumption" from the 2015 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2015/BP_2015_oil_consumption_mtoe.csv
original data = http://www.bp.com/content/dam/bp/excel/Energy-Economics/statistical-review-2015/bp-statistical-review-of-world-energy-2015-workbook.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.011,22.102,5.561,16.815,"na",0.0,15.94,3.702,399.927,168.325,386.014,14.134,4.017,1143.5,173.998,8.754,21.948,27.965,164.633,590.663,44.275,620.172,81.805,1529.514,14.878,"na",53.835,8.037,3.338,10.96,3.924,3.997,86.274,10.405,1.289,0.661,6.936,14.209,5.721,53.887,74.223,4.435,2.121,3.776,6.12,2.424,4.118,12.642,6.617,52.29,87.936,1.287,5.151,"na","na",14.229,2.285,25.286,5.105,2.718,3.62,4.176,3.777,5.409,2.569,0.047,7.147,"na",19.577,18.949,3.829,2.298,2.3,"na",5.021,1.994,2.164,"na",552.108,"na",9.34,1.486,5.606
1966,0.012,22.791,6.116,18.002,"na",0.0,16.257,4.226,438.269,180.256,417.646,15.546,4.492,1227.413,186.859,9.2,23.296,30.781,187.994,642.371,45.621,651.137,87.155,1645.06,16.218,"na",56.711,8.551,3.696,14.074,4.468,4.418,96.472,11.863,1.693,0.691,7.449,16.801,6.923,57.663,79.472,4.839,2.324,4.144,5.894,2.704,4.298,14.126,7.325,57.651,100.047,1.927,4.994,"na","na",14.761,2.659,27.384,5.761,3.014,4.54,4.556,3.878,5.62,2.63,0.047,7.447,"na",19.745,21.483,4.472,2.539,2.719,"na",4.548,2.008,2.564,"na",579.665,"na",9.448,3.247,6.093
1967,0.018,23.317,6.513,19.729,"na",0.0,17.941,5.316,474.223,196.394,446.478,16.547,4.996,1316.849,204.176,9.673,24.53,30.808,219.763,697.441,47.197,678.227,89.892,1763.327,16.759,"na",60.566,9.263,3.871,13.9,4.489,4.916,100.073,12.553,1.578,0.746,6.06,20.34,7.249,66.219,85.254,5.689,2.785,4.379,5.67,3.023,4.484,14.57,8.197,63.717,122.969,3.342,4.841,"na","na",15.783,2.713,27.999,5.956,3.17,4.574,5.145,4.335,6.089,2.904,0.071,8.429,"na",19.913,21.023,5.61,2.825,3.023,"na",5.595,2.102,3.05,"na",601.878,"na",9.504,4.756,6.623
1968,0.04,23.794,7.536,21.49,"na",0.0,20.854,6.3,520.676,209.335,478.786,17.314,5.333,1435.158,218.219,10.174,24.797,32.539,251.374,760.213,48.903,725.45,95.465,1913.944,20.139,"na",64.477,10.28,4.096,15.2,4.975,5.42,112.366,13.637,1.682,0.891,6.342,21.606,8.224,71.782,90.388,5.815,3.041,4.579,5.993,3.364,4.68,16.316,9.141,70.259,142.741,4.942,4.693,"na","na",17.294,2.753,30.111,6.63,3.253,4.595,5.883,4.936,7.62,3.113,0.092,8.866,"na",20.083,23.758,7.005,3.116,3.993,"na",6.37,2.145,3.643,"na",643.679,"na",10.034,4.852,7.201
1969,0.061,24.679,8.278,22.058,"na",0.0,24.053,7.736,582.179,222.581,513.545,18.712,5.756,1564.824,232.181,10.701,26.431,33.086,292.159,837.649,50.616,764.756,100.104,2078.369,22.109,"na",67.135,11.167,4.373,20.377,4.763,5.819,126.325,16.421,1.775,0.946,4.68,24.6,9.563,82.953,97.321,6.19,3.605,5.115,6.393,3.651,4.884,19.596,10.059,77.334,169.072,6.709,4.549,"na","na",18.211,2.839,32.899,7.291,3.378,4.53,6.303,4.632,8.387,3.26,0.107,9.895,"na",20.255,26.804,6.878,3.345,4.33,"na",7.061,2.257,4.369,"na",679.41,"na",10.016,5.864,7.919
1970,0.122,22.079,9.097,24.412,"na",0.0,26.211,8.986,645.285,245.084,559.569,19.846,5.557,1697.072,256.171,11.261,27.71,36.535,338.784,927.537,52.424,797.864,103.498,2256.641,25.197,"na",71.614,12.523,4.597,28.191,5.355,6.984,138.749,18.277,2.032,1.081,6.075,28.066,10.763,94.272,103.57,6.707,3.894,5.932,6.79,4.101,5.096,19.505,11.014,87.333,199.238,8.38,4.409,"na","na",19.601,3.167,36.51,8.198,3.975,4.765,7.183,4.581,8.864,4.516,0.093,10.714,"na",20.429,29.26,7.524,4.014,5.053,"na",7.719,2.318,5.254,"na",706.649,"na",10.396,6.079,8.582
1971,0.136,23.547,10.156,25.692,"na",0.121,26.855,9.889,674.007,259.892,601.802,21.836,5.321,1777.342,272.561,12.615,28.678,39.776,375.303,974.341,55.176,824.868,109.682,2379.145,27.974,"na",73.523,13.281,5.177,38.43,5.531,7.685,144.039,18.029,2.288,1.194,6.264,30.898,11.138,102.768,104.272,7.405,4.097,6.679,7.029,4.525,5.317,20.475,12.101,93.821,219.765,9.461,4.315,"na","na",20.709,3.445,35.988,8.092,4.103,4.699,8.319,4.29,9.423,5.126,0.089,10.876,"na",20.603,27.465,6.62,4.418,5.626,"na",8.952,2.261,7.366,"na",730.636,"na",10.62,5.143,9.388
1972,0.179,23.59,10.957,26.13,"na",0.818,29.075,10.282,721.833,281.892,655.068,23.266,5.882,1907.68,295.133,13.617,30.485,43.17,404.343,1046.358,59.572,890.506,118.798,2562.748,32.106,"na",77.395,13.612,5.376,44.175,6.297,8.419,152.236,19.088,2.514,1.228,7.15,32.54,11.865,114.123,110.537,8.586,4.679,7.259,7.584,4.984,5.535,22.091,13.428,98.188,234.466,9.876,4.687,"na","na",23.186,3.847,40.06,8.476,4.417,4.003,8.164,3.554,10.578,5.573,0.106,11.619,"na",22.02,28.312,8.25,4.839,7.08,"na",10.017,3.732,7.996,"na",789.925,"na",11.981,5.335,10.24
1973,0.28,23.604,11.866,27.863,"na",0.903,30.561,10.849,772.436,303.066,714.218,25.534,6.05,2048.948,317.562,14.01,32.521,46.298,459.947,1122.73,64.197,940.543,129.451,2763.165,39.618,"na",81.651,14.65,5.059,53.83,6.024,9.47,162.23,17.601,2.739,1.363,6.722,39.138,13.272,127.269,113.227,10.0,4.855,8.155,9.055,5.401,5.897,23.314,16.114,103.557,269.192,12.158,4.421,"na","na",24.657,4.164,41.29,8.609,4.679,4.662,9.597,3.641,11.742,6.126,0.138,13.066,"na",23.337,29.215,7.709,5.444,7.499,"na",12.43,3.751,10.197,"na",834.235,"na",12.849,5.241,11.303
1974,0.388,23.781,10.613,29.517,"na",0.953,26.875,11.284,725.738,333.061,759.635,26.244,6.138,1963.868,348.813,14.125,32.173,47.711,456.467,1105.232,67.82,912.211,134.062,2723.503,42.764,"na",83.008,13.031,4.925,61.89,6.675,9.719,146.979,15.955,3.036,1.557,7.42,41.081,11.561,121.007,105.258,9.39,4.969,8.932,9.468,5.352,5.993,22.834,18.642,100.755,259.032,12.55,4.046,"na","na",28.412,4.156,35.387,7.841,4.462,5.497,8.977,3.921,12.39,6.539,0.188,12.054,"na",24.438,26.332,7.599,5.587,7.655,"na",12.497,3.7,9.154,"na",800.791,"na",12.99,3.191,11.011
