title         = ASCII CSV version of worksheet "Renewables: Consumption" from the 2018 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2018/BP_2018_renewables_consumption_mtoe.csv
original data = http://www.bp.com/content/dam/bp/en/corporate/excel/energy-economics/statistical-review-2018/bp-statistical-review-of-world-energy-2018-underpinning-data.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_FSU","BP_OME","BP_TAF","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BR","BY","CA","CH","CL","CN","CO","CY","CZ","DE","DK","DZ","EC","EE","EG","ES","FI","FR","GB","GR","HK","HR","HU","ID","IE","IL","IN","IQ","IR","IS","IT","JP","KW","KZ","LT","LU","LV","MA","MK","MX","MY","NL","NO","NZ","OM","PE","PL","PT","QA","RO","RU","SA","SE","SI","SK","TM","TR","TT","UA","US","UZ","VE","ZA"
1965,0.0,0.0,0.0,0.067,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.681,0.0,3.017,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606,0.0,0.0,"na","na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.305,0.0,0.0,0.006,0.047,0.0,0.0,"na",0.0,0.0,"na",0.0,"na",0.023,0.0,"na",3.017,"na",0.0,0.0
1966,0.0,0.0,0.0,0.064,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.928,0.0,3.182,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.088,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.758,0.0,0.0,"na","na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.308,0.0,0.0,0.009,0.045,0.0,0.0,"na",0.0,0.0,"na",0.0,"na",0.028,0.0,"na",3.182,"na",0.0,0.0
1967,0.0,0.0,0.0,0.066,"na",0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,3.184,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.137,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.786,0.0,0.0,"na","na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.257,0.0,0.0,0.01,0.043,0.0,0.0,"na",0.0,0.0,"na",0.0,"na",0.039,0.0,"na",3.184,"na",0.0,0.0
1968,0.0,0.0,0.0,0.064,"na",0.0,0.0,0.0,0.0,0.0,0.0,1.131,0.0,3.518,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.21,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.818,0.0,0.0,"na","na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.293,0.0,0.0,0.011,0.052,0.0,0.0,"na",0.0,0.0,"na",0.0,"na",0.041,0.0,"na",3.518,"na",0.0,0.0
1969,0.0,0.0,0.0,0.064,"na",0.0,0.0,0.0,0.0,0.0,0.0,1.227,0.0,3.672,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.241,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863,0.0,0.0,"na","na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.019,0.063,0.0,0.0,"na",0.0,0.0,"na",0.0,"na",0.04,0.0,"na",3.672,"na",0.0,0.0
1970,0.0,0.011,0.0,0.059,"na",0.0,0.0,0.0,0.0,0.0,0.0,1.611,0.0,3.674,0.127,0.116,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208,0.0,0.0,0.0,"na",0.0,0.011,0.0,0.31,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.957,0.055,0.0,"na","na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.288,0.0,0.0,0.013,0.042,0.0,0.0,"na",0.0,0.029,"na",0.0,"na",0.038,0.0,"na",3.674,"na",0.0,0.0
1971,0.0,0.011,0.0,0.06,"na",0.0,0.0,0.0,0.0,0.0,0.037,1.636,0.0,3.753,0.485,0.143,"na",0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.227,0.0,0.0,0.0,"na",0.0,0.012,0.0,0.315,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.952,0.053,0.0,"na","na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.284,0.0,0.051,0.023,0.032,0.0,0.0,"na",0.0,0.036,"na",0.0,"na",0.037,0.008,"na",3.753,"na",0.0,0.0
1972,0.0,0.015,0.0,0.063,"na",0.0,0.0,0.0,0.0,0.0,0.037,1.612,0.0,4.225,0.482,0.162,"na",0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,"na",0.0,0.014,0.0,0.343,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.861,0.056,0.0,"na","na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.284,0.0,0.051,0.042,0.026,0.0,0.0,"na",0.0,0.051,"na",0.0,"na",0.04,0.008,"na",4.225,"na",0.0,0.0
1973,0.0,0.011,0.0,0.076,"na",0.0,0.026,0.0,0.0,0.0,0.038,1.734,0.0,4.56,0.513,0.17,"na",0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.238,0.0,0.0,0.0,"na",0.0,0.013,0.0,0.351,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.87,0.057,0.0,"na","na",0.0,"na",0.0,"na",0.036,0.0,0.0,0.0,0.281,0.0,0.052,0.05,0.045,0.0,0.0,"na",0.0,0.09,"na",0.0,"na",0.045,0.007,"na",4.523,"na",0.0,0.0
1974,0.0,0.011,0.0,0.097,"na",0.0,0.024,0.0,0.0,0.0,0.04,1.82,0.0,4.722,0.538,0.178,"na",0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.244,0.0,0.0,0.0,"na",0.0,0.012,0.0,0.357,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.961,0.07,0.0,"na","na",0.0,"na",0.0,"na",0.105,0.0,0.0,0.0,0.398,0.0,0.06,0.053,0.041,0.0,0.0,"na",0.0,0.081,"na",0.0,"na",0.047,0.006,"na",4.617,"na",0.0,0.0
