year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Argentina	AR	22283389	28344705966.6389	0.796	3.816	0.274	0.0	22.05	0.0	0.0	0.0	78.119	0	13.765	0
1966	Argentina	AR	22608747	28630474727.8546	0.833	4.133	0.278	0.0	22.757	0.0	0.0	0.0	81.06	0	14.644	0
1967	Argentina	AR	22932201	24256667553.2569	0.817	4.322	0.284	0.0	23.301	0.0	0.0	0.0	82.996	0	15.962	0
1968	Argentina	AR	23261273	26436857247.4982	0.657	4.812	0.335	0.0	23.796	0.0	0.0	0.0	84.906	0	17.488	0
1969	Argentina	AR	23605992	31256284543.5869	0.875	4.794	0.3	0.0	24.7	0.0	0.0	0.0	87.919	0	18.107	0
1970	Argentina	AR	23973062	31584210365.5447	0.98	5.418	0.343	0.0	22.12	0.013	0.0	0.0	81.179	0	20.001	5.418
1971	Argentina	AR	24366442	33293199095.4681	0.807	5.616	0.345	0.0	23.61	0.013	0.0	0.0	85.239	0	21.571	5.653
1972	Argentina	AR	24782950	34733000536.2862	0.72	6.434	0.336	0.0	23.633	0.018	0.0	0.0	87.32	0	22.218	5.554
1973	Argentina	AR	25213388	52544000116.9037	0.76	7.167	0.67	0.0	23.686	0.013	0.0	0.0	89.991	0	21.601	5.748
1974	Argentina	AR	25644505	72436777342.4443	0.974	7.064	1.125	0.232	23.856	0.014	0.0	0.0	90.832	0	21.145	5.68
1975	Argentina	AR	26066975	52438647921.9226	1.052	7.853	1.162	0.518	22.429	0.016	0.0	0.0	88.75	0	20.261	6.449
1976	Argentina	AR	26477153	51169499890.7722	1.074	8.31	1.118	0.531	23.316	0.014	0.0	0.0	92.642	0	20.414	6.644
1977	Argentina	AR	26878567	56781000100.9448	0.851	8.565	1.291	0.366	24.539	0.015	0.0	0.0	96.305	0	22.062	6.721
1978	Argentina	AR	27277742	58082870156.2633	1.215	8.338	1.734	0.648	24.527	0.015	0.0	0.0	96.59	0	23.21	6.368
1979	Argentina	AR	27684530	69252328953.3789	0.96	9.079	2.384	0.602	25.95	0.023	0.0	0.0	101.475	0	24.278	7.489
1980	Argentina	AR	28105889	76961923741.9479	0.934	10.129	3.388	0.523	24.259	0.023	0.0	0.0	99.142	0	25.267	8.548
1981	Argentina	AR	28543366	78676842366.4213	0.848	10.487	3.281	0.63	22.425	0.02	0.0	0.0	94.167	0	25.736	8.545
1982	Argentina	AR	28993989	84307486836.724	0.843	11.314	3.959	0.421	21.518	0.027	0.0	0.0	93.164	0	25.571	9.273
1983	Argentina	AR	29454739	103979106777.911	0.767	12.565	4.12	0.762	21.973	0.036	0.0	0.0	96.419	0	25.667	10.619
1984	Argentina	AR	29920907	79092001998.032	0.516	13.44	4.446	1.038	20.701	0.028	0.0	0.0	93.282	0	25.142	11.52
1985	Argentina	AR	30388781	88416668900.2596	0.601	13.811	4.674	1.305	18.729	0.031	0.0	0.0	88.291	0	24.159	11.952
1986	Argentina	AR	30857242	110934442762.694	0.895	15.868	4.758	1.292	21.552	0.032	0.0	0.0	104.408	0	22.869	14.001
1987	Argentina	AR	31326473	111106191358.197	0.993	16.058	4.953	1.463	23.007	0.034	0.0	0.0	109.467	0	22.573	14.284
