year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Australia	AU	11388000	25925635569.4927	17.371	0.003	1.74	0.0	15.122	0.067	0.0	0.0	113.835	0	0.346	0
1966	Australia	AU	11651000	27250531974.4652	18.004	0.004	1.662	0.0	18.002	0.064	0.0	0.0	125.072	0	0.445	0
1967	Australia	AU	11799000	30378541829.9922	18.508	0.004	1.721	0.0	19.729	0.066	0.0	0.0	132.389	0	1.039	0
1968	Australia	AU	12009000	32641953186.2471	19.062	0.028	1.799	0.0	21.49	0.064	0.0	0.0	139.731	0	1.934	0
1969	Australia	AU	12263000	36606562884.9815	19.714	0.378	1.965	0.0	22.058	0.064	0.0	0.0	144.357	0	2.226	0
1970	Australia	AU	12507000	41245380221.7494	19.922	1.47	2.301	0.0	24.412	0.059	0.0	0.0	155.238	0	8.705	1.566
1971	Australia	AU	12937000	45119274274.8348	19.997	2.194	2.604	0.0	25.692	0.06	0.0	0.0	161.178	0	15.255	2.337
1972	Australia	AU	13177000	51928738317.757	20.888	3.149	2.614	0.0	26.13	0.063	0.0	0.0	168.119	0	16.28	3.355
1973	Australia	AU	13380000	63688661114.6701	21.753	3.998	2.78	0.0	27.863	0.076	0.0	0.0	178.535	0	20.394	4.26
1974	Australia	AU	13723000	88775239498.8946	22.706	4.562	3.139	0.0	29.517	0.097	0.0	0.0	188.87	0	20.179	4.86
1975	Australia	AU	13893000	97081797077.7004	23.434	4.899	3.369	0.0	29.136	0.111	0.0	0.0	191.751	0	21.622	5.219
1976	Australia	AU	14033000	104815328375.142	24.23	5.783	3.203	0.0	29.779	0.11	0.0	0.0	198.216	0	22.141	6.161
1977	Australia	AU	14192000	110097499426.474	25.295	6.606	3.065	0.0	31.192	0.097	0.0	0.0	208.218	0	23.425	7.038
1978	Australia	AU	14358000	118217911121.137	25.955	7.112	3.321	0.0	31.249	0.092	0.0	0.0	213.108	0	23.191	7.577
1979	Australia	AU	14514000	134584800636.147	27.132	8.187	3.224	0.0	31.772	0.095	0.0	0.0	221.539	0	23.276	8.722
1980	Australia	AU	14692000	149654596100.279	27.925	9.401	3.047	0.0	30.442	0.087	0.0	0.0	223.14	0	21.839	10.015
1981	Australia	AU	14927000	176527342389.411	28.645	10.189	3.138	0.0	29.426	0.091	0.0	0.0	224.843	67.805	21.271	10.855
1982	Australia	AU	15178000	193651108904.336	28.949	9.937	2.89	0.0	29.307	0.117	0.0	0.0	225.155	69.214	20.974	10.587
1983	Australia	AU	15369000	176899391670.566	28.939	10.795	2.743	0.0	29.025	0.098	0.0	0.0	224.894	72.119	20.417	11.5
1984	Australia	AU	15544000	193197790255.389	30.602	10.955	2.97	0.0	30.45	0.1	0.0	0.0	235.249	75.745	26.483	10.955
1985	Australia	AU	15758000	180182557336.811	31.654	11.698	3.154	0.0	28.928	0.103	0.0	0.0	236.152	92.377	30.683	11.698
1986	Australia	AU	16018400	181989367655.288	32.458	12.765	3.174	0.0	29.632	0.104	0.0	0.0	245.044	98.268	27.413	12.765
1987	Australia	AU	16263900	189076892535.733	33.823	13.036	3.08	0.0	30.248	0.106	0.0	0.0	252.091	102.637	29.138	13.036
1988	Australia	AU	16532200	235771245634.459	35.577	13.337	3.244	0.0	31.648	0.165	0.0	0.0	264.29	100.885	27.653	13.337
1989	Australia	AU	16814400	299480498330.755	37.314	14.425	3.225	0.0	32.742	0.183	0.0	0.0	277.321	109.603	26.082	15.302
1990	Australia	AU	17065100	310954982685.648	38.207	14.392	3.34	0.0	33.193	0.172	0.0	0.0	281.488	114.755	30.275	17.69
1991	Australia	AU	17284000	325574915626.717	38.974	14.115	3.542	0.0	32.259	0.164	0.001	0.0	282.906	119.039	28.613	18.839
1992	Australia	AU	17495000	325253403060.832	39.205	14.814	3.607	0.0	32.362	0.154	0.003	0.0	285.643	127.019	28.198	20.572
1993	Australia	AU	17667000	311950534007.87	39.457	15.221	3.708	0.0	34.065	0.155	0.003	0.0	292.171	127.61	26.302	21.356
1994	Australia	AU	17855000	322805257696.299	40.263	16.738	3.654	0.0	35.349	0.163	0.004	0.001	302.582	130.431	28.318	24.334
1995	Australia	AU	18072000	367949212949.213	41.631	16.662	3.537	0.0	36.454	0.193	0.005	0.002	311.448	136.872	26.665	25.479
1996	Australia	AU	18311000	401335356600.91	43.333	16.944	3.613	0.0	37.011	0.222	0.006	0.002	320.968	141.073	28.066	25.672
1997	Australia	AU	18517000	435571294412.271	45.525	16.641	3.61	0.0	37.677	0.234	0.007	0.002	331.069	153.836	29.788	25.676
1998	Australia	AU	18711000	399293902190.87	47.557	17.133	3.575	0.0	37.6	0.257	0.008	0.004	340.457	157.532	28.205	26.229
