year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1985	Azerbaijan	AZ	6674107	NA	0.092	11.875	0.297	0.0	8.252	0.0	0.0	0.0	51.474	0	13.23	11.46
1986	Azerbaijan	AZ	6779970	NA	0.092	13.195	0.182	0.0	8.649	0.0	0.0	0.0	55.425	0	13.05	11.077
1987	Azerbaijan	AZ	6886428	NA	0.092	13.032	0.182	0.0	8.144	0.0	0.0	0.0	53.402	0	13.91	10.181
1988	Azerbaijan	AZ	6994139	NA	0.092	12.869	0.158	0.0	8.345	0.0	0.0	0.0	53.347	0	13.74	9.692
1989	Azerbaijan	AZ	7104058	NA	0.092	13.521	0.158	0.0	8.14	0.0	0.0	0.0	54.116	0	13.16	9.041
1990	Azerbaijan	AZ	7159000	8858006035.91566	0.089	13.79	0.158	0.0	8.543	0.0	0.0	0.0	55.622	0	12.5	8.063
1991	Azerbaijan	AZ	7271000	8792365810.5094	0.067	13.195	0.397	0.0	8.24	0.0	0.0	0.0	53.192	0	11.774	7.005
1992	Azerbaijan	AZ	7382000	4991350457.5425	0.012	10.262	0.395	0.0	8.031	0.0	0.0	0.0	44.994	0	11.196	6.434
1993	Azerbaijan	AZ	7495000	3973027396.65195	0.003	7.575	0.542	0.0	8.001	0.0	0.0	0.0	42.169	0	10.251	5.538
1994	Azerbaijan	AZ	7597000	3313739673.54738	0.004	7.086	0.413	0.0	7.267	0.0	0.0	0.0	38.411	0	9.563	5.213
1995	Azerbaijan	AZ	7685000	3052467522.36104	0.003	7.004	0.353	0.0	6.58	0.0	0.0	0.0	36.484	0	9.162	5.376
1996	Azerbaijan	AZ	7763000	3176749593.11788	0.003	5.131	0.347	0.0	5.937	0.0	0.0	0.0	29.741	0	9.1	5.131
1997	Azerbaijan	AZ	7838250	3962710163.11167	0.003	4.887	0.387	0.0	5.646	0.0	0.0	0.0	28.314	0	9.027	4.887
1998	Azerbaijan	AZ	7913000	4446396217.63265	0.0	4.561	0.442	0.0	5.947	0.0	0.0	0.0	28.266	0	11.449	4.561
1999	Azerbaijan	AZ	7982750	4581222442.45783	0.0	4.887	0.342	0.0	5.727	0.0	0.0	0.0	27.688	0	13.851	4.887
2000	Azerbaijan	AZ	8048600	5272617196.04517	0.0	4.724	0.347	0.0	6.331	0.0	0.0	0.0	28.867	0	14.069	4.607
2001	Azerbaijan	AZ	8111200	5707618246.56848	0.003	6.775	0.294	0.0	3.997	0.0	0.0	0.0	26.79	0	14.979	4.517
2002	Azerbaijan	AZ	8171950	6236024951.20423	0.002	6.795	0.457	0.0	3.665	0.0	0.0	0.0	26.515	0	15.334	4.189
2003	Azerbaijan	AZ	8234100	7275766111.24309	0.003	6.968	0.559	0.0	4.272	0.0	0.0	0.0	28.592	0	15.378	4.176
2004	Azerbaijan	AZ	8306500	8680511918.49357	0.001	7.494	0.623	0.0	4.484	0.0	0.0	0.0	29.682	0	15.459	4.069
2005	Azerbaijan	AZ	8391850	13245421880.834	0.003	7.741	0.681	0.0	5.376	0.0	0.0	0.0	32.697	0	22.214	4.669
2006	Azerbaijan	AZ	8484550	20983019923.8863	0.003	8.183	0.57	0.0	4.806	0.0	0.0	0.0	32.331	0	32.268	5.509
2007	Azerbaijan	AZ	8581300	33050343782.7759	0.001	7.205	0.535	0.0	4.524	0.0	0.0	0.0	29.14	0	42.597	8.823
2008	Azerbaijan	AZ	8763400	48852482960.0779	0.007	8.243	0.505	0.0	3.591	0.0	0.0	0.0	28.726	0	44.514	13.306
2009	Azerbaijan	AZ	8947243	44291490420.5026	0.004	7.038	0.522	0.0	3.312	0.0	0.0	0.0	25.17	0	50.416	13.295
2010	Azerbaijan	AZ	9054332	52902703376.1056	0.001	6.691	0.78	0.0	3.217	0.0	0.0	0.0	23.968	0	50.838	13.58
2011	Azerbaijan	AZ	9173082	65951627200.2026	0.003	7.328	0.605	0.0	3.987	0.0	0.0	0.0	27.736	0	45.626	13.326
2012	Azerbaijan	AZ	9295784	68730906313.6456	0.001	7.69	0.412	0.0	4.168	0.0	0.0	0.0	28.739	0	43.375	14.043
2013	Azerbaijan	AZ	9416801	73560484384.9586	0.003	7.724	0.337	0.0	4.543	0.016	0.0	0.0	29.396	0	43.457	14.575
2014	Azerbaijan	AZ	9535079	75198010965.1919	0.002	8.473	0.294	0.0	4.446	0.02	0.001	0.001	31.04	0	42.076	15.807
2015	Azerbaijan	AZ	9649341	53047140347.4527	0.0	9.584	0.371	0.0	4.533	0.023	0.001	0.001	33.893	0	41.628	16.151
2016	Azerbaijan	AZ	9649341	NA	0.0	9.398	0.443	0.0	4.613	0.038	0.014	0.004	33.914	0	41.031	15.716
