year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1971	Bangladesh	BD	66417450	8751842839.73302	0.0	0.0	0.0	0.0	0.676	0.0	0.0	0.0	2.156	0	0	0.0
1972	Bangladesh	BD	67578486	6288245866.66667	0.093	0.378	0.04	0.0	0.835	0.0	0.0	0.0	3.325	0	0	0.378
1973	Bangladesh	BD	68658472	8086725729.3407	0.121	0.523	0.075	0.0	0.947	0.0	0.0	0.0	3.832	0	0	0.523
1974	Bangladesh	BD	69837960	12512460519.7088	0.108	0.575	0.055	0.0	0.982	0.0	0.0	0.0	4.064	0	0	0.575
1975	Bangladesh	BD	71247153	19448348073.4565	0.125	0.578	0.099	0.0	1.146	0.0	0.0	0.0	4.903	0	0	0.578
1976	Bangladesh	BD	72930206	10117113333.3333	0.123	0.761	0.112	0.0	1.24	0.0	0.0	0.0	5.117	0	0	0.761
1977	Bangladesh	BD	74848466	9651149301.8746	0.129	0.849	0.099	0.0	1.222	0.0	0.0	0.0	5.349	0	0	0.849
1978	Bangladesh	BD	76948378	13281767142.8571	0.125	0.937	0.114	0.0	1.299	0.0	0.0	0.0	5.815	0	0	0.937
1979	Bangladesh	BD	79141947	15565480321.9448	0.093	1.078	0.133	0.0	1.439	0.0	0.0	0.0	6.424	0	0	1.078
1980	Bangladesh	BD	81364176	18138049095.6072	0.124	1.214	0.132	0.0	1.625	0.0	0.0	0.0	7.322	0	0	1.214
1981	Bangladesh	BD	83599582	20249694002.448	0.128	1.273	0.141	0.0	1.675	0.0	0.0	0.0	7.618	0	0	1.273
1982	Bangladesh	BD	85868228	18525399201.5968	0.155	1.653	0.118	0.0	1.65	0.0	0.0	0.0	8.035	0	0	1.653
1983	Bangladesh	BD	88181211	17609048821.5488	0.088	1.839	0.15	0.0	1.476	0.0	0.0	0.0	7.706	0	0	1.839
1984	Bangladesh	BD	90559540	18920840000	0.035	2.123	0.203	0.0	1.489	0.0	0.0	0.0	7.855	0	0	2.123
1985	Bangladesh	BD	93015182	22278423076.9231	0.049	2.411	0.167	0.0	1.66	0.0	0.0	0.0	9.208	0	0	2.411
1986	Bangladesh	BD	95550798	21774033333.3333	0.074	2.718	0.102	0.0	1.79	0.0	0.0	0.0	10.086	0	0	2.718
1987	Bangladesh	BD	98149262	24298032258.0645	0.116	3.194	0.117	0.0	1.76	0.0	0.0	0.0	11.079	0	0	3.194
1988	Bangladesh	BD	100779551	26579005760.315	0.12	3.759	0.153	0.0	1.765	0.0	0.0	0.0	11.357	0	0	3.759
1989	Bangladesh	BD	103400571	28781714763.7823	0.125	3.974	0.208	0.0	1.922	0.0	0.0	0.0	12.255	0	0	3.974
1990	Bangladesh	BD	105983136	31598341233.5793	0.281	4.277	0.2	0.0	1.86	0.0	0.0	0.0	13.293	0	0	4.277
1991	Bangladesh	BD	108509679	30957483290.541	0.09	4.405	0.19	0.0	1.722	0.0	0.0	0.0	12.597	0	0	4.405
1992	Bangladesh	BD	110987459	31708873954.9405	0.084	4.803	0.18	0.0	1.923	0.0	0.0	0.0	13.697	0	0	4.803
1993	Bangladesh	BD	113442354	33166520084.8295	0.031	5.377	0.138	0.0	2.161	0.0	0.0	0.0	14.828	0	0	5.377
1994	Bangladesh	BD	115913710	33768662171.2233	0.029	5.703	0.192	0.0	2.247	0.0	0.0	0.0	15.562	0	0	5.703
1995	Bangladesh	BD	118427768	37939748051.3878	0.321	6.305	0.084	0.0	2.933	0.0	0.0	0.0	19.026	0	0	6.305
1996	Bangladesh	BD	120987124	46438482370.3942	0.176	6.767	0.167	0.0	2.99	0.0	0.0	0.0	19.264	0	0	6.767
1997	Bangladesh	BD	123574107	48244308274.8086	0.323	6.651	0.163	0.0	3.429	0.0	0.0	0.0	21.699	0	0	6.651
1998	Bangladesh	BD	126169583	49984559471.3656	0.093	7.187	0.196	0.0	3.793	0.0	0.0	0.0	22.118	0	0	7.187
1999	Bangladesh	BD	128746273	51270569883.5275	0.046	7.836	0.188	0.0	3.371	0.0	0.0	0.0	22.972	0	0	7.836
2000	Bangladesh	BD	131280739	53369787318.6245	0.33	8.47	0.169	0.0	3.324	0.0	0.0	0.0	24.693	0	0	8.47
2001	Bangladesh	BD	133776064	53991289844.3291	0.35	9.485	0.225	0.0	3.957	0.0	0.0	0.0	29.036	0	0	9.485
2002	Bangladesh	BD	136228456	54724081490.5102	0.365	9.978	0.169	0.0	3.963	0.0	0.0	0.0	31.164	0	0	9.978
2003	Bangladesh	BD	138600174	60158929188.2556	0.349	10.733	0.169	0.0	4.109	0.001	0.001	0.0	32.309	0	0	10.733
2004	Bangladesh	BD	140843786	65108544250.0425	0.35	11.539	0.169	0.0	3.856	0.001	0.001	0.0	34.742	0	0	11.539
2005	Bangladesh	BD	142929979	69442943089.4309	0.481	12.402	0.169	0.0	3.875	0.001	0.001	0.0	37.317	0	0	12.402
2006	Bangladesh	BD	144839238	71819083683.7403	0.471	13.431	0.169	0.0	3.923	0.003	0.002	0.0	40.066	0	0	13.431
2007	Bangladesh	BD	146592687	79611888213.148	0.618	14.341	0.169	0.0	3.709	0.005	0.005	0.0	41.954	0	0	14.341
2008	Bangladesh	BD	148252473	91631278239.3237	0.641	15.313	0.215	0.0	3.77	0.005	0.005	0.0	45.537	0	0	15.313
2009	Bangladesh	BD	149905836	102477791472.39	0.774	17.529	0.094	0.0	3.523	0.009	0.008	0.0	50.613	0	0	17.529
