year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Belgium	BE	9463667	17371457607.9374	19.169	0.063	0.062	0.0	15.94	0.0	0.0	0.0	124.856	0	0	0
1966	Belgium	BE	9527807	18651883472.4808	17.487	0.114	0.068	0.001	16.257	0.0	0.0	0.0	118.625	0	0	0
1967	Belgium	BE	9580991	19992040788.4593	17.162	0.435	0.054	0.021	17.941	0.0	0.0	0.0	123.509	0	0	0
1968	Belgium	BE	9618756	21376353113.475	17.718	1.058	0.055	0.014	20.854	0.0	0.0	0.0	135.115	0	0	0
1969	Belgium	BE	9646032	23710735894.7022	17.256	2.178	0.052	0.005	24.053	0.0	0.0	0.0	144.458	0	0	0
1970	Belgium	BE	9655549	26849173618.3945	16.263	3.418	0.056	0.013	26.211	0.0	0.0	0.0	149.0	0	0	0
1971	Belgium	BE	9673162	29981318394.8688	13.467	4.713	0.03	0.0	26.855	0.0	0.0	0.0	142.148	0	0	0
1972	Belgium	BE	9711115	37408626615.3423	12.862	5.943	0.041	0.002	29.075	0.0	0.0	0.0	149.309	0	0	0
1973	Belgium	BE	9741720	47999408507.5554	10.793	7.143	0.039	0.017	30.561	0.026	0.0	0.0	147.172	0	0	0
1974	Belgium	BE	9772419	56333063690.9693	11.545	8.371	0.054	0.033	26.875	0.024	0.0	0.0	141.365	0	0	0
1975	Belgium	BE	9800700	66029811341.45	8.622	8.271	0.041	1.535	25.404	0.019	0.0	0.0	126.018	0	0	0
1976	Belgium	BE	9818227	71494607105.5381	8.986	8.737	0.025	2.271	26.486	0.013	0.0	0.0	131.797	0	0	0
1977	Belgium	BE	9830358	83283407090.6021	9.114	8.596	0.051	2.701	26.055	0.056	0.0	0.0	131.181	0	0	0
1978	Belgium	BE	9839534	101788571282.183	9.333	8.523	0.05	2.831	27.798	0.059	0.0	0.0	136.772	0	0	0
1979	Belgium	BE	9848382	116938177352.779	10.399	9.313	0.053	2.581	27.638	0.071	0.0	0.0	142.02	0	0	0
1980	Belgium	BE	9859242	127508322941.095	10.483	8.911	0.063	2.84	25.567	0.068	0.0	0.0	135.793	0	0	0
1981	Belgium	BE	9858982	105290713602.781	10.859	8.218	0.086	2.91	23.429	0.066	0.0	0.0	129.061	0	0	0
1982	Belgium	BE	9856303	92588982518.0999	10.876	6.852	0.075	3.544	22.177	0.01	0.0	0.0	121.871	0	0	0
1983	Belgium	BE	9855520	87650998816.568	9.281	7.12	0.076	5.455	20.077	0.005	0.0	0.0	109.183	0	0	0
1984	Belgium	BE	9855372	83795759983.2449	10.763	7.347	0.079	6.278	19.393	0.005	0.0	0.0	113.139	0	0	0
1985	Belgium	BE	9858308	86730120728.3103	10.733	7.383	0.065	7.829	19.664	0.012	0.0	0.0	113.765	0	0	0
1986	Belgium	BE	9861823	120661334386.852	9.158	6.629	0.078	8.914	22.265	0.027	0.0	0.0	113.724	0	0	0
1987	Belgium	BE	9870234	150194219665.046	9.114	7.31	0.097	9.496	22.43	0.033	0.0	0.001	115.215	0	0	0
1988	Belgium	BE	9901664	163168007789.358	9.21	7.215	0.081	9.753	23.125	0.043	0.0	0.002	117.189	0	0	0
1989	Belgium	BE	9937697	165100250614.251	9.676	8.018	0.069	9.326	22.699	0.045	0.0	0.002	119.75	0	0	0
1990	Belgium	BE	9967379	206431036697.248	10.597	8.169	0.06	9.667	23.854	0.065	0.0	0.002	127.044	0	0	0
1991	Belgium	BE	10004486	211638016538.689	10.063	8.735	0.052	9.698	25.695	0.069	0.0	0.002	131.36	0	0	0
1992	Belgium	BE	10045158	236038607528.231	9.214	9.05	0.077	9.833	26.271	0.062	0.0	0.002	130.023	0	0	0
1993	Belgium	BE	10084475	225924893540.112	8.493	9.407	0.057	9.487	25.862	0.057	0.0	0.002	127.004	0	0	0
1994	Belgium	BE	10115603	246195171328.671	8.967	9.673	0.078	9.192	27.999	0.057	0.0	0.002	129.973	0	0	0
1995	Belgium	BE	10136811	289567597153.804	8.652	10.611	0.076	9.358	27.7	0.075	0.0	0.002	129.385	0	0	0
1996	Belgium	BE	10156637	281357654723.127	8.261	11.816	0.054	9.806	30.178	0.073	0.0	0.002	137.998	0	0	0
1997	Belgium	BE	10181245	254813937753.721	7.981	11.265	0.069	10.727	30.97	0.064	0.0	0.002	137.859	0	0	0
1998	Belgium	BE	10203008	260602356079.129	8.052	12.474	0.088	10.446	31.299	0.084	0.0	0.002	142.383	0	0	0
1999	Belgium	BE	10226419	260202429149.798	7.06	13.335	0.077	11.091	30.109	0.115	0.0	0.003	135.51	0	0	0
2000	Belgium	BE	10251250	237904919845.218	8.002	13.369	0.104	10.897	30.93	0.132	0.0	0.004	139.812	0	0	0
2001	Belgium	BE	10286570	237841610738.255	7.403	13.18	0.1	10.488	30.966	0.143	0.0	0.008	137.207	0	0	0
2002	Belgium	BE	10332785	258860342555.995	6.405	13.378	0.081	10.716	31.737	0.176	0.0	0.013	136.723	0	0	0
2003	Belgium	BE	10376133	319003386004.515	6.014	14.402	0.056	10.721	33.673	0.214	0.0	0.02	143.834	0	0	0
2004	Belgium	BE	10421137	370885274397.815	5.868	14.57	0.072	10.706	33.697	0.267	0.0	0.032	142.616	0	0	0
2005	Belgium	BE	10478617	387365999253.824	5.172	14.728	0.065	10.77	33.624	0.411	0.0	0.051	138.274	0	0	0
2006	Belgium	BE	10547958	409813072387.404	4.952	15.003	0.081	10.555	33.812	0.587	0.0	0.083	139.836	0	0	0
2007	Belgium	BE	10625700	471821790309.335	4.42	14.929	0.088	10.913	34.564	0.701	0.001	0.111	139.398	0	0	0
2008	Belgium	BE	10709973	518626043650.212	4.549	14.838	0.093	10.311	35.95	0.907	0.01	0.144	141.291	0	0	0
2009	Belgium	BE	10796493	484552653514.865	3.137	15.112	0.074	10.685	31.545	1.156	0.038	0.225	128.269	0	0	0
2010	Belgium	BE	10895586	483577483443.709	3.763	16.992	0.071	10.849	32.707	1.399	0.127	0.292	137.281	0	0	0
2011	Belgium	BE	11047744	526975257158.743	3.512	14.193	0.044	10.914	30.524	1.851	0.265	0.523	123.032	0	0	0
2012	Belgium	BE	11128246	497884088082.651	3.215	14.36	0.081	9.118	29.632	2.286	0.486	0.622	118.606	0	0	0
2013	Belgium	BE	11182817	520091913424.264	3.344	14.18	0.086	9.649	30.145	2.556	0.598	0.829	119.349	0	0	0
2014	Belgium	BE	11231213	531761517044.614	3.333	12.41	0.066	7.626	29.711	2.697	0.652	1.044	111.953	0	0	0
2015	Belgium	BE	11249420	455085948763.447	3.183	13.603	0.072	5.906	30.958	3.201	0.694	1.261	117.58	0	0	0
2016	Belgium	BE	11249420	NA	2.978	13.886	0.088	9.85	31.769	3.157	0.668	1.285	120.174	0	0	0
