year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Bulgaria	BG	8204168	NA	5.996	0.055	0.453	0.0	3.702	0.0	0.0	0.0	36.76	0	0	0
1966	Bulgaria	BG	8258057	NA	6.183	0.082	0.455	0.0	4.226	0.0	0.0	0.0	39.234	0	0	0
1967	Bulgaria	BG	8310226	NA	6.714	0.249	0.458	0.0	5.316	0.0	0.0	0.0	45.297	0	0	0
1968	Bulgaria	BG	8369603	NA	7.294	0.382	0.295	0.0	6.3	0.0	0.0	0.0	51.119	0	0	0
1969	Bulgaria	BG	8434172	NA	7.333	0.397	0.416	0.0	7.736	0.0	0.0	0.0	55.858	0	0	0
1970	Bulgaria	BG	8489574	NA	8.021	0.358	0.487	0.0	8.986	0.0	0.0	0.0	62.462	0	0	0
1971	Bulgaria	BG	8536395	NA	7.917	0.247	0.492	0.0	9.889	0.0	0.0	0.0	64.573	0	0	0
1972	Bulgaria	BG	8576200	NA	8.16	0.167	0.474	0.0	10.282	0.0	0.0	0.0	66.63	0	0	0
1973	Bulgaria	BG	8620967	NA	8.223	0.168	0.582	0.0	10.849	0.0	0.0	0.0	68.637	0	0	0
1974	Bulgaria	BG	8678745	NA	8.083	0.366	0.471	0.21	11.284	0.0	0.0	0.0	69.861	0	0	0
1975	Bulgaria	BG	8720742	NA	8.474	0.972	0.555	0.578	11.965	0.0	0.0	0.0	75.134	0	0	0
1976	Bulgaria	BG	8758599	NA	7.899	1.699	0.668	1.129	12.431	0.0	0.0	0.0	75.924	0	0	0
1977	Bulgaria	BG	8804183	NA	7.867	2.168	0.797	1.332	12.927	0.0	0.0	0.0	78.437	0	0	0
1978	Bulgaria	BG	8814032	NA	8.388	2.313	0.658	1.338	13.315	0.0	0.0	0.0	82.095	0	0	0
1979	Bulgaria	BG	8825940	NA	8.649	2.475	0.75	1.398	13.726	0.0	0.0	0.0	84.922	0	0	0
1980	Bulgaria	BG	8861535	19839230769.2308	9.072	3.181	0.839	1.396	13.972	0.0	0.0	0.0	89.137	0	0	0
1981	Bulgaria	BG	8891117	19870000000	9.212	3.46	0.818	2.064	12.457	0.0	0.0	0.0	85.465	5.018	0	0
1982	Bulgaria	BG	8917457	19342000000	9.678	3.829	0.689	2.432	12.064	0.0	0.0	0.0	87.046	5.513	0	0
1983	Bulgaria	BG	8939738	16563666666.6667	9.641	4.023	0.758	2.788	11.634	0.0	0.0	0.0	85.98	5.543	0	0
1984	Bulgaria	BG	8960679	17594944444.4444	9.656	4.23	0.737	2.882	11.167	0.0	0.0	0.0	85.011	5.529	0	0
1985	Bulgaria	BG	8960547	17155421052.6316	10.078	4.614	0.505	2.972	10.362	0.0	0.0	0.0	84.877	5.281	0	0
1986	Bulgaria	BG	8958171	20249294117.6471	10.359	4.582	0.526	2.732	10.921	0.0	0.0	0.0	87.894	6.006	0	0
1987	Bulgaria	BG	8971359	28101000000	10.35	5.109	0.574	2.814	10.491	0.0	0.0	0.0	87.76	6.27	0	0
1988	Bulgaria	BG	8981446	22555941176.4706	9.642	4.963	0.587	3.628	11.13	0.0	0.0	0.0	86.551	5.822	0	0
1989	Bulgaria	BG	8876972	21988444444.4444	9.841	5.109	0.608	3.296	10.845	0.0	0.0	0.0	86.792	5.843	0	0
1990	Bulgaria	BG	8718289	20632090909.0909	8.717	5.419	0.426	3.319	6.788	0.0	0.0	0.0	66.181	5.091	0	0
1991	Bulgaria	BG	8632367	10943548387.0968	7.697	4.576	0.553	2.983	4.357	0.0	0.0	0.0	53.955	5.069	0	0
1992	Bulgaria	BG	8540164	10350515463.9175	7.556	4.052	0.466	2.614	3.926	0.0	0.0	0.0	50.924	5.801	0	0
1993	Bulgaria	BG	8472313	10829710144.9275	8.137	3.77	0.439	3.162	4.538	0.0	0.0	0.0	53.253	5.707	0	0
1994	Bulgaria	BG	8443591	9697416974.16974	7.573	3.772	0.332	3.47	4.458	0.0	0.0	0.0	51.072	5.671	0	0
1995	Bulgaria	BG	8406067	13063422619.0476	7.621	4.552	0.524	3.906	4.865	0.0	0.0	0.0	54.054	5.922	0	0
1996	Bulgaria	BG	8362826	10109404159.6402	7.731	4.65	0.661	4.092	4.293	0.0	0.0	0.0	52.569	6.027	0	0
1997	Bulgaria	BG	8312068	11195630536.8928	7.836	3.71	0.622	4.018	4.247	0.0	0.0	0.0	51.666	5.012	0	0
1998	Bulgaria	BG	8256786	14630974778.4594	7.5	3.104	0.7	3.825	4.434	0.0	0.0	0.0	49.555	5.067	0	0
1999	Bulgaria	BG	8210624	13495062850.302	6.489	2.689	0.623	3.579	4.116	0.007	0.0	0.0	43.863	4.276	0	0
2000	Bulgaria	BG	8170172	13148099185.2305	6.433	2.929	0.542	4.114	4.11	0.003	0.0	0.0	43.566	4.295	0	0
2001	Bulgaria	BG	8009142	14135393875.5893	7.244	2.463	0.295	4.425	4.223	0.0	0.0	0.0	46.14	4.449	0	0
2002	Bulgaria	BG	7837161	16360346653.8276	6.65	2.183	0.497	4.576	4.218	0.0	0.0	0.0	44.563	4.377	0	0
2003	Bulgaria	BG	7775327	21074775206.3254	7.327	2.307	0.67	4.52	4.424	0.0	0.0	0.0	47.917	4.627	0	0
2004	Bulgaria	BG	7716860	26094622563.6468	7.221	2.253	0.701	4.396	4.298	0.0	0.0	0.0	46.988	4.528	0	0
2005	Bulgaria	BG	7658972	29821662537.3229	6.895	2.809	0.964	4.176	4.832	0.001	0.0	0.001	48.166	4.165	0	0
2006	Bulgaria	BG	7601022	34304448149.8108	6.966	2.894	0.903	4.411	4.972	0.005	0.0	0.005	49.185	4.276	0	0
2007	Bulgaria	BG	7545338	44765733379.986	7.864	2.917	0.651	3.313	4.839	0.011	0.0	0.011	52.475	4.722	0	0
2008	Bulgaria	BG	7492561	54666642734.2757	7.551	2.917	0.65	3.567	4.773	0.031	0.0	0.028	50.297	4.812	0	0
2009	Bulgaria	BG	7444443	51783454183.5501	6.401	2.086	0.785	3.452	4.292	0.056	0.001	0.054	43.158	4.565	0	0
2010	Bulgaria	BG	7395599	50610031135.7791	6.891	2.298	1.144	3.45	3.885	0.165	0.003	0.154	44.968	4.92	0	0
2011	Bulgaria	BG	7348328	57418391041.5926	8.112	2.631	0.66	3.691	3.782	0.23	0.023	0.195	50.355	6.205	0	0
2012	Bulgaria	BG	7305888	53903028252.2996	6.931	2.452	0.73	3.572	3.903	0.475	0.184	0.276	45.33	5.608	0	0
2013	Bulgaria	BG	7265115	55758744571.1183	5.928	2.368	0.923	3.207	3.618	0.644	0.308	0.311	39.945	4.782	0	0
2014	Bulgaria	BG	7223938	56732006512.0065	6.396	2.353	1.042	3.59	3.863	0.63	0.283	0.301	42.549	5.105	0	0
2015	Bulgaria	BG	7177991	50199117547.0415	6.619	2.58	1.281	3.48	4.376	0.703	0.313	0.329	45.54	5.832	0	0
2016	Bulgaria	BG	7177991	NA	5.745	2.687	0.872	3.57	4.517	0.715	0.319	0.312	42.907	5.116	0	0
