year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Total Former Soviet Union	BP_FSU	229455203	NA	297.437	104.622	19.306	0.421	168.325	0.0	0.0	0.0	1907.258	0	242.888	0
1966	Total Former Soviet Union	BP_FSU	231876383	NA	308.273	116.713	21.77	0.467	180.256	0.0	0.0	0.0	2014.713	0	265.1	0
1967	Total Former Soviet Union	BP_FSU	234214102	NA	313.046	128.497	20.998	0.51	196.394	0.0	0.0	0.0	2106.96	0	288.1	0
1968	Total Former Soviet Union	BP_FSU	236503739	NA	310.316	138.745	24.666	0.709	209.335	0.0	0.0	0.0	2157.957	0	309.2	0
1969	Total Former Soviet Union	BP_FSU	238772539	NA	316.217	148.275	26.824	0.822	222.581	0.0	0.0	0.0	2243.9	0	328.3	0
1970	Total Former Soviet Union	BP_FSU	241048379	NA	312.158	162.928	28.991	0.993	245.084	0.0	0.0	0.0	2320.892	0	353.039	161.222
1971	Total Former Soviet Union	BP_FSU	243372733	NA	318.47	178.093	29.353	1.219	259.892	0.0	0.0	0.0	2415.117	0	377.0	172.995
1972	Total Former Soviet Union	BP_FSU	245713069	NA	327.001	187.316	28.63	2.225	281.892	0.0	0.0	0.0	2529.798	0	400.4	180.326
1973	Total Former Soviet Union	BP_FSU	248042139	NA	330.877	203.71	28.54	3.238	303.066	0.0	0.0	0.0	2639.713	0	429.0	192.462
1974	Total Former Soviet Union	BP_FSU	250336512	NA	332.501	216.007	30.798	4.856	333.061	0.0	0.0	0.0	2742.357	0	458.9	212.253
1975	Total Former Soviet Union	BP_FSU	252557773	NA	341.965	235.681	29.353	6.475	348.783	0.0	0.0	0.0	2872.306	0	490.801	235.603
1976	Total Former Soviet Union	BP_FSU	254883713	NA	341.595	259.352	31.611	8.633	358.45	0.0	0.0	0.0	2959.422	0	519.677	261.41
1977	Total Former Soviet Union	BP_FSU	257168594	NA	347.731	277.899	34.23	11.547	372.132	0.0	0.0	0.0	3059.373	0	545.799	281.812
1978	Total Former Soviet Union	BP_FSU	259433692	NA	345.627	296.344	37.12	11.871	394.79	0.0	0.0	0.0	3158.514	0	571.531	303.144
1979	Total Former Soviet Union	BP_FSU	261702076	NA	348.129	314.583	40.642	13.49	401.893	0.0	0.0	0.0	3217.764	0	585.6	331.165
1980	Total Former Soviet Union	BP_FSU	264014786	NA	337.531	324.228	41.545	16.727	421.467	0.0	0.0	0.0	3237.444	0	603.18	354.462
1981	Total Former Soviet Union	BP_FSU	266359532	NA	335.39	343.34	42.223	19.706	425.3	0.0	0.0	0.0	3275.407	346.332	608.82	378.977
1982	Total Former Soviet Union	BP_FSU	268605577	NA	340.527	370.633	39.513	22.685	422.337	0.0	0.0	0.0	3340.237	349.231	612.551	407.81
1983	Total Former Soviet Union	BP_FSU	270874046	NA	341.4	397.411	40.642	25.206	416.294	0.0	0.0	0.0	3381.343	348.907	616.343	436.317
1984	Total Former Soviet Union	BP_FSU	273413962	NA	338.178	433.635	45.835	32.538	416.467	0.0	0.0	0.0	3445.154	345.12	612.71	478.425
