year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Non OECD	BP_NONOECD	2481601026	408658106235.93	516.994	138.843	48.062	0.421	385.144	0.0	0.0	0.0	3503.388	0	1052.29	0
1966	Non OECD	BP_NONOECD	2541471738	422447201334.3	536.512	154.005	52.618	0.47	415.701	0.0	0.0	0.0	3708.283	0	1155.195	0
1967	Non OECD	BP_NONOECD	2601375051	433967959763.32	530.458	170.029	53.062	0.519	443.864	0.0	0.0	0.0	3803.152	0	1242.349	0
1968	Non OECD	BP_NONOECD	2662976411	458666750697.85	531.833	183.642	60.403	0.713	476.615	0.0	0.0	0.0	3936.648	0	1382.685	0
1969	Non OECD	BP_NONOECD	2726973757	512523110463.78	564.84	199.457	65.616	0.998	510.917	0.0	0.0	0.0	4202.345	0	1518.13	0
1970	Non OECD	BP_NONOECD	2792768361	567346036898.76	598.339	219.49	72.956	1.299	557.374	0.129	0.0	0.0	4510.379	0	1695.658	222.066
1971	Non OECD	BP_NONOECD	2859947355	620478383445.38	634.565	238.67	76.696	1.46	609.946	0.509	0.0	0.0	4856.432	0	1830.65	243.007
1972	Non OECD	BP_NONOECD	2926219839	696425271756.09	657.131	252.705	81.067	2.497	661.911	0.51	0.0	0.0	5125.123	0	1958.968	260.264
1973	Non OECD	BP_NONOECD	2992579167	880855022020.69	667.628	278.535	84.475	3.776	721.978	0.542	0.0	0.0	5398.269	0	2184.5	284.524
1974	Non OECD	BP_NONOECD	3058525894	1135483661048.08	676.092	296.641	93.72	5.831	767.278	0.57	0.0	0.0	5585.8	0	2215.22	311.976
1975	Non OECD	BP_NONOECD	3123240799	1235577475256.08	721.099	325.044	97.077	8.2	795.064	0.679	0.0	0.0	5911.278	0	2091.092	345.439
1976	Non OECD	BP_NONOECD	3187488592	1363993465515.00	731.735	359.105	104.271	11.015	845.898	0.786	0.0	0.0	6182.681	0	2324.326	382.798
1977	Non OECD	BP_NONOECD	3251283666	1560934117634.18	767.719	390.171	113.917	13.761	894.469	0.859	0.0	0.0	6527.588	0	2386.657	416.75
1978	Non OECD	BP_NONOECD	3316263998	1703046677397.88	792.687	419.311	123.782	15.011	956.518	0.948	0.0	0.0	6856.214	0	2364.346	450.6
1979	Non OECD	BP_NONOECD	3382962044	2023977804550.05	816.016	455.798	134.391	17.465	997.184	1.161	0.0	0.0	7136.081	0	2450.598	502.36
1980	Non OECD	BP_NONOECD	3450483892	2402800970048.28	826.149	473.86	142.74	21.073	1020.2	1.483	0.0	0.0	7252.25	0	2271.673	525.441
1981	Non OECD	BP_NONOECD	3519787956	2536099023416.0	840.835	502.113	147.545	25.476	1029.072	2.015	0.0	0.0	7382.789	865.213	2073.9	555.702
1982	Non OECD	BP_NONOECD	3592477515	2570995876638.29	873.314	541.183	148.236	29.607	1035.665	2.16	0.0	0.0	7598.461	901.784	1918.526	599.292
1983	Non OECD	BP_NONOECD	3666193120	2539936503027.49	910.607	577.299	154.181	34.677	1045.316	2.563	0.0	0.0	7841.284	934.206	1859.305	646.457
1984	Non OECD	BP_NONOECD	3740003422	2565231833629.9	951.108	630.371	169.034	45.318	1061.3	2.623	0.0	0.0	8145.857	984.761	1872.92	715.991
1985	Non OECD	BP_NONOECD	3815389690	2668183760801.4	987.053	679.329	178.252	52.705	1081.097	2.741	0.0	0.0	8466.247	1027.937	1838.045	774.703
1986	Non OECD	BP_NONOECD	3893164525	2875272288534.6	1024.68	719.226	186.405	50.746	1110.19	2.789	0.0	0.0	8757.746	1060.974	2006.311	835.448
1987	Non OECD	BP_NONOECD	3973224146	3031587482322.5	1079.417	752.852	192.522	58.437	1142.57	2.743	0.0	0.0	9119.195	1092.088	2015.065	884.953
1988	Non OECD	BP_NONOECD	4054068708	3275856881905.7	1121.067	799.19	203.74	67.653	1173.938	2.788	0.0	0.0	9461.064	1135.215	2143.749	941.548
1989	Non OECD	BP_NONOECD	4134504431	3471268104445.1	1135.7	828.05	209.382	65.871	1201.774	2.963	0.0	0.0	9646.647	1167.051	2216.528	979.686
1990	Non OECD	BP_NONOECD	4215423181	3863605043562.4	1135.253	862.132	216.087	64.333	1218.94	3.514	0.0	0.008	9782.376	1166.697	2281.797	1016.26
1991	Non OECD	BP_NONOECD	4292769371	4114671081176.7	1133.779	877.031	225.231	64.674	1218.641	3.546	0.0	0.028	9801.383	1150.797	2246.569	1021.847
1992	Non OECD	BP_NONOECD	4366801070	4105277457933.6	1154.616	863.114	225.923	63.242	1219.883	3.846	0.001	0.05	9835.46	1165.318	2266.777	1019.719
1993	Non OECD	BP_NONOECD	4442094799	4238957127847.0	1170.735	846.329	239.837	63.259	1185.512	3.815	0.001	0.071	9785.623	1158.937	2266.287	1007.936
1994	Non OECD	BP_NONOECD	4516719560	4683293796702.5	1183.44	835.638	254.258	59.691	1197.334	4.421	0.001	0.133	9841.926	1182.676	2275.314	998.795
1995	Non OECD	BP_NONOECD	4592744810	5440991298213.4	1188.66	846.428	263.619	62.715	1216.449	5.391	0.002	0.255	9944.98	1240.947	2310.121	1017.978
1996	Non OECD	BP_NONOECD	4666890304	5897745498076.9	1211.945	882.22	263.334	69.597	1230.751	5.66	0.003	0.232	10141.488	1263.681	2376.097	1066.425
1997	Non OECD	BP_NONOECD	4741124773	6174870601398.4	1204.321	868.747	268.03	70.259	1285.492	6.581	0.004	0.296	10214.201	1271.976	2461.906	1063.988
