year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Total Africa	BP_TAF	321522796	48756914406.6491540	28.856	0.907	3.231	0.0	27.238	0.0	0.0	0.0	199.772	0	106.531	0
1966	Total Africa	BP_TAF	329693812	51817194744.2268756	28.493	1.014	3.541	0.0	29.868	0.0	0.0	0.0	206.822	0	135.402	0
1967	Total Africa	BP_TAF	338134449	52377077827.2564344	29.322	1.003	3.656	0.0	29.59	0.0	0.0	0.0	207.781	0	149.105	0
1968	Total Africa	BP_TAF	346842195	56480178349.3974316	30.56	1.023	4.214	0.0	31.225	0.0	0.0	0.0	217.658	0	191.018	0
1969	Total Africa	BP_TAF	355812002	64266682533.4565475	30.74	1.219	4.884	0.0	31.696	0.0	0.0	0.0	219.79	0	242.663	0
1970	Total Africa	BP_TAF	365045941	74775778836.6155846	31.64	1.508	6.127	0.0	35.197	0.0	0.0	0.0	234.665	0	292.254	2.823
1971	Total Africa	BP_TAF	374544351	77162708287.7554000	33.425	1.721	5.846	0.0	39.617	0.037	0.0	0.0	253.974	0	273.811	3.46
1972	Total Africa	BP_TAF	384327458	87967187893.9798145	33.744	2.288	6.751	0.0	42.935	0.037	0.0	0.0	266.678	0	275.135	6.11
1973	Total Africa	BP_TAF	394440356	110477755413.9097711	35.676	3.653	6.744	0.0	46.142	0.038	0.0	0.0	287.172	0	287.057	9.192
1974	Total Africa	BP_TAF	404942796	142486193316.0174588	37.157	4.088	7.94	0.0	47.732	0.04	0.0	0.0	298.932	0	264.881	9.567
1975	Total Africa	BP_TAF	415879506	160245606774.6593343	39.474	4.954	8.345	0.0	49.993	0.039	0.0	0.0	316.378	0	242.469	10.791
1976	Total Africa	BP_TAF	427267374	176259583101.727355	41.44	5.653	9.246	0.0	55.894	0.042	0.0	0.0	342.339	0	288.96	12.854
1977	Total Africa	BP_TAF	439103486	196249117475.7255267	42.384	6.327	10.201	0.0	58.837	0.043	0.0	0.0	356.099	0	303.407	13.11
1978	Total Africa	BP_TAF	451381389	219942744757.0922142	41.095	9.041	10.428	0.0	61.586	0.044	0.0	0.0	367.512	0	298.011	17.475
1979	Total Africa	BP_TAF	464098688	266507981345.697223	43.384	13.834	10.698	0.0	65.375	0.045	0.0	0.0	396.526	0	326.421	26.528
1980	Total Africa	BP_TAF	477241505	342837902298.8027713	46.766	17.554	10.415	0.0	69.816	0.047	0.0	0.0	433.134	0	300.557	22.079
