year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Total Asia-Pacific	BP_TAP	1760692039	290164073997.474352	239.067	5.266	34.067	0.006	163.432	0.372	0.0	0.0	1428.96	0	44.905	0
1966	Total Asia-Pacific	BP_TAP	1804263711	303251518657.275332	252.031	5.859	36.971	0.084	188.218	0.372	0.0	0.0	1552.501	0	50.012	0
1967	Total Asia-Pacific	BP_TAP	1847348875	335119184746.7280058	245.391	6.641	34.852	0.192	219.646	0.322	0.0	0.0	1619.365	0	53.026	0
1968	Total Asia-Pacific	BP_TAP	1891330790	365365881542.3544138	249.034	7.229	37.21	0.163	251.224	0.357	0.0	0.0	1725.43	0	62.05	0
1969	Total Asia-Pacific	BP_TAP	1939241342	416856477629.403088	279.421	9.527	39.685	0.376	291.86	0.364	0.0	0.0	1962.595	0	71.425	0
1970	Total Asia-Pacific	BP_TAP	1987602928	474675924020.0448207	312.17	13.153	40.53	1.044	338.37	0.402	0.0	0.0	2237.045	0	98.767	14.228
1971	Total Asia-Pacific	BP_TAP	2037270638	530382955844.5049884	334.152	15.533	44.054	1.837	375.637	0.397	0.0	0.0	2447.793	0	118.602	16.567
1972	Total Asia-Pacific	BP_TAP	2085574781	636285949163.6579218	347.021	17.946	46.072	2.242	404.206	0.404	0.0	0.0	2585.784	0	139.683	19.547
1973	Total Asia-Pacific	BP_TAP	2132859971	821975494041.1756455	355.41	22.078	44.617	2.677	459.722	0.415	0.0	0.0	2789.276	0	166.774	23.246
1974	Total Asia-Pacific	BP_TAP	2180472900	950910430208.2611121	364.052	27.429	48.686	4.732	456.354	0.565	0.0	0.0	2829.801	0	177.799	28.609
1975	Total Asia-Pacific	BP_TAP	2225704169	1037855219197.8286629	391.793	31.807	51.926	5.536	453.343	0.601	0.0	0.0	2935.493	0	189.01	33.08
1976	Total Asia-Pacific	BP_TAP	2268598784	1122613982661.5088856	401.095	36.561	52.657	9.034	481.936	0.585	0.0	0.0	3064.58	0	215.651	37.799
1977	Total Asia-Pacific	BP_TAP	2310720810	1333579786492.2998798	427.73	44.918	51.098	6.906	504.846	0.593	0.0	0.0	3249.3	0	235.461	45.892
1978	Total Asia-Pacific	BP_TAP	2353310752	1662876709391.5829992	448.673	53.678	53.201	13.456	531.959	0.66	0.0	0.0	3398.67	0	246.081	54.323
1979	Total Asia-Pacific	BP_TAP	2396832754	1808689654333.8886582	470.408	61.298	57.739	16.706	545.343	0.84	0.0	0.0	3538.809	0	252.42	61.729
1980	Total Asia-Pacific	BP_TAP	2440345370	1973999121967.6719513	497.212	65.847	61.461	21.91	516.331	1.171	0.0	0.0	3571.49	0	244.843	65.858
1981	Total Asia-Pacific	BP_TAP	2484867969	2169247300326.5377279	513.641	66.71	65.37	23.039	500.102	1.6	0.0	0.0	3593.137	497.633	241.988	66.375
1982	Total Asia-Pacific	BP_TAP	2532211158	2135238290954.3166418	531.629	69.572	63.312	28.229	485.149	3.61	0.0	0.0	3621.835	522.792	237.013	69.121
1983	Total Asia-Pacific	BP_TAP	2579949152	2262948225354.5735977	562.777	76.477	68.029	31.68	491.987	4.088	0.0	0.0	3779.177	553.23	254.443	77.541
1984	Total Asia-Pacific	BP_TAP	2626865987	2404603171101.0657666	611.52	89.39	67.241	37.899	509.209	4.467	0.0	0.0	4054.51	598.911	279.79	89.431
1985	Total Asia-Pacific	BP_TAP	2674834876	2572092916111.0681932	659.781	97.115	72.342	45.781	506.185	4.705	0.0	0.0	4191.093	662.467	289.206	96.824
1986	Total Asia-Pacific	BP_TAP	2724881640	3283653430584.3436525	685.122	106.032	73.061	51.427	525.859	4.908	0.0	0.0	4352.265	685.705	299.764	106.662
1987	Total Asia-Pacific	BP_TAP	2776734928	3807665286571.1847229	734.505	112.567	74.232	60.521	542.212	4.98	0.0	0.0	4591.977	712.997	302.481	113.463
1988	Total Asia-Pacific	BP_TAP	2829127829	4536948455527.4515757	787.028	120.074	80.026	57.019	589.209	5.391	0.0	0.0	4942.295	742.3	305.727	121.155
1989	Total Asia-Pacific	BP_TAP	2881155144	4711581536832.828152	822.541	127.785	87.618	60.29	625.449	5.867	0.0	0.0	5189.817	795.925	314.65	126.675
1990	Total Asia-Pacific	BP_TAP	2932454901	4936268742712.19637415	840.433	135.825	90.257	65.234	664.178	4.996	0.001	0.007	5378.884	818.868	325.804	134.524
1991	Total Asia-Pacific	BP_TAP	2982955678	5461278972017.10407132	875.456	149.207	92.694	69.425	692.022	5.129	0.002	0.028	5628.639	835.311	335.024	146.579
1992	Total Asia-Pacific	BP_TAP	3031910159	5932215626538.89606934	905.47	158.533	90.892	71.36	738.205	5.207	0.006	0.05	5876.663	863.92	334.499	154.91
1993	Total Asia-Pacific	BP_TAP	3080182024	6624250025105.02805527	952.865	166.489	99.978	79.049	769.49	5.229	0.01	0.07	6186.535	886.82	336.563	164.26
1994	Total Asia-Pacific	BP_TAP	3128626951	7461331008779.2291049	1000.466	180.12	100.949	84.472	815.544	6.08	0.012	0.133	6519.096	937.047	345.949	177.998
1995	Total Asia-Pacific	BP_TAP	3176830895	8478837560680.8323216	1024.564	188.754	109.192	93.037	864.711	7.221	0.016	0.254	6776.192	1015.867	352.113	187.273
1996	Total Asia-Pacific	BP_TAP	3224778766	8210313079920.1549547	1068.495	206.289	107.166	97.83	905.896	7.317	0.022	0.225	7085.093	1051.656	363.821	204.299
1997	Total Asia-Pacific	BP_TAP	3272227371	7878916120951.7959167	1073.081	222.088	106.774	104.098	950.005	8.253	0.034	0.275	7239.001	1066.585	367.402	217.075
1998	Total Asia-Pacific	BP_TAP	3318907474	7120281390605.7154215	1072.26	228.36	115.681	108.522	927.341	9.005	0.046	0.337	7178.729	1043.275	365.39	221.087
1999	Total Asia-Pacific	BP_TAP	3364272202	7931724946604.0250669	1106.427	246.52	112.915	110.182	969.445	9.834	0.065	0.467	7482.917	1071.926	361.633	234.995
2000	Total Asia-Pacific	BP_TAP	3408654199	8562188696140.8562343	1143.943	265.271	117.426	113.287	997.788	10.36	0.097	0.58	7711.168	1115.562	381.047	249.165
2001	Total Asia-Pacific	BP_TAP	3452340555	8029367974549.4748993	1196.507	281.795	129.224	114.759	1003.945	10.804	0.137	0.796	7961.191	1184.581	377.205	256.78
2002	Total Asia-Pacific	BP_TAP	3495017696	8181172911607.7722059	1288.171	295.109	131.689	117.656	1035.746	11.395	0.187	0.92	8404.513	1255.085	378.377	273.753
2003	Total Asia-Pacific	BP_TAP	3536719886	9061844863267.7283152	1472.903	320.324	134.709	104.626	1080.017	12.264	0.252	1.208	9276.54	1422.001	374.029	292.19
2004	Total Asia-Pacific	BP_TAP	3577553743	10201917085252.4949774	1656.776	340.656	154.71	118.97	1140.877	14.059	0.33	2.079	10243.275	1622.344	378.813	311.844
2005	Total Asia-Pacific	BP_TAP	3617714809	10949232656715.2863491	1882.84	365.871	164.615	125.204	1150.398	16.645	0.417	2.72	11190.943	1794.314	382.873	337.047
2006	Total Asia-Pacific	BP_TAP	3657152002	11706427250156.5613271	2025.732	392.866	181.173	128.717	1176.675	19.17	0.511	4.248	11859.087	1922.171	380.96	352.155
2007	Total Asia-Pacific	BP_TAP	3695507214	13259843478382.3155193	2197.41	421.809	192.855	123.312	1217.633	21.955	0.604	5.506	12654.057	2065.467	381.849	367.001
2008	Total Asia-Pacific	BP_TAP	3733763441	15165436743280.9489843	2257.301	449.835	225.519	119.712	1213.569	26.171	0.735	7.928	12951.878	2156.193	388.426	385.458
2009	Total Asia-Pacific	BP_TAP	3771477715	15768243175179.1380231	2336.277	462.004	218.545	128.155	1223.915	33.339	0.975	12.84	13264.171	2244.801	384.302	405.313
2010	Total Asia-Pacific	BP_TAP	3809068411	18493857481120.8888634	2442.257	509.788	247.737	131.68	1302.172	41.089	1.55	17.404	13987.12	2406.683	402.701	441.542
2011	Total Asia-Pacific	BP_TAP	3846667303	21377675345741.7023801	2620.61	553.825	252.486	109.115	1347.388	51.709	2.686	24.985	14897.215	2638.798	395.234	451.249
2012	Total Asia-Pacific	BP_TAP	3884519726	22770999509382.5249252	2677.382	598.604	289.409	77.965	1403.402	61.817	3.795	32.467	15343.688	2699.722	400.156	454.895
2013	Total Asia-Pacific	BP_TAP	3922477625	23050957824019.3698796	2748.289	605.626	308.776	78.104	1425.181	79.03	7.133	44.12	15666.394	2792.465	393.923	465.333
2014	Total Asia-Pacific	BP_TAP	3960602461	23882520162518.9661556	2766.975	624.949	341.477	83.873	1446.994	92.974	13.958	47.645	15814.5	2783.06	396.52	484.909
2015	Total Asia-Pacific	BP_TAP	3998661860	23838907081779.4959829	2747.734	631.617	354.65	94.959	1505.771	112.706	21.609	55.047	15907.192	2759.422	399.975	505.692
2016	Total Asia-Pacific	BP_TAP	3998661860	NA	2753.633	650.251	368.109	105.934	1557.256	144.503	33.035	71.283	16100.528	2617.392	383.006	521.906
