year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	World	BP_WORLD	3325954953	1963192464185.8	1403.477	586.753	208.15	5.835	1525.397	1.136	0.0	0.0	11357.798	0	1567.894	0
1966	World	BP_WORLD	3395833251	2129201475186.7	1419.833	638.54	223.201	7.824	1642.68	1.395	0.0	0.0	11884.429	0	1702.325	0
1967	World	BP_WORLD	3465342406	2265434319583.87	1397.025	684.545	228.395	9.596	1760.01	1.454	0.0	0.0	12247.585	0	1826.596	0
1968	World	BP_WORLD	3535646371	2444051610899.73	1418.168	745.327	239.671	11.885	1911.039	1.639	0.0	0.0	12914.29	0	1992.799	0
1969	World	BP_WORLD	3610147228	2691553834955.82	1462.465	817.724	254.019	14.355	2074.845	1.791	0.0	0.0	13723.619	0	2143.408	0
1970	World	BP_WORLD	3685502058	2955502645128.19	1482.759	890.024	265.822	17.741	2252.974	2.343	0.0	0.0	14481.992	0	2357.973	899.656
1971	World	BP_WORLD	3762949769	3264343574260.25	1473.77	949.984	276.504	24.891	2385.71	2.756	0.0	0.0	14978.386	0	2496.174	959.74
1972	World	BP_WORLD	3839725259	3763478419183.73	1490.834	1000.401	288.998	34.144	2568.144	2.965	0.0	0.0	15685.483	0	2640.629	1004.826
1973	World	BP_WORLD	3915721200	4585240142347.32	1535.891	1045.017	292.607	45.856	2769.276	3.278	0.0	0.0	16537.971	0	2871.338	1049.465
1974	World	BP_WORLD	3992344579	5288391855603.39	1536.777	1066.952	321.17	59.598	2728.93	3.712	0.0	0.0	16445.593	0	2879.447	1067.267
1975	World	BP_WORLD	4067198703	5888977785887.03	1566.447	1064.282	326.025	82.446	2698.158	4.162	0.0	0.0	16459.586	0	2738.129	1067.585
1976	World	BP_WORLD	4140060241	6407218762032.24	1624.092	1125.107	324.859	98.066	2875.021	4.53	0.0	0.0	17347.432	0	2972.841	1111.445
1977	World	BP_WORLD	4212637433	7246948553822.13	1671.902	1159.748	333.302	121.153	2971.957	4.833	0.0	0.0	17894.511	0	3077.033	1157.349
1978	World	BP_WORLD	4286386820	8528948987869.64	1690.377	1206.729	359.583	140.135	3056.337	4.941	0.0	0.001	18182.153	0	3106.838	1195.496
