year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Canada	CA	19678000	53909570342.169	15.476	20.474	26.502	0.029	53.835	0.0	0.0	0.0	264.183	0	43.874	0
1966	Canada	CA	20048000	60358632035.1532	15.172	22.415	29.149	0.039	56.711	0.0	0.0	0.0	275.806	0	48.212	0
1967	Canada	CA	20412000	64768831262.1761	15.032	23.803	30.123	0.035	60.566	0.0	0.0	0.0	289.937	0	52.701	0
1968	Canada	CA	20744000	70759031841.7237	16.331	26.506	30.846	0.208	64.477	0.0	0.0	0.0	312.88	0	57.119	0
1969	Canada	CA	21028000	77887510241.7083	15.767	29.622	33.54	0.12	67.135	0.0	0.0	0.0	325.489	0	62.218	0
1970	Canada	CA	21324000	87896095224.4234	16.928	32.725	35.146	0.235	71.614	0.0	0.0	0.0	350.676	0	70.068	47.091
1971	Canada	CA	21645535	99271961477.5203	16.09	34.929	35.532	0.905	73.523	0.0	0.0	0.0	358.117	0	75.164	51.28
1972	Canada	CA	21993631	113082820992.019	15.183	39.288	38.768	1.517	77.395	0.0	0.0	0.0	375.351	0	86.713	57.585
1973	Canada	CA	22369408	131321859214.079	15.637	41.781	40.465	3.236	81.651	0.0	0.0	0.0	394.999	0	100.315	61.38
1974	Canada	CA	22774087	160408697648.262	15.888	42.234	44.788	3.146	83.008	0.0	0.0	0.0	401.459	0	94.387	59.251
1975	Canada	CA	23209000	173834029787.652	15.457	43.614	44.132	2.67	81.128	0.0	0.0	0.0	398.542	0	81.576	60.694
1976	Canada	CA	23518000	206575564401.623	18.3	44.001	45.896	3.598	85.436	0.16	0.0	0.0	417.29	0	75.305	60.61
1977	Canada	CA	23796000	211612156934.65	23.384	46.152	44.93	6.056	86.309	0.242	0.0	0.0	441.962	0	75.574	63.779
1978	Canada	CA	24036000	218632867449.812	19.228	46.593	49.102	7.452	87.957	0.256	0.0	0.0	427.738	0	75.19	61.241
1979	Canada	CA	24277000	243072102185.419	18.207	47.304	48.111	7.5	91.501	0.304	0.0	0.0	434.912	0	86.275	66.992
1980	Canada	CA	24593000	273853826377.01	22.175	47.007	50.349	8.085	90.104	0.294	0.0	0.0	444.226	0	83.269	63.643
