year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Chile	CL	8612074	5971875000	1.165	0.569	0.895	0.0	3.495	0.0	0.0	0.0	16.793	0	0	0
1966	Chile	CL	8802926	6925641025.64103	1.2	0.594	0.942	0.0	3.823	0.0	0.0	0.0	18.016	0	0	0
1967	Chile	CL	8995410	6870588235.29412	1.2	0.526	0.963	0.0	3.981	0.0	0.0	0.0	18.334	0	0	0
1968	Chile	CL	9187592	7050724637.68116	1.2	0.45	0.808	0.0	4.19	0.0	0.0	0.0	18.798	0	0	0
1969	Chile	CL	9377005	8196511627.90697	1.2	0.592	0.911	0.0	4.453	0.0	0.0	0.0	19.942	0	0	0
1970	Chile	CL	9561868	8962831858.40708	1.283	0.591	0.974	0.0	4.698	0.0	0.0	0.0	21.025	0	0	0
1971	Chile	CL	9741579	10702459016.3934	1.239	0.603	0.995	0.0	5.206	0.015	0.0	0.0	22.482	0	0	0
1972	Chile	CL	9916558	11551923076.9231	1.024	0.549	1.182	0.0	5.52	0.013	0.0	0.0	22.459	0	0	0
1973	Chile	CL	10087377	16397067039.1061	1.112	0.431	1.203	0.0	5.251	0.012	0.0	0.0	21.67	0	0	0
1974	Chile	CL	10255074	15536336032.3887	1.054	0.449	1.368	0.0	5.025	0.01	0.0	0.0	20.782	0	0	0
1975	Chile	CL	10420590	7226476863.54379	0.842	0.509	1.389	0.0	4.378	0.012	0.0	0.0	18.038	0	0	0
1976	Chile	CL	10584237	9857547846.7433	0.85	0.556	1.411	0.0	4.649	0.017	0.0	0.0	19.003	0	0	0
1977	Chile	CL	10746328	13359145454.9675	0.915	0.572	1.471	0.0	4.756	0.018	0.0	0.0	19.642	0	0	0
1978	Chile	CL	10907901	15399431310.8023	0.892	0.535	1.545	0.0	5.214	0.021	0.0	0.0	20.87	0	0	0
1979	Chile	CL	11070198	20729772209.396	0.987	0.633	1.571	0.0	5.256	0.021	0.0	0.0	21.64	0	0	0
1980	Chile	CL	11234340	27572307600	1.09	0.648	1.661	0.0	5.314	0.024	0.0	0.0	22.194	0	0	0
1981	Chile	CL	11400489	32644872979.4872	1.088	0.638	1.718	0.0	5.492	0.025	0.0	0.0	22.631	0	0	0
1982	Chile	CL	11569135	24339421604.7928	0.725	0.661	1.913	0.0	4.845	0.031	0.0	0.0	19.317	0	0	0
1983	Chile	CL	11742057	19770402076.4056	0.869	0.713	2.021	0.0	4.708	0.047	0.0	0.0	19.515	0	0	0
1984	Chile	CL	11921407	19232737055.2396	1.172	0.729	2.113	0.0	4.713	0.045	0.0	0.0	20.736	0	0	0
1985	Chile	CL	12108576	16486012247.2958	1.173	0.728	2.505	0.0	4.589	0.044	0.0	0.0	20.358	0	0	0
1986	Chile	CL	12304203	17722536671.3316	1.114	0.666	2.677	0.0	4.911	0.063	0.0	0.0	20.978	0	0	0
1987	Chile	CL	12507488	20902096531.6075	1.148	0.646	2.902	0.0	5.127	0.061	0.0	0.0	21.694	0	0	0
1988	Chile	CL	12716508	24640912615.8116	1.6	0.908	2.842	0.0	5.648	0.074	0.0	0.0	25.666	0	0	0
1989	Chile	CL	12928491	28385038396.7035	2.162	1.417	2.386	0.0	6.245	0.073	0.0	0.0	30.995	0	0	0
1990	Chile	CL	13141202	31558927517.2188	2.605	1.521	2.023	0.0	6.594	0.218	0.0	0.0	31.77	0	0	0
1991	Chile	CL	13354054	36424168146.1543	2.14	1.506	2.972	0.0	7.357	0.234	0.0	0.0	32.537	0	0	0
1992	Chile	CL	13566942	44467946384.2462	1.85	1.684	3.788	0.0	7.968	0.394	0.0	0.0	33.224	0	0	0
1993	Chile	CL	13778676	47693992626.8649	1.867	1.744	3.896	0.0	8.684	0.396	0.0	0.0	35.448	0	0	0
1994	Chile	CL	13987999	55154226759.96	2.202	1.682	3.843	0.0	9.328	0.404	0.0	0.0	38.62	0	0	0
1995	Chile	CL	14193986	71349202308.6423	2.374	1.612	4.167	0.0	10.257	0.425	0.0	0.0	42.122	0	0	0
1996	Chile	CL	14396020	75769008174.2547	3.289	1.638	3.818	0.0	10.894	0.393	0.0	0.0	47.492	0	0	0
1997	Chile	CL	14594070	82808986191.6005	4.282	2.229	4.286	0.0	11.699	0.394	0.0	0.0	54.696	0	0	0
1998	Chile	CL	14788609	79373597080.1017	4.029	3.078	3.606	0.0	11.967	0.263	0.0	0.0	55.944	0	0	0
1999	Chile	CL	14980484	72995286764.4168	4.157	4.204	3.072	0.0	12.086	0.229	0.0	0.0	57.818	0	0	0
2000	Chile	CL	15170387	79328640263.7676	3.213	5.428	4.318	0.0	11.816	0.213	0.0	0.0	55.565	0	0	0
2001	Chile	CL	15358418	72336972322.4242	2.521	6.152	4.906	0.0	11.224	0.47	0.0	0.002	52.798	0	0	0
2002	Chile	CL	15544554	70984568428.6004	2.541	6.205	5.247	0.0	11.74	0.441	0.0	0.002	54.308	0	0	0
2003	Chile	CL	15729268	77840186384.8713	2.429	6.712	5.114	0.0	11.321	0.41	0.0	0.002	54.137	0	0	0
2004	Chile	CL	15913119	100630707851.787	2.814	7.286	4.745	0.0	12.016	0.461	0.0	0.001	58.941	0	0	0
2005	Chile	CL	16096571	124404150138.227	2.758	7.048	5.787	0.0	12.461	0.407	0.0	0.002	60.307	0	0	0
2006	Chile	CL	16279728	154671012210.645	3.443	6.522	6.384	0.0	13.93	0.325	0.0	0.002	64.441	0	0	0
2007	Chile	CL	16462701	173081277147.793	4.086	3.845	5.054	0.0	17.902	0.613	0.0	0.003	75.876	0	0	0
2008	Chile	CL	16645940	179626674542.406	4.37	2.14	5.401	0.0	18.606	0.706	0.0	0.008	77.049	0	0	0
2009	Chile	CL	16829957	171956955710.33	3.995	2.163	5.611	0.0	18.188	0.985	0.0	0.018	73.941	0	0	0
2010	Chile	CL	17015048	217538271334.673	4.491	4.442	4.833	0.0	16.015	0.584	0.0	0.075	75.083	0	0	0
2011	Chile	CL	17201305	250832362674.151	5.76	4.517	4.69	0.0	17.557	1.132	0.0	0.075	85.928	0	0	0
2012	Chile	CL	17388437	265231582123.55	6.715	4.102	4.577	0.0	17.47	1.187	0.0	0.088	88.369	0	0	0
2013	Chile	CL	17575833	277078709134.903	7.548	4.111	4.44	0.0	16.835	1.431	0.002	0.126	90.079	0	0	0
2014	Chile	CL	17762647	258733363811.966	7.615	3.404	5.346	0.0	17.379	1.642	0.111	0.326	90.628	0	0	0
2015	Chile	CL	17948141	240796388428.74	7.313	3.663	5.422	0.0	17.638	1.901	0.293	0.478	90.972	0	0	0
2016	Chile	CL	17948141	NA	8.234	4.08	4.416	0.0	17.753	2.287	0.577	0.521	95.877	0	0	0
