year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	China	CN	715185000	70436266146.7219	114.42	1.023	5.0	0.0	10.96	0.0	0.0	0.0	488.689	0	11.31	0
1966	China	CN	735400000	76720285969.6157	122.4	1.246	5.088	0.0	14.074	0.0	0.0	0.0	530.548	0	14.55	0
1967	China	CN	754550000	72881631326.6715	108.8	1.358	4.386	0.0	13.9	0.0	0.0	0.0	476.138	0	13.88	0
1968	China	CN	774510000	70846535055.6503	107.99	1.302	5.175	0.0	15.2	0.0	0.0	0.0	476.891	0	15.99	0
1969	China	CN	796025000	79705906247.4612	130.405	1.823	5.263	0.0	20.377	0.0	0.0	0.0	582.765	0	21.74	0
1970	China	CN	818315000	92602973434.0726	165.92	2.669	5.439	0.0	28.191	0.0	0.0	0.0	748.933	0	30.65	2.669
1971	China	CN	841105000	99800958648.1436	191.305	3.478	6.579	0.0	38.43	0.0	0.0	0.0	882.257	0	39.41	3.478
1972	China	CN	862030000	113687586299.051	202.315	4.5	7.456	0.0	44.175	0.0	0.0	0.0	946.096	0	45.67	4.5
1973	China	CN	881940000	138544284708.957	204.965	5.561	8.333	0.0	53.83	0.0	0.0	0.0	987.891	0	53.61	5.561
1974	China	CN	900350000	144182133387.722	202.8	7.002	9.43	0.0	61.89	0.0	0.0	0.0	1007.887	0	64.85	7.002
1975	China	CN	916395000	163431551779.761	228.565	8.229	9.868	0.0	68.25	0.0	0.0	0.0	1132.587	0	77.06	8.229
1976	China	CN	930685000	153940455341.506	234.15	9.391	10.0	0.0	78.03	0.0	0.0	0.0	1184.642	0	87.16	9.391
1977	China	CN	943455000	174938098826.569	257.57	11.27	10.439	0.0	82.4	0.0	0.0	0.0	1295.348	0	93.64	11.27
1978	China	CN	956165000	149540650406.504	282.82	12.767	9.781	0.0	91.25	0.0	0.0	0.0	1420.572	0	104.05	12.767
1979	China	CN	969005000	178282608695.652	292.58	13.492	10.987	0.0	91.1	0.0	0.0	0.0	1460.61	0	106.15	13.492
1980	China	CN	981235000	191150000000	304.301	13.269	13.174	0.0	86.655	0.0	0.0	0.0	1473.329	0	105.95	13.269
1981	China	CN	993885000	195865079365.079	302.682	11.846	14.824	0.0	82.23	0.0	0.0	0.0	1450.425	310.8	101.22	11.846
1982	China	CN	1008630000	205091603053.435	320.278	11.093	16.838	0.0	81.324	0.0	0.0	0.0	1514.134	333.15	102.12	11.093
1983	China	CN	1023310000	230685823754.789	342.993	11.353	19.554	0.0	82.961	0.0	0.0	0.0	1609.51	357.25	106.07	11.353
1984	China	CN	1036825000	259946428571.429	373.024	11.558	19.644	0.0	85.957	0.0	0.0	0.0	1735.196	394.6	114.61	11.558
1985	China	CN	1051040000	309486394557.823	407.245	12.023	20.905	0.0	89.745	0.0	0.0	0.0	1836.619	436.15	124.9	12.023
1986	China	CN	1066790000	300759420289.855	425.746	12.795	21.394	0.0	95.371	0.0	0.0	0.0	1919.52	447.0	130.69	12.795
1987	China	CN	1084035000	272973094170.404	461.93	12.916	22.633	0.0	101.29	0.0	0.0	0.0	2064.79	464.05	134.14	12.916
1988	China	CN	1101630000	312353909465.021	496.236	13.353	24.702	0.0	108.83	0.0	0.0	0.0	2214.828	489.95	137.05	13.26
1989	China	CN	1118650000	347767206477.733	519.94	13.976	26.793	0.0	113.893	0.0	0.0	0.0	2312.429	527.1	137.64	13.993
1990	China	CN	1135185000	360858508604.206	527.474	14.18	28.679	0.0	112.861	0.015	0.0	0.0	2327.413	539.942	138.31	14.225
1991	China	CN	1150780000	383372822299.652	553.175	14.775	28.214	0.0	121.853	0.017	0.0	0.002	2459.355	543.703	140.99	14.403
1992	China	CN	1164970000	426915227629.513	578.805	14.766	29.571	0.0	132.378	0.056	0.001	0.03	2583.273	558.19	142.04	14.682
1993	China	CN	1178440000	444730903968.185	616.54	15.584	34.359	0.363	145.792	0.075	0.001	0.048	2792.124	575.335	144.03	15.589
1994	China	CN	1191835000	564325246266.838	657.065	16.125	37.885	3.34	148.124	0.192	0.001	0.087	2941.133	619.951	146.08	16.327
1995	China	CN	1204855000	734548001963.907	665.249	16.496	43.124	2.904	160.2	0.823	0.002	0.139	3030.891	680.365	149.02	16.688
1996	China	CN	1217550000	863746361646.34	696.078	17.191	42.533	3.245	175.667	0.37	0.002	0.021	3180.45	698.364	158.52	18.703
1997	China	CN	1230075000	961603416246.472	682.022	18.173	44.345	3.263	192.151	0.663	0.002	0.045	3168.511	693.78	160.13	21.11
1998	China	CN	1241935000	1029043011921.59	676.846	18.836	45.004	3.191	197.081	0.645	0.003	0.08	3165.698	666.028	160.18	21.646
1999	China	CN	1252735000	1093997559885.48	696.391	19.986	44.481	3.383	209.331	0.681	0.004	0.107	3296.817	682.012	160.22	23.43
2000	China	CN	1262645000	1211346395438.73	706.054	22.812	50.326	3.788	224.215	0.713	0.005	0.133	3352.671	707.318	162.62	25.323
2001	China	CN	1271850000	1339395440432.04	742.541	25.537	62.775	3.954	229.088	0.748	0.007	0.163	3514.958	749.375	164.83	28.236
2002	China	CN	1280400000	1470549716080.71	814.055	27.17	65.16	5.687	248.102	0.776	0.011	0.189	3834.211	800.286	166.866	30.407
2003	China	CN	1288400000	1660287543796.06	970.168	31.568	64.19	9.809	276.936	0.814	0.014	0.226	4522.606	945.34	169.585	32.599
2004	China	CN	1296075000	1955347477285.91	1131.15	36.935	79.998	11.42	323.406	0.878	0.017	0.289	5323.306	1106.942	174.051	38.599
2005	China	CN	1303720000	2285965854313.36	1324.601	43.392	89.835	12.012	328.926	1.664	0.019	0.44	6083.598	1241.702	181.353	45.917
2006	China	CN	1311020000	2752132089196.58	1454.719	53.377	98.608	12.41	353.146	2.475	0.021	0.84	6661.573	1328.423	184.766	54.513
2007	China	CN	1317885000	3552182714426.55	1584.171	65.657	109.803	14.058	370.662	3.497	0.026	1.24	7223.889	1439.283	186.318	64.462
2008	China	CN	1324655000	4598205419718.8	1609.28	75.684	144.128	15.476	378.06	6.362	0.034	2.964	7362.312	1491.77	190.44	74.759
2009	China	CN	1331260000	5109954035775.98	1685.778	83.343	139.304	15.87	392.814	11.028	0.063	6.245	7692.532	1537.863	189.49	79.385
2010	China	CN	1337705000	6100620356557.32	1748.949	100.061	160.968	16.717	448.495	15.89	0.159	10.097	8118.674	1665.284	203.014	89.181
2011	China	CN	1344130000	7572554360442.62	1903.853	123.371	155.687	19.539	465.106	22.774	0.591	15.914	8806.716	1851.682	202.876	98.069
2012	China	CN	1350695000	8560546868811.69	1927.793	135.85	195.229	22.038	487.07	29.429	0.813	21.717	8979.38	1873.543	207.478	100.653
2013	China	CN	1357380000	9607224248684.59	1969.073	154.725	205.822	25.255	508.142	42.281	1.895	31.949	9218.752	1894.595	209.959	109.983
2014	China	CN	1364270000	10482371325324.7	1954.484	169.561	237.848	29.99	527.963	50.757	5.32	35.317	9224.102	1864.21	211.429	118.443
2015	China	CN	1371220000	11064664793255.7	1913.617	175.283	252.177	38.646	561.839	64.385	8.712	42.034	9164.453	1825.563	214.56	122.495
2016	China	CN	1371220000	NA	1887.551	189.306	263.106	48.242	578.656	86.122	14.979	54.532	9123.049	1685.712	199.685	124.552
