year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Colombia	CO	19144220	5790247619.04762	2.014	0.837	0.802	0.0	3.84	0.0	0.0	0.0	21.467	0	10.655	0
1966	Colombia	CO	19721464	5452762962.96296	2.014	0.873	0.891	0.0	4.398	0.0	0.0	0.0	23.218	0	10.444	0
1967	Colombia	CO	20311369	5727195020.23203	2.21	1.08	0.993	0.0	4.433	0.0	0.0	0.0	24.573	0	10.075	0
1968	Colombia	CO	20905061	5918455409.8099	2.013	1.101	1.107	0.0	4.934	0.0	0.0	0.0	25.423	0	9.258	0
1969	Colombia	CO	21490948	6405427873.70755	2.149	1.202	1.23	0.0	4.736	0.0	0.0	0.0	25.548	0	11.234	0
1970	Colombia	CO	22061214	7198360460.19887	2.243	1.168	1.37	0.0	5.342	0.0	0.0	0.0	27.883	0	11.76	1.168
1971	Colombia	CO	22611988	7820380970.53674	1.744	1.118	1.453	0.0	5.531	0.0	0.0	0.0	26.203	0	11.676	1.118
1972	Colombia	CO	23146803	8671358732.68486	1.812	1.366	1.61	0.0	6.297	0.0	0.0	0.0	29.35	0	10.577	1.366
1973	Colombia	CO	23674505	10315760000.3394	1.846	1.415	1.752	0.0	6.024	0.0	0.0	0.0	28.591	0	9.948	1.415
1974	Colombia	CO	24208022	12370029583.6419	2.232	1.473	1.989	0.0	6.675	0.0	0.0	0.0	32.305	0	9.074	1.473
1975	Colombia	CO	24756969	13098633901.8673	2.269	1.388	2.202	0.0	6.716	0.043	0.0	0.0	32.67	0	8.499	1.283
1976	Colombia	CO	25323412	15341403660.4698	2.219	1.479	2.314	0.0	7.087	0.046	0.0	0.0	33.797	0	7.942	1.302
1977	Colombia	CO	25905124	19470960619.1297	2.275	1.656	2.365	0.0	7.096	0.043	0.0	0.0	34.537	0	7.467	1.477
1978	Colombia	CO	26502172	23263511958.0509	2.299	2.051	2.731	0.0	7.224	0.047	0.0	0.0	35.842	0	7.099	1.961
1979	Colombia	CO	27113510	27940411250.2732	2.319	2.212	3.0	0.0	7.673	0.049	0.0	0.0	37.624	0	6.677	2.24
