year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Czech Republic	CZ	9779358	NA	35.326	0.369	0.505	0.0	3.997	0.0	0.0	0.0	156.201	0	0	0
1966	Czech Republic	CZ	9821040	NA	35.222	0.386	0.476	0.0	4.418	0.0	0.0	0.0	156.97	0	0	0
1967	Czech Republic	CZ	9852899	NA	34.062	0.464	0.429	0.0	4.916	0.0	0.0	0.0	153.764	0	0	0
1968	Czech Republic	CZ	9876346	NA	35.259	0.572	0.332	0.0	5.42	0.0	0.0	0.0	160.379	0	0	0
1969	Czech Republic	CZ	9896580	NA	36.647	0.627	0.271	0.0	5.819	0.0	0.0	0.0	167.235	0	0	0
1970	Czech Republic	CZ	9858071	NA	37.1	0.689	0.387	0.0	6.984	0.0	0.0	0.0	172.497	0	0	0
1971	Czech Republic	CZ	9826815	NA	38.653	0.856	0.266	0.0	7.685	0.0	0.0	0.0	180.951	0	0	0
1972	Czech Republic	CZ	9867632	NA	38.102	0.93	0.284	0.0	8.419	0.0	0.0	0.0	180.695	0	0	0
1973	Czech Republic	CZ	9922266	NA	37.283	1.021	0.245	0.0	9.47	0.0	0.0	0.0	180.628	0	0	0
1974	Czech Republic	CZ	9988459	NA	37.145	1.245	0.392	0.0	9.719	0.0	0.0	0.0	181.366	0	0	0
1975	Czech Republic	CZ	10058620	NA	37.938	1.425	0.411	0.0	10.725	0.0	0.0	0.0	188.127	0	0	0
1976	Czech Republic	CZ	10125939	NA	38.678	1.573	0.326	0.0	11.336	0.0	0.0	0.0	193.704	0	0	0
1977	Czech Republic	CZ	10186755	NA	39.514	1.788	0.445	0.0	11.852	0.0	0.0	0.0	199.191	0	0	0
1978	Czech Republic	CZ	10242098	NA	39.668	2.003	0.413	0.0	12.261	0.0	0.0	0.0	201.492	0	0	0
1979	Czech Republic	CZ	10292341	NA	39.68	2.248	0.518	0.0	12.461	0.0	0.0	0.0	202.563	0	0	0
1980	Czech Republic	CZ	10304193	NA	38.451	2.589	0.542	0.0	11.6	0.0	0.0	0.0	195.471	0	0	0
