year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Algeria	DZ	12626953	3136258896.9233	0.07	0.695	0.089	0.0	1.289	0.0	0.0	0.0	5.701	0	26.481	0
1966	Algeria	DZ	12980269	3039834558.74906	0.068	0.722	0.082	0.0	1.693	0.0	0.0	0.0	7.004	0	33.872	0
1967	Algeria	DZ	13354197	3370843065.76735	0.052	0.7	0.092	0.0	1.578	0.0	0.0	0.0	6.501	0	39.076	0
1968	Algeria	DZ	13744383	3852115816.97758	0.055	0.736	0.126	0.0	1.682	0.0	0.0	0.0	6.91	0	42.904	0
1969	Algeria	DZ	14144437	4257218772.15369	0.07	0.968	0.082	0.0	1.775	0.0	0.0	0.0	7.775	0	44.784	0
1970	Algeria	DZ	14550033	4863487492.65763	0.083	0.91	0.132	0.0	2.032	0.0	0.0	0.0	8.437	0	48.208	2.28
1971	Algeria	DZ	14960111	5077222366.97472	0.023	1.033	0.074	0.0	2.288	0.0	0.0	0.0	9.126	0	37.099	2.403
1972	Algeria	DZ	15377095	6761786386.54713	0.02	1.2	0.113	0.0	2.514	0.0	0.0	0.0	10.214	0	50.098	3.045
1973	Algeria	DZ	15804428	8715105930.49101	0.023	1.67	0.171	0.0	2.739	0.0	0.0	0.0	11.928	0	50.888	4.041
1974	Algeria	DZ	16247113	13209713643.3219	0.019	1.933	0.113	0.0	3.036	0.0	0.0	0.0	13.338	0	47.355	4.672
1975	Algeria	DZ	16709098	15557934268.4965	0.024	2.664	0.074	0.0	3.378	0.0	0.0	0.0	15.979	0	45.754	5.753
1976	Algeria	DZ	17190236	17728347374.994	0.047	3.15	0.087	0.0	3.877	0.0	0.0	0.0	18.479	0	50.602	7.246
1977	Algeria	DZ	17690184	20971901273.271	0.061	3.357	0.061	0.0	4.4	0.0	0.0	0.0	19.978	0	54.054	6.935
1978	Algeria	DZ	18212331	26364491313.4471	0.031	5.391	0.058	0.0	4.521	0.0	0.0	0.0	25.553	0	57.737	10.755
1979	Algeria	DZ	18760761	33243422157.6311	0.072	7.623	0.066	0.0	5.42	0.0	0.0	0.0	33.552	0	57.55	17.629
1980	Algeria	DZ	19337723	42345277342.0195	0.064	10.233	0.058	0.0	5.469	0.0	0.0	0.0	40.449	0	51.75	13.25
1981	Algeria	DZ	19943667	44348672667.8715	0.045	13.302	0.082	0.0	5.889	0.0	0.0	0.0	48.824	0	46.83	15.361
1982	Algeria	DZ	20575701	45207088715.6483	0.835	15.093	0.108	0.0	6.245	0.0	0.0	0.0	57.11	0	46.847	20.043
1983	Algeria	DZ	21228288	48801369800.3675	0.745	16.524	0.053	0.0	7.011	0.0	0.0	0.0	62.155	0	45.866	28.701
1984	Algeria	DZ	21893857	53698278905.9678	0.826	14.517	0.103	0.0	7.76	0.0	0.0	0.0	59.701	0	49.472	29.214
1985	Algeria	DZ	22565908	57937868670.1937	0.862	14.382	0.147	0.0	7.966	0.0	0.0	0.0	60.33	0	49.997	32.105
1986	Algeria	DZ	23241276	63696301892.8116	0.885	15.75	0.058	0.0	8.078	0.0	0.0	0.0	63.961	0	51.796	32.837
1987	Algeria	DZ	23917889	66742267773.1959	1.058	16.11	0.113	0.0	8.158	0.0	0.0	0.0	65.718	0	52.639	37.06
1988	Algeria	DZ	24591493	59089067187.3943	0.995	18.153	0.042	0.0	8.168	0.0	0.0	0.0	70.315	0	53.569	38.743
1989	Algeria	DZ	25257671	55631489801.5508	0.841	17.082	0.061	0.0	8.553	0.0	0.0	0.0	68.362	0	54.656	41.774
1990	Algeria	DZ	25912364	62045099642.7774	0.659	18.243	0.031	0.0	9.156	0.0	0.0	0.0	69.31	0	57.477	44.417
1991	Algeria	DZ	26554277	45715367087.1001	0.68	18.018	0.066	0.0	9.069	0.0	0.0	0.0	68.965	0	57.68	47.896
1992	Algeria	DZ	27180921	48003298223.1178	0.808	18.603	0.045	0.0	9.113	0.0	0.0	0.0	70.241	0	56.63	49.872
1993	Algeria	DZ	27785977	49946455210.966	0.658	16.695	0.08	0.0	9.079	0.0	0.0	0.0	65.425	0	56.67	50.513
1994	Algeria	DZ	28362015	42542571305.5136	0.62	17.595	0.038	0.0	8.67	0.0	0.0	0.0	66.55	0	56.378	46.441
