year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Ecuador	EC	5250120	2387048255.45173	0.0	0.0	0.078	0.0	0.661	0.0	0.0	0.0	2.069	0	0.429	0
1966	Ecuador	EC	5405692	2429309513.80854	0.0	0.0	0.089	0.0	0.691	0.0	0.0	0.0	2.151	0	0.375	0
1967	Ecuador	EC	5566057	2553596091.82258	0.0	0.0	0.099	0.0	0.746	0.0	0.0	0.0	2.312	0	0.322	0
1968	Ecuador	EC	5730908	2582180794.1855	0.0	0.0	0.103	0.0	0.891	0.0	0.0	0.0	2.763	0	0.269	0
1969	Ecuador	EC	5899842	3112166848.3004	0.0	0.0	0.115	0.0	0.946	0.0	0.0	0.0	2.932	0	0.214	0
1970	Ecuador	EC	6072520	2862504169.99893	0.0	0.06	0.126	0.0	1.081	0.0	0.0	0.0	3.481	0	0.214	0
1971	Ecuador	EC	6248831	2754220263.02528	0.0	0.06	0.138	0.0	1.194	0.0	0.0	0.0	3.803	0	0.214	0
1972	Ecuador	EC	6428707	3185987234.84089	0.0	0.087	0.243	0.0	1.228	0.0	0.0	0.0	3.839	0	4.192	0
1973	Ecuador	EC	6611916	3891755551.94138	0.0	0.05	0.131	0.0	1.363	0.0	0.0	0.0	4.321	0	11.202	0
1974	Ecuador	EC	6798205	6599259420.99605	0.0	0.1	0.131	0.0	1.557	0.0	0.0	0.0	4.81	0	9.487	0
1975	Ecuador	EC	6987393	7731677256.80982	0.0	0.125	0.137	0.0	1.52	0.0	0.0	0.0	4.834	0	8.629	0
1976	Ecuador	EC	7179399	9091924304.83477	0.0	0.114	0.143	0.0	1.709	0.0	0.0	0.0	5.62	0	10.104	0
1977	Ecuador	EC	7374235	11026346589.5011	0.0	0.073	0.215	0.0	2.131	0.0	0.0	0.0	6.802	0	9.84	0
1978	Ecuador	EC	7571953	11922502170.6405	0.0	0.075	0.245	0.0	2.173	0.0	0.0	0.0	6.931	0	10.89	0
1979	Ecuador	EC	7772652	14175166007.5774	0.0	0.054	0.221	0.0	2.314	0.0	0.0	0.0	7.31	0	11.533	0
1980	Ecuador	EC	7976449	17881514682.8784	0.0	0.042	0.262	0.0	2.962	0.0	0.0	0.0	9.148	0	11.027	0
1981	Ecuador	EC	8183194	21810767209.3695	0.0	0.068	0.239	0.0	3.327	0.0	0.0	0.0	10.029	0	11.372	0
1982	Ecuador	EC	8392935	19929853574.6095	0.0	0.088	0.268	0.0	3.643	0.0	0.0	0.0	10.922	0	11.372	0
1983	Ecuador	EC	8606214	17152483214.3536	0.0	0.109	0.519	0.0	3.337	0.0	0.0	0.0	10.06	0	12.819	0
1984	Ecuador	EC	8823746	16912515183.2783	0.0	0.157	0.953	0.0	3.344	0.0	0.0	0.0	10.598	0	13.944	0
1985	Ecuador	EC	9045977	17149094589.9827	0.0	0.16	0.742	0.0	4.12	0.0	0.0	0.0	12.819	0	15.223	0
1986	Ecuador	EC	9272905	15314143988.0621	0.0	0.159	0.908	0.0	4.182	0.0	0.0	0.0	13.003	0	15.866	0
1987	Ecuador	EC	9504132	13945431882.2271	0.0	0.148	1.034	0.0	4.217	0.0	0.0	0.0	13.064	0	9.389	0
1988	Ecuador	EC	9739179	13051886552.3377	0.0	0.173	1.092	0.0	4.079	0.0	0.0	0.0	12.566	0	16.501	0
1989	Ecuador	EC	9977380	13890828707.6493	0.0	0.137	1.121	0.0	4.216	0.0	0.0	0.0	12.951	0	15.24	0
1990	Ecuador	EC	10218085	15239278100.3502	0.0	0.225	1.128	0.0	4.18	0.0	0.0	0.0	13.169	0	15.523	0
1991	Ecuador	EC	10460988	16988535267.6338	0.0	0.276	1.149	0.0	4.74	0.0	0.0	0.0	15.01	0	16.305	0
1992	Ecuador	EC	10705670	18094238119.0595	0.0	0.277	1.125	0.0	4.571	0.0	0.0	0.0	14.576	0	17.456	0
1993	Ecuador	EC	10951200	18938717358.6793	0.0	0.319	1.315	0.0	4.79	0.0	0.0	0.0	15.256	0	18.726	0
1994	Ecuador	EC	11196476	22708673336.6683	0.0	0.288	1.486	0.0	5.225	0.0	0.0	0.0	16.46	0	20.602	0
1995	Ecuador	EC	11440576	24432884442.2211	0.0	0.278	1.168	0.0	5.053	0.0	0.0	0.0	15.938	0	20.999	0
1996	Ecuador	EC	11683480	25226393196.5983	0.0	0.295	1.435	0.0	5.679	0.0	0.0	0.0	17.966	0	20.927	0
1997	Ecuador	EC	11924991	28162053026.5133	0.0	0.269	1.479	0.0	6.517	0.0	0.0	0.0	20.518	0	21.084	0
1998	Ecuador	EC	12163887	27981896948.4742	0.0	0.274	1.472	0.0	6.641	0.0	0.0	0.0	20.866	0	20.441	0
1999	Ecuador	EC	12398691	19645272636.3182	0.0	0.258	1.624	0.0	6.027	0.0	0.0	0.0	18.955	0	20.334	0
