year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Egypt	EG	30872982	5111621013.54303	0.403	0.044	0.392	0.0	6.936	0.0	0.0	0.0	22.91	0	6.478	0
1966	Egypt	EG	31660914	5339520612.99374	0.274	0.05	0.413	0.0	7.449	0.0	0.0	0.0	24.035	0	6.257	0
1967	Egypt	EG	32456565	5579168509.50907	0.422	0.05	0.445	0.0	6.06	0.0	0.0	0.0	20.134	0	5.581	0
1968	Egypt	EG	33252275	6109112149.53271	0.439	0.05	0.679	0.0	6.342	0.0	0.0	0.0	21.072	0	8.577	0
1969	Egypt	EG	34038147	6861743341.40436	0.474	0.064	0.903	0.0	4.68	0.0	0.0	0.0	15.893	0	12.295	0
1970	Egypt	EG	34808599	7682491836.22206	0.437	0.077	1.061	0.0	6.075	0.0	0.0	0.0	20.215	0	16.404	0.077
1971	Egypt	EG	35561087	8266003570.51773	0.359	0.077	1.142	0.0	6.264	0.0	0.0	0.0	20.507	0	14.952	0.077
1972	Egypt	EG	36302154	8763960703.20579	0.317	0.064	1.168	0.0	7.15	0.0	0.0	0.0	23.144	0	10.72	0.064
1973	Egypt	EG	37046807	9616725366.34664	0.276	0.051	1.166	0.0	6.722	0.0	0.0	0.0	21.614	0	8.479	0.051
1974	Egypt	EG	37815578	9015166839.80885	0.483	0.054	1.384	0.0	7.42	0.0	0.0	0.0	24.669	0	7.453	0.054
1975	Egypt	EG	38624410	11437965585.2696	0.577	0.045	1.537	0.0	8.218	0.0	0.0	0.0	27.582	0	11.734	0.045
1976	Egypt	EG	39478585	13360476861.9662	0.564	0.342	1.811	0.0	9.712	0.0	0.0	0.0	32.542	0	16.61	0.342
1977	Egypt	EG	40377668	14636028766.883	0.643	0.414	2.045	0.0	10.366	0.0	0.0	0.0	34.889	0	20.9	0.414
1978	Egypt	EG	41324806	14849909490.6004	0.616	0.666	2.247	0.0	10.728	0.0	0.0	0.0	36.412	0	25.19	0.666
1979	Egypt	EG	42321740	18150000571.4286	0.684	1.008	2.174	0.0	11.763	0.0	0.0	0.0	40.229	0	26.14	1.008
1980	Egypt	EG	43369552	22912500555.5556	0.55	1.962	2.218	0.0	13.165	0.0	0.0	0.0	45.954	0	29.78	1.962
1981	Egypt	EG	44465918	23405404729.7297	0.709	2.196	2.311	0.0	15.151	0.0	0.0	0.0	52.79	0	32.152	2.196
1982	Egypt	EG	45610430	25592365394.0887	0.733	2.403	2.374	0.0	17.237	0.0	0.0	0.0	59.328	0	33.314	2.403
1983	Egypt	EG	46807221	28137369499.4179	0.695	2.817	2.221	0.0	18.99	0.0	0.0	0.0	65.23	0	36.43	2.817
1984	Egypt	EG	48061546	30642873038.0563	0.705	3.618	2.179	0.0	20.48	0.0	0.0	0.0	70.837	0	41.836	3.618
1985	Egypt	EG	49373806	34689560464.8728	0.745	4.437	1.961	0.0	20.803	0.0	0.0	0.0	73.776	0	45.067	4.437
1986	Egypt	EG	50748187	35880262675.3976	0.749	5.112	2.1	0.0	20.887	0.0	0.0	0.0	75.573	0	41.135	5.112
1987	Egypt	EG	52173840	40507934171.249	0.792	5.652	1.961	0.0	21.707	0.0	0.0	0.0	79.466	0	46.249	5.652
1988	Egypt	EG	53617678	35044634014.7643	0.866	6.228	1.989	0.0	22.042	0.0	0.0	0.0	81.979	0	44.234	6.228
1989	Egypt	EG	55035937	39648442534.0768	0.886	6.966	2.184	0.0	22.911	0.0	0.0	0.0	86.643	0	44.521	6.966
1990	Egypt	EG	56397273	43130416913.4141	0.759	7.263	2.229	0.0	23.756	0.0	0.0	0.0	89.096	0	45.499	7.263
1991	Egypt	EG	57689828	36970555898.9698	0.781	8.172	2.255	0.0	23.369	0.0	0.0	0.0	89.88	0	45.418	8.172
1992	Egypt	EG	58922018	41855986519.4235	0.8	8.838	2.342	0.0	22.712	0.0	0.0	0.0	89.388	0	45.985	8.838
1993	Egypt	EG	60108373	46578631452.581	0.964	10.161	2.429	0.0	21.611	0.0	0.0	0.0	89.113	0	47.527	10.161
1994	Egypt	EG	61272847	51897983392.6453	1.038	10.8	2.534	0.0	21.467	0.0	0.0	0.0	90.127	0	46.497	10.89
