year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Finland	FI	4563732	8589340019.02985	1.742	0.0	2.116	0.0	5.721	0.0	0.0	0.0	24.778	0	0	0
1966	Finland	FI	4580869	9208524504.87684	1.617	0.0	2.349	0.0	6.923	0.0	0.0	0.0	28.149	0	0	0
1967	Finland	FI	4605744	9368954010.3132	1.556	0.0	2.631	0.0	7.249	0.0	0.0	0.0	28.928	0	0	0
1968	Finland	FI	4626469	8823033880.32993	1.873	0.0	2.373	0.0	8.224	0.0	0.0	0.0	33.237	0	0	0
1969	Finland	FI	4623785	10070766720.5011	2.247	0.0	1.979	0.0	9.563	0.0	0.0	0.0	38.998	0	0	0
1970	Finland	FI	4606307	11365953567.3839	2.274	0.0	2.155	0.0	10.763	0.0	0.0	0.0	43.148	0	0	0
1971	Finland	FI	4612124	12536710287.0134	2.016	0.0	2.417	0.0	11.138	0.0	0.0	0.0	43.312	0	0	0
1972	Finland	FI	4639657	14754136507.0261	2.238	0.0	2.349	0.0	11.865	0.0	0.0	0.0	44.792	0	0	0
1973	Finland	FI	4666081	19486826979.9284	2.487	0.0	2.394	0.0	13.272	0.0	0.0	0.0	50.435	0	0	0
1974	Finland	FI	4690574	24867278714.3532	2.534	0.382	2.874	0.0	11.561	0.0	0.0	0.0	45.983	0	0	0
1975	Finland	FI	4711440	29494515597.22	2.296	0.632	2.763	0.0	11.943	0.0	0.0	0.0	46.92	0	0	0
1976	Finland	FI	4725664	31873171718.726	3.097	0.741	2.145	0.0	12.826	0.0	0.0	0.0	53.229	0	0	0
1977	Finland	FI	4738902	33524682307.8058	3.124	0.754	2.756	0.598	12.507	0.0	0.0	0.0	52.469	0	0	0
1978	Finland	FI	4752528	36283091407.9422	4.214	0.821	2.217	0.733	12.545	0.0	0.0	0.0	55.589	0	0	0
1979	Finland	FI	4764690	44498283620.8213	4.06	0.818	2.46	1.515	13.302	0.0	0.0	0.0	57.546	0	0	0
1980	Finland	FI	4779535	53685049410.2646	4.61	0.769	2.312	1.578	12.794	0.0	0.0	0.0	57.617	0	0	0
1981	Finland	FI	4799964	52485533204.7396	2.83	0.612	3.09	3.295	12.251	0.0	0.0	0.0	48.686	0	0	0
1982	Finland	FI	4826933	52832120389.7866	3.141	0.578	2.962	3.77	11.314	0.0	0.0	0.0	47.037	0	0	0
1983	Finland	FI	4855787	51014090520.9223	3.413	0.561	3.073	3.982	10.504	0.0	0.0	0.0	45.298	0	0	0
1984	Finland	FI	4881803	52926394934.7052	3.932	0.642	2.998	4.239	10.648	0.0	0.0	0.0	47.889	0	0	0
1985	Finland	FI	4902206	55914236377.5902	4.985	0.815	2.791	4.283	10.754	0.0	0.0	0.0	53.153	0	0	0
1986	Finland	FI	4918154	73586676049.7302	4.558	0.986	2.804	4.287	11.25	0.0	0.0	0.0	52.934	0	0	0
1987	Finland	FI	4932123	91642093872.5822	5.107	1.305	3.122	4.415	11.184	0.0	0.0	0.0	55.636	0	0	0
1988	Finland	FI	4946481	109103056147.832	5.112	1.403	3.024	4.394	11.033	0.0	0.0	0.0	54.742	0	0	0
1989	Finland	FI	4964371	119064708327.56	5.001	1.84	2.948	4.29	11.011	0.0	0.0	0.0	55.097	0	0	0
1990	Finland	FI	4986431	141517648888.198	5.266	2.168	2.457	4.318	11.304	1.06	0.0	0.0	57.618	0	0	0
1991	Finland	FI	5013740	127866490222.026	5.26	2.285	2.986	4.384	11.199	1.092	0.0	0.0	56.736	0	0	0
1992	Finland	FI	5041992	112625431377.754	4.788	2.372	3.419	4.328	11.045	1.075	0.0	0.0	54.509	0	0	0
1993	Finland	FI	5066447	89255751014.885	5.475	2.451	3.049	4.478	10.626	1.301	0.0	0.001	56.619	0	0	0
1994	Finland	FI	5088333	103321570859.419	6.669	2.706	2.665	4.365	11.074	1.412	0.0	0.002	63.051	0	0	0
1995	Finland	FI	5107790	134199346405.229	5.899	2.81	2.923	4.318	10.206	1.444	0.0	0.002	59.336	0	0	0
1996	Finland	FI	5124573	132099404607.818	7.029	2.94	2.675	4.449	10.412	1.51	0.0	0.002	64.978	0	0	0
1997	Finland	FI	5139835	126833123353.568	6.658	2.892	2.696	4.776	10.299	1.747	0.0	0.004	63.222	0	0	0
1998	Finland	FI	5153498	133936359590.565	5.463	3.314	3.377	4.996	10.777	1.928	0.0	0.005	60.718	0	0	0
1999	Finland	FI	5165474	135225868314.511	5.294	3.317	2.868	5.254	10.863	2.039	0.0	0.011	60.379	0	0	0
2000	Finland	FI	5176209	125539893126.958	5.015	3.389	3.303	5.139	10.902	1.961	0.0	0.017	59.8	0	0	0
2001	Finland	FI	5188008	129250111856.823	6.061	3.677	2.975	5.205	10.669	1.875	0.0	0.016	64.62	0	0	0
2002	Finland	FI	5200598	139552983248.635	6.586	3.651	2.428	5.096	11.12	2.036	0.0	0.014	67.897	0	0	0
2003	Finland	FI	5213014	171071106094.808	8.219	4.041	2.161	5.2	11.47	2.124	0.0	0.021	76.269	0	0	0
2004	Finland	FI	5228172	196768065557.487	7.384	3.893	3.398	5.196	10.693	2.374	0.0	0.027	70.049	0	0	0
2005	Finland	FI	5246096	204436015420.968	4.744	3.562	3.069	5.325	11.091	2.184	0.001	0.038	59.498	0	0	0
2006	Finland	FI	5266268	216552502822.732	7.408	3.807	2.586	5.241	10.673	2.47	0.001	0.035	69.668	0	0	0
2007	Finland	FI	5288720	255384615384.615	6.995	3.522	3.198	5.359	10.81	2.29	0.001	0.043	67.561	0	0	0
2008	Finland	FI	5313399	283742493042.332	5.335	3.601	3.865	5.252	10.651	2.408	0.001	0.059	60.244	0	0	0
2009	Finland	FI	5338871	251499027507.641	5.373	3.214	2.874	5.383	10.06	2.034	0.001	0.063	57.651	0	0	0
2010	Finland	FI	5363352	247814569536.424	6.786	3.551	2.913	5.214	10.551	2.545	0.001	0.067	65.747	0	0	0
2011	Finland	FI	5388272	273657214345.288	5.513	3.106	2.806	5.303	9.711	2.632	0.001	0.109	56.848	0	0	0
2012	Finland	FI	5413971	256706466091.089	4.514	2.747	3.809	5.255	9.142	2.625	0.001	0.112	50.255	0	0	0
2013	Finland	FI	5438972	269980111642.898	4.997	2.554	2.896	5.4	9.012	2.877	0.001	0.175	50.81	0	0	0
2014	Finland	FI	5461512	272609288689.575	4.467	2.283	3.026	5.394	8.632	2.901	0.002	0.25	46.131	0	0	0
2015	Finland	FI	5479531	232351114561.384	3.786	1.967	3.79	5.318	8.742	3.09	0.002	0.527	43.142	0	0	0
2016	Finland	FI	5479531	NA	4.098	1.791	3.569	5.307	8.999	3.366	0.003	0.694	44.603	0	0	0
