year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	France	FR	50023774	102160571409.274	41.37	4.303	10.608	0.239	53.887	0.0	0.0	0.0	328.315	0	0	0
1966	France	FR	50508717	110597467198.645	38.333	4.539	11.813	0.363	57.663	0.088	0.0	0.0	329.23	0	0	0
1967	France	FR	50915456	119466139619.589	37.837	5.188	10.268	0.661	66.219	0.137	0.0	0.0	354.546	0	0	0
1968	France	FR	51276054	129847107787.883	36.385	6.204	11.409	0.801	71.782	0.21	0.0	0.0	368.173	0	0	0
1969	France	FR	51638260	140725497222.277	36.423	7.209	11.979	1.122	82.953	0.241	0.0	0.0	403.772	0	0	0
1970	France	FR	52035095	148948860281.091	34.666	8.213	12.826	1.292	94.272	0.31	0.0	0.0	432.121	0	0	0
1971	France	FR	52480421	166564460755.298	31.766	9.734	11.055	2.111	102.768	0.315	0.0	0.0	451.539	0	0	0
1972	France	FR	52959228	204283485045.514	28.256	11.511	11.049	3.302	114.123	0.343	0.0	0.0	474.989	0	0	0
1973	France	FR	53441264	265381555686.506	27.949	13.501	10.792	3.338	127.269	0.351	0.0	0.0	515.386	0	0	0
1974	France	FR	53882416	286526186579.378	28.289	14.096	12.724	3.329	121.007	0.357	0.0	0.0	496.724	0	0	0
1975	France	FR	54252574	362000917852.226	24.802	15.722	13.601	4.129	110.378	0.32	0.0	0.0	454.899	0	0	0
1976	France	FR	54541493	373410270417.919	29.16	16.89	10.989	3.57	119.452	0.302	0.0	0.0	502.232	0	0	0
1977	France	FR	54764462	411464295266.114	28.085	17.632	17.27	4.06	114.582	0.311	0.0	0.0	483.2	0	0	0
1978	France	FR	54947975	508183139534.884	29.302	18.828	15.468	6.891	118.961	0.321	0.0	0.0	499.986	0	0	0
1979	France	FR	55130594	615834104224.484	31.823	21.211	15.029	9.042	118.343	0.336	0.0	0.0	509.42	0	0	0
1980	France	FR	55340782	703525302701.025	31.157	21.575	15.732	13.86	109.891	0.333	0.0	0.0	484.088	0	0	0
1981	France	FR	55585824	617589619794.81	28.4	21.89	16.336	23.833	99.004	0.338	0.0	0.0	441.191	0	0	0
1982	France	FR	55858727	586837009681.605	29.04	21.109	15.969	24.646	91.504	0.346	0.0	0.0	417.86	0	0	0
1983	France	FR	56156284	561852138738.274	26.28	22.416	15.713	32.643	89.4	0.353	0.0	0.0	400.83	0	0	0
1984	France	FR	56470769	532648802822.187	25.13	23.439	14.864	43.271	85.888	0.367	0.0	0.0	387.014	0	0	0
1985	France	FR	56795686	555197109067.017	24.39	24.276	14.132	50.708	84.3	0.374	0.0	0.0	380.235	0	0	0
1986	France	FR	57132691	774556302680.178	20.16	24.335	14.258	57.509	86.04	0.376	0.0	0.0	369.429	0	0	0
1987	France	FR	57482591	938368438284.405	18.35	25.116	16.085	60.081	86.6	0.396	0.0	0.0	362.788	0	0	0
1988	France	FR	57836486	1023504019381.13	17.92	23.839	17.45	62.344	86.0	0.401	0.0	0.0	356.187	0	0	0
1989	France	FR	58182702	1030122352457.33	19.51	24.459	10.599	68.772	88.4	0.417	0.0	0.0	370.58	0	0	0
1990	France	FR	58512808	1275300566196.84	18.99	25.279	12.308	70.971	89.4	0.433	0.0	0.0	368.047	0	0	0
1991	France	FR	58559312	1275563306592.26	20.21	28.236	13.172	74.974	94.645	0.476	0.0	0.0	391.404	0	0	0
1992	France	FR	58851216	1408724907063.2	17.82	28.071	15.741	76.582	94.444	0.483	0.0	0.0	380.352	0	0	0
1993	France	FR	59106766	1330094973361.13	14.56	28.964	14.819	83.312	91.087	0.448	0.0	0.001	363.96	0	0	0
1994	France	FR	59327194	1401636342155.01	14.32	27.829	17.968	81.455	88.227	0.49	0.0	0.001	350.396	0	0	0
1995	France	FR	59541900	1609892232882.11	14.66	29.67	16.684	85.358	89.041	0.529	0.0	0.001	356.36	0	0	0
1996	France	FR	59753098	1614245416078.98	15.62	32.465	15.085	89.908	90.996	0.551	0.001	0.002	372.818	0	0	0
1997	France	FR	59964845	1460709148123.17	13.68	31.344	14.561	89.488	91.664	0.609	0.001	0.003	362.251	0	0	0
1998	France	FR	60186291	1510758283299.98	16.27	33.419	14.182	87.702	94.978	0.606	0.001	0.004	385.059	0	0	0
1999	France	FR	60496715	1500275942893.67	14.57	34.487	16.559	89.22	96.448	0.655	0.001	0.008	385.566	0	0	0
2000	France	FR	60912498	1368438363736.87	14.167	35.773	15.342	93.949	94.938	0.694	0.001	0.018	381.901	0	0	0
2001	France	FR	61357431	1382218344519.02	12.398	37.555	17.187	95.279	95.454	0.785	0.001	0.03	383.565	0	0	0
2002	France	FR	61805267	1500337850555.24	12.778	37.491	13.841	98.828	92.876	0.863	0.002	0.061	380.178	0	0	0
2003	France	FR	62244884	1848124153498.87	13.584	39.0	13.096	99.803	93.086	0.931	0.002	0.089	386.414	0	0	0
2004	France	FR	62704897	2124112242364.04	12.931	40.156	13.43	101.426	94.049	0.993	0.002	0.135	389.129	0	0	0
2005	France	FR	63179356	2203678646934.46	13.429	41.061	11.645	102.17	93.064	1.097	0.002	0.218	388.708	0	0	0
2006	France	FR	63621376	2325011918203.49	12.409	39.631	12.931	101.867	92.994	1.367	0.003	0.495	378.768	0	0	0
2007	France	FR	64016229	2663112510265.54	12.847	38.477	13.3	99.5	91.434	1.895	0.004	0.937	369.628	0	0	0
2008	France	FR	64374990	2923465651091.26	12.073	39.895	14.594	99.436	90.838	2.305	0.009	1.292	370.143	0	0	0
2009	France	FR	64707044	2693827452070.02	10.75	38.43	13.069	92.713	87.537	2.85	0.037	1.777	355.933	0	0	0
2010	France	FR	65027512	2646994701986.75	11.511	42.612	14.421	96.909	84.463	3.437	0.124	2.201	360.763	0	0	0
2011	France	FR	65342776	2862502085070.89	9.768	36.996	10.409	100.032	83.024	4.44	0.468	2.732	335.827	0	0	0
2012	France	FR	65659790	2681416108537.39	11.066	38.223	13.477	96.259	80.301	5.519	0.921	3.379	336.393	0	0	0
2013	France	FR	65972097	2808511203185.39	11.564	38.824	15.883	95.869	79.253	5.835	1.054	3.607	337.254	0	0	0
2014	France	FR	66268972	2839162443235.14	8.637	32.604	14.128	98.763	76.902	6.526	1.345	3.866	304.158	0	0	0
2015	France	FR	66538391	2418835532882.33	8.384	35.053	12.302	98.979	76.783	7.909	1.682	4.777	309.709	0	0	0
2016	France	FR	66538391	NA	8.316	38.316	13.465	91.236	76.374	8.16	1.878	4.684	315.963	0	0	0
