year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	United Kingdom	GB	54348050	100595782309.165	117.397	0.739	1.044	3.425	74.981	0.0	0.0	0.0	687.802	0	0.084	0
1966	United Kingdom	GB	54648500	107090721447.057	111.73	0.721	1.026	4.575	80.276	0.0	0.0	0.0	680.672	0	0.078	0
1967	United Kingdom	GB	54943600	111185383409.521	104.371	1.213	1.105	5.267	86.151	0.0	0.0	0.0	669.677	0	0.089	0
1968	United Kingdom	GB	55211700	104702736248.084	104.45	2.739	0.842	5.927	91.082	0.0	0.0	0.0	689.519	0	0.084	0
1969	United Kingdom	GB	55441750	112676874821.987	101.81	5.337	0.737	6.591	97.918	0.0	0.0	0.0	707.338	0	0.085	0
1970	United Kingdom	GB	55663250	130671946244.3	96.024	10.17	1.026	5.887	103.893	0.0	0.0	0.0	715.298	0	0.156	9.415
1971	United Kingdom	GB	55896223	148113896325.14	85.1	16.398	0.763	6.234	104.514	0.0	0.0	0.0	689.178	0	0.212	15.646
1972	United Kingdom	GB	56086065	169965034965.035	74.542	23.27	0.763	6.649	110.796	0.0	0.0	0.0	682.367	0	0.333	22.576
1973	United Kingdom	GB	56194527	192537971582.558	80.738	25.177	0.868	6.336	113.617	0.0	0.0	0.0	718.196	0	0.372	24.512
1974	United Kingdom	GB	56229974	206131369798.971	71.08	30.114	0.921	7.608	105.53	0.0	0.0	0.0	668.145	0	0.41	29.562
1975	United Kingdom	GB	56225800	241756637168.142	71.505	31.554	0.868	6.866	92.196	0.0	0.0	0.0	630.364	0	1.568	30.783
1976	United Kingdom	GB	56211968	232614555256.065	72.766	33.469	1.026	8.182	91.557	0.0	0.0	0.0	638.965	0	12.169	32.599
1977	United Kingdom	GB	56193492	263066457352.172	73.005	35.573	0.895	9.057	92.25	0.0	0.0	0.0	646.885	0	38.265	34.061
1978	United Kingdom	GB	56196504	335883029721.956	71.121	36.899	0.921	8.424	94.303	0.0	0.0	0.0	637.658	0	54.006	32.617
1979	United Kingdom	GB	56246951	438994070309.191	76.45	40.427	0.974	8.669	94.717	0.0	0.0	0.0	659.292	0	77.854	32.936
1980	United Kingdom	GB	56314216	564947710899.373	71.065	40.307	0.895	8.379	80.918	0.0	0.0	0.0	606.812	0	80.467	31.311
1981	United Kingdom	GB	56333829	540765675241.158	70.679	40.853	1.0	8.593	74.734	0.0	0.0	0.0	585.799	78.008	89.48	31.241
1982	United Kingdom	GB	56313641	515048916841.37	65.919	40.649	1.026	9.952	75.626	0.0	0.0	0.0	569.549	76.069	103.219	31.753
1983	United Kingdom	GB	56332848	489618008185.539	66.532	42.372	1.026	11.299	72.489	0.0	0.0	0.0	563.434	72.696	114.96	32.741
1984	United Kingdom	GB	56422072	461487097632.349	47.276	43.351	1.026	12.217	89.684	0.0	0.0	0.0	543.531	30.719	126.065	32.007
1985	United Kingdom	GB	56550268	489285164271.047	62.879	46.623	0.895	13.827	77.485	0.0	0.0	0.0	572.042	56.572	127.611	35.711
1986	United Kingdom	GB	56681396	601452653180.885	67.908	47.399	1.079	13.37	77.457	0.0	0.0	0.0	588.282	65.592	127.068	37.545
1987	United Kingdom	GB	56802050	745162608269.325	69.569	48.681	0.947	12.501	75.21	0.0	0.0	0.0	591.69	63.189	123.351	39.307
1988	United Kingdom	GB	56928327	910122732123.799	67.532	46.37	1.105	14.361	80.039	0.0	0.0	0.0	591.263	63.303	114.459	37.853
1989	United Kingdom	GB	57076711	926884816753.927	65.004	45.316	1.079	16.234	81.822	0.002	0.0	0.002	581.885	60.882	91.71	37.069
1990	United Kingdom	GB	57247586	1093169389204.55	64.945	47.183	1.158	14.88	82.994	0.137	0.0	0.002	593.035	56.443	91.604	40.932
1991	United Kingdom	GB	57424897	1142797178130.51	65.055	50.969	1.026	15.965	82.645	0.158	0.0	0.002	602.841	57.555	91.26	45.574
1992	United Kingdom	GB	57580402	1179659529659.53	61.168	50.724	1.211	17.382	83.723	0.219	0.0	0.007	584.68	51.514	94.251	46.345
1993	United Kingdom	GB	57718614	1061388722255.55	53.266	57.805	0.974	20.222	84.156	0.32	0.0	0.049	570.545	41.588	100.189	54.488
1994	United Kingdom	GB	57865745	1140489745944.29	49.734	59.523	1.158	19.98	83.204	0.421	0.0	0.078	556.377	29.704	126.542	58.172
1995	United Kingdom	GB	58019030	1320255641470.73	47.456	63.464	1.053	20.134	82.236	0.46	0.0	0.089	553.313	32.751	129.894	63.679
1996	United Kingdom	GB	58166950	1392979719188.77	44.366	73.933	0.768	21.425	84.247	0.519	0.0	0.11	573.434	31.135	129.741	75.732
1997	United Kingdom	GB	58316954	1537090700720.37	39.568	76.026	0.943	22.212	81.692	0.628	0.0	0.151	554.643	30.303	127.883	77.272
1998	United Kingdom	GB	58487141	1623564094070.88	38.581	79.032	1.158	22.511	81.224	0.799	0.0	0.198	556.894	25.757	132.61	81.145
1999	United Kingdom	GB	58682466	1652167933991.26	34.301	84.146	1.207	21.526	79.87	0.968	0.0	0.192	547.751	23.219	137.041	89.177
2000	United Kingdom	GB	58892514	1635441065214.1	36.728	87.116	1.151	19.248	78.845	1.093	0.0	0.214	563.782	19.551	126.292	97.537
2001	United Kingdom	GB	59119673	1613034403339.57	38.912	86.677	0.917	20.386	78.684	1.243	0.0	0.218	574.939	19.969	116.811	95.243
2002	United Kingdom	GB	59370479	1757571942446.04	35.71	85.546	1.083	19.878	78.203	1.435	0.001	0.285	553.817	18.808	116.123	93.245
2003	United Kingdom	GB	59647577	2028488163265.31	38.104	85.765	0.73	20.067	78.732	1.689	0.001	0.291	563.464	17.636	106.293	92.642
2004	United Kingdom	GB	59987905	2389004027828.63	36.62	87.647	1.096	18.102	81.006	2.106	0.001	0.439	568.848	15.594	95.608	86.723
2005	United Kingdom	GB	60401206	2508103636363.64	37.429	85.414	1.114	18.468	83.774	2.72	0.002	0.659	575.824	12.714	85.085	79.353
2006	United Kingdom	GB	60846820	2678277828886.84	40.932	81.005	1.039	17.073	83.227	3.06	0.002	0.959	578.957	11.418	76.932	71.965
2007	United Kingdom	GB	61322463	3063005202080.83	38.388	81.903	1.149	14.262	80.699	3.306	0.003	1.193	568.865	10.697	76.853	64.868
2008	United Kingdom	GB	61806995	2875463235294.12	35.615	84.402	1.163	11.876	79.535	3.793	0.004	1.606	561.358	11.305	71.989	62.667
2009	United Kingdom	GB	62276270	2367127278392.27	29.793	78.269	1.183	15.635	75.822	4.529	0.005	2.1	513.049	11.039	68.349	53.713
2010	United Kingdom	GB	62766365	2429602904820.77	30.928	84.795	0.807	14.061	74.92	5.027	0.009	2.32	529.74	11.425	63.169	51.421
2011	United Kingdom	GB	63258918	2608995353308.76	31.449	70.273	1.285	15.609	73.618	6.528	0.055	3.542	494.398	11.532	52.109	40.715
2012	United Kingdom	GB	63700300	2646002634059.62	38.958	66.496	1.196	15.931	71.397	8.109	0.306	4.488	512.239	10.583	44.674	34.992
2013	United Kingdom	GB	64128226	2719509472492.7	36.842	65.737	1.064	15.977	70.299	10.991	0.454	6.425	497.413	7.973	40.734	32.829
2014	United Kingdom	GB	64613160	2998833559195.71	29.721	60.008	1.333	14.425	69.826	13.28	0.914	7.233	454.411	7.289	40.023	33.11
2015	United Kingdom	GB	65128861	2861090726739.55	23.015	61.328	1.423	15.917	71.753	17.482	1.711	9.121	433.422	5.384	45.412	35.625
2016	United Kingdom	GB	65128861	NA	10.973	69.025	1.215	16.23	73.141	17.511	2.329	8.486	406.421	2.616	47.543	36.9
