year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Hungary	HU	10147935	NA	10.91	1.169	0.016	0.0	3.776	0.0	0.0	0.0	59.505	0	0	0
1966	Hungary	HU	10178653	NA	10.463	1.449	0.024	0.0	4.144	0.0	0.0	0.0	59.351	0	0	0
1967	Hungary	HU	10216604	NA	9.077	1.86	0.018	0.0	4.379	0.0	0.0	0.0	55.285	0	0	0
1968	Hungary	HU	10255815	NA	8.959	2.341	0.021	0.0	4.579	0.0	0.0	0.0	56.424	0	0	0
1969	Hungary	HU	10298723	NA	9.093	2.787	0.021	0.0	5.115	0.0	0.0	0.0	59.55	0	0	0
1970	Hungary	HU	10337910	NA	9.241	3.126	0.021	0.0	5.932	0.0	0.0	0.0	63.097	0	0	0
1971	Hungary	HU	10367537	NA	8.945	3.255	0.021	0.0	6.679	0.0	0.0	0.0	64.254	0	0	0
1972	Hungary	HU	10398489	NA	8.693	3.513	0.024	0.0	7.259	0.0	0.0	0.0	65.57	0	0	0
1973	Hungary	HU	10432055	NA	8.738	4.172	0.021	0.0	8.155	0.0	0.0	0.0	70.069	0	0	0
1974	Hungary	HU	10478720	NA	8.334	4.443	0.018	0.0	8.932	0.0	0.0	0.0	71.879	0	0	0
1975	Hungary	HU	10540525	NA	7.94	4.936	0.037	0.0	10.049	0.0	0.0	0.0	73.039	0	0	0
1976	Hungary	HU	10598677	NA	8.045	5.927	0.037	0.0	10.506	0.0	0.0	0.0	76.253	0	0	0
1977	Hungary	HU	10648031	NA	8.183	6.387	0.034	0.0	11.178	0.0	0.0	0.0	80.589	0	0	0
1978	Hungary	HU	10684822	NA	8.175	6.994	0.032	0.0	12.366	0.0	0.0	0.0	85.647	0	0	0
1979	Hungary	HU	10704152	NA	8.238	7.388	0.032	0.0	11.629	0.0	0.0	0.0	84.449	0	0	0
1980	Hungary	HU	10711122	NA	8.078	7.972	0.026	0.0	11.279	0.0	0.0	0.0	83.196	0	0	0
1981	Hungary	HU	10711848	NA	8.117	8.155	0.037	0.0	10.775	0.0	0.0	0.0	82.283	5.942	0	0
1982	Hungary	HU	10705535	NA	8.463	8.517	0.037	0.001	10.197	0.0	0.0	0.0	82.742	5.968	0	0
1983	Hungary	HU	10689463	NA	7.956	8.491	0.034	0.56	9.669	0.0	0.0	0.0	78.908	5.762	0	0
1984	Hungary	HU	10668095	NA	7.742	8.647	0.042	0.853	10.137	0.0	0.0	0.0	80.077	5.703	0	0
1985	Hungary	HU	10648713	NA	7.604	8.828	0.034	1.467	10.325	0.0	0.0	0.0	80.327	5.488	0	0
1986	Hungary	HU	10630564	NA	7.515	9.364	0.034	1.68	9.53	0.0	0.0	0.0	78.718	5.262	0	0
1987	Hungary	HU	10612741	NA	7.511	9.296	0.039	2.486	10.001	0.0	0.0	0.0	80.05	5.201	0	0
1988	Hungary	HU	10596487	NA	7.087	9.195	0.039	3.043	9.241	0.0	0.0	0.0	75.847	4.764	0	0
1989	Hungary	HU	10481719	NA	6.348	9.368	0.037	3.144	8.93	0.0	0.0	0.0	72.226	4.566	0	0
1990	Hungary	HU	10373988	NA	6.231	8.913	0.039	3.108	9.276	0.0	0.0	0.0	72.829	4.187	0	0
1991	Hungary	HU	10373400	34650782427.2429	6.047	8.838	0.045	3.106	8.014	0.0	0.0	0.0	68.594	4.028	0	0
1992	Hungary	HU	10369341	38616036221.8202	5.235	7.77	0.037	3.16	8.09	0.0	0.0	0.0	62.648	3.762	0	0
1993	Hungary	HU	10357523	40006243367.539	4.862	8.361	0.037	3.122	7.691	0.0	0.0	0.0	60.493	2.918	0	0
1994	Hungary	HU	10343355	43039008829.7659	4.729	8.443	0.037	3.18	8.129	0.0	0.0	0.0	60.774	3.131	0	0
1995	Hungary	HU	10328965	46288369007.4588	4.623	9.175	0.037	3.175	7.651	0.002	0.0	0.0	59.905	2.77	0	0
1996	Hungary	HU	10311238	46538169511.6894	4.743	10.237	0.047	3.209	7.073	0.002	0.0	0.0	61.381	3.373	0	0
1997	Hungary	HU	10290486	47178241568.5704	4.6	9.709	0.05	3.161	7.106	0.002	0.0	0.0	59.762	3.514	0	0
1998	Hungary	HU	10266570	48661666395.3691	4.28	9.776	0.034	3.157	7.431	0.002	0.0	0.0	59.303	3.193	0	0
