year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Indonesia	ID	100308896	NA	0.129	0.45	0.413	0.0	6.12	0.0	0.0	0.0	20.151	0	24.535	0
1966	Indonesia	ID	103067352	NA	0.158	0.459	0.537	0.0	5.894	0.0	0.0	0.0	19.559	0	23.929	0
1967	Indonesia	ID	105907403	5667756644.83099	0.111	0.561	0.603	0.0	5.67	0.0	0.0	0.0	18.701	0	25.747	0
1968	Indonesia	ID	108821565	7076465295.33327	0.083	0.57	0.745	0.0	5.993	0.0	0.0	0.0	19.627	0	30.323	0
1969	Indonesia	ID	111800090	8337423312.88344	0.1	1.074	0.779	0.0	6.393	0.0	0.0	0.0	21.316	0	32.411	0
1970	Indonesia	ID	114834781	9150684931.50685	0.087	1.115	0.947	0.0	6.79	0.0	0.0	0.0	22.672	0	43.113	1.115
1971	Indonesia	ID	117921994	9333536359.79807	0.1	1.128	0.312	0.0	7.029	0.0	0.0	0.0	23.576	0	45.032	1.128
1972	Indonesia	ID	121059511	10997590361.4458	0.1	1.106	0.279	0.0	7.584	0.0	0.0	0.0	25.459	0	54.723	1.106
1973	Indonesia	ID	124242299	16273253012.0482	0.067	0.72	0.352	0.0	9.055	0.0	0.0	0.0	29.756	0	67.548	0.72
1974	Indonesia	ID	127465232	25802409638.5542	0.073	1.014	0.39	0.0	9.468	0.0	0.0	0.0	31.459	0	69.416	1.014
1975	Indonesia	ID	130724118	30463855421.6867	0.093	2.097	0.409	0.0	10.863	0.0	0.0	0.0	36.934	0	65.932	2.097
1976	Indonesia	ID	134010695	37269156626.506	0.093	2.115	0.24	0.0	11.723	0.0	0.0	0.0	39.805	0	76.126	2.115
1977	Indonesia	ID	137322122	45808915662.6506	0.1	4.5	0.399	0.0	14.096	0.0	0.0	0.0	49.157	0	84.937	5.094
1978	Indonesia	ID	140665859	51455719099.9244	0.133	5.202	0.285	0.0	15.534	0.0	0.0	0.0	54.218	0	82.105	9.792
1979	Indonesia	ID	144053516	51400186379.3033	0.2	6.714	0.317	0.0	16.919	0.0	0.0	0.0	62.629	0	79.545	14.202
1980	Indonesia	ID	147490366	72482337370.3493	0.253	6.327	0.287	0.0	18.941	0.0	0.0	0.0	69.203	0	79.035	16.659
1981	Indonesia	ID	150978841	85518233450.774	0.27	6.318	0.286	0.0	21.073	0.0	0.0	0.0	76.635	0.236	79.962	16.893
1982	Indonesia	ID	154506266	90158449307.2387	0.255	6.003	0.312	0.0	21.801	0.0	0.0	0.0	78.43	0.348	66.584	17.172
1983	Indonesia	ID	158044343	81052283404.6079	0.255	8.055	0.469	0.0	21.448	0.0	0.0	0.0	80.269	0.383	70.684	19.593
1984	Indonesia	ID	161555584	84853699994.0508	0.267	9.405	0.512	0.0	22.903	0.0	0.0	0.0	86.075	0.866	74.892	26.415
1985	Indonesia	ID	165012195	85289491750.3225	0.9	11.124	0.626	0.0	22.55	0.0	0.0	0.0	87.419	1.179	66.34	29.07
1986	Indonesia	ID	168402027	79954072569.8533	1.446	11.997	1.008	0.0	23.838	0.0	0.0	0.0	93.896	1.526	70.37	30.249
1987	Indonesia	ID	171728916	75929617576.8776	2.267	12.411	1.037	0.0	24.828	0.0	0.0	0.0	102.353	1.785	69.824	32.319
1988	Indonesia	ID	175000919	84300174477.2018	2.368	13.176	1.139	0.0	26.101	0.0	0.0	0.0	107.87	2.646	67.29	35.298
1989	Indonesia	ID	178233231	94451427898.3405	3.554	14.751	1.421	0.0	27.6	0.0	0.0	0.0	117.631	5.127	71.63	37.134
1990	Indonesia	ID	181436821	106140727357.035	3.422	15.227	1.284	0.0	31.719	0.256	0.0	0.0	136.691	6.323	74.434	39.493
1991	Indonesia	ID	184614740	116621996217.133	3.463	17.529	1.282	0.0	33.591	0.238	0.0	0.0	147.257	8.155	81.006	43.368
1992	Indonesia	ID	187762097	128026966579.964	4.227	19.117	1.939	0.0	36.214	0.246	0.0	0.0	161.536	13.176	76.73	45.959
1993	Indonesia	ID	190873248	158006700301.533	4.928	20.278	1.774	0.0	38.012	0.248	0.0	0.0	172.106	16.252	76.851	47.747
1994	Indonesia	ID	193939912	176892143931.505	4.929	24.015	1.558	0.0	39.051	0.363	0.0	0.0	184.451	19.369	76.94	54.402
1995	Indonesia	ID	196957845	202132028723.115	5.425	25.323	1.7	0.0	41.548	0.501	0.0	0.0	196.73	24.655	76.455	54.648
1996	Indonesia	ID	199926615	227369679374.973	6.467	26.362	1.842	0.0	44.103	0.531	0.0	0.0	207.495	29.669	76.726	57.581
1997	Indonesia	ID	202853850	215748998609.635	7.975	27.498	1.166	0.0	48.869	0.627	0.0	0.0	230.754	32.303	75.711	59.115
1998	Indonesia	ID	205753493	95445547872.715	8.558	26.511	2.184	0.0	46.541	0.87	0.0	0.0	223.861	36.67	74.201	58.129
1999	Indonesia	ID	208644079	140001351215.462	11.779	28.81	2.121	0.0	48.672	0.882	0.0	0.0	246.587	43.417	68.604	63.034
2000	Indonesia	ID	211540428	165021012077.81	13.165	29.266	2.267	0.0	54.311	1.103	0.0	0.0	268.424	45.397	71.81	62.676
2001	Indonesia	ID	214448301	160446947784.909	16.713	30.267	2.638	0.0	55.165	1.366	0.0	0.0	291.246	54.53	68.175	60.851
