year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Ireland	IE	2877300	2945704142.99765	3.126	0.0	0.213	0.0	2.424	0.0	0.0	0.0	19.983	0	0	0
1966	Ireland	IE	2888800	3104034393.23162	3.561	0.0	0.192	0.0	2.704	0.0	0.0	0.0	22.673	0	0	0
1967	Ireland	IE	2902450	3343636773.36759	3.792	0.0	0.182	0.0	3.023	0.0	0.0	0.0	24.69	0	0	0
1968	Ireland	IE	2915550	3278584478.33023	4.631	0.0	0.174	0.0	3.364	0.0	0.0	0.0	29.205	0	0	0
1969	Ireland	IE	2932650	3787077343.72783	4.409	0.0	0.132	0.0	3.651	0.0	0.0	0.0	29.126	0	0	0
1970	Ireland	IE	2957250	4400344925.34492	2.15	0.0	0.182	0.0	4.101	0.0	0.0	0.0	21.469	0	0	0
1971	Ireland	IE	2992050	5103294557.30165	2.052	0.0	0.105	0.0	4.525	0.0	0.0	0.0	22.441	0	0	0
1972	Ireland	IE	3036850	6324312942.56491	1.91	0.0	0.155	0.0	4.984	0.0	0.0	0.0	23.235	0	0	0
1973	Ireland	IE	3085950	7488575728.34266	1.863	0.0	0.145	0.0	5.401	0.0	0.0	0.0	24.265	0	0	0
1974	Ireland	IE	3137500	7904673909.04069	2.009	0.0	0.179	0.0	5.352	0.0	0.0	0.0	24.758	0	0	0
1975	Ireland	IE	3189550	9493192508.7108	1.701	0.0	0.118	0.0	5.232	0.0	0.0	0.0	23.237	0	0	0
1976	Ireland	IE	3238050	9463111095.38636	1.749	0.0	0.134	0.0	5.305	0.0	0.0	0.0	23.79	0	0	0
1977	Ireland	IE	3282200	11259470394.2849	1.832	0.0	0.168	0.0	5.658	0.0	0.0	0.0	24.981	0	0	0
1978	Ireland	IE	3329100	14662490335.2461	1.733	0.0	0.158	0.0	6.041	0.0	0.0	0.0	26.216	0	0	0
1979	Ireland	IE	3373750	18337461798.8395	1.988	0.258	0.187	0.0	6.35	0.0	0.0	0.0	28.734	0	0	0
1980	Ireland	IE	3412800	21769376112.6396	1.884	0.754	0.189	0.0	5.716	0.0	0.0	0.0	27.514	0	0	0
1981	Ireland	IE	3453000	20690643300.7986	1.972	1.134	0.195	0.0	5.063	0.0	0.0	0.0	26.663	0	0	0
1982	Ireland	IE	3485800	21496003241.6723	2.086	1.664	0.182	0.0	4.414	0.0	0.0	0.0	26.373	0	0	0
1983	Ireland	IE	3510600	20786596359.0095	2.263	1.8	0.176	0.0	4.008	0.0	0.0	0.0	26.085	0	0	0
1984	Ireland	IE	3532423	20126544647.4304	2.169	1.907	0.155	0.0	3.942	0.0	0.0	0.0	25.713	0	0	0
1985	Ireland	IE	3538082	21291060214.8747	2.492	1.964	0.189	0.0	3.93	0.0	0.0	0.0	27.226	0	0	0
1986	Ireland	IE	3539690	28742985057.2276	2.739	1.385	0.208	0.0	4.869	0.0	0.0	0.0	28.819	0	0	0
1987	Ireland	IE	3540057	33954083567.4157	3.519	1.38	0.155	0.0	4.26	0.0	0.0	0.0	29.924	0	0	0
1988	Ireland	IE	3524949	37810273905.219	3.583	1.655	0.197	0.0	3.845	0.0	0.0	0.0	29.32	0	0	0
1989	Ireland	IE	3511009	39277219667.3736	3.59	1.877	0.158	0.0	3.956	0.0	0.0	0.0	30.089	0	0	0
1990	Ireland	IE	3513974	49354420997.7856	3.462	1.877	0.158	0.0	4.409	0.0	0.0	0.0	30.956	0	0	0
1991	Ireland	IE	3534235	49836767904.6774	3.321	1.923	0.169	0.0	4.85	0.0	0.0	0.0	31.602	0	0	0
1992	Ireland	IE	3558430	55973870025.4589	3.163	1.902	0.185	0.0	5.074	0.001	0.0	0.001	31.755	0	0	0
1993	Ireland	IE	3576261	52469345272.7061	3.074	2.161	0.173	0.0	5.139	0.003	0.0	0.003	32.208	0	0	0
1994	Ireland	IE	3590386	57154155241.4605	2.941	2.198	0.208	0.0	5.612	0.004	0.0	0.004	33.147	0	0	0
1995	Ireland	IE	3608841	69208238510.101	2.961	2.339	0.161	0.0	5.713	0.004	0.0	0.004	33.929	0	0	0
1996	Ireland	IE	3637510	75864987273.1855	2.985	2.657	0.163	0.0	6.001	0.009	0.0	0.003	35.663	0	0	0
1997	Ireland	IE	3674171	82816781160.4585	2.84	2.777	0.153	0.0	6.578	0.03	0.0	0.011	37.363	0	0	0
1998	Ireland	IE	3712696	90111620500.1682	2.859	2.808	0.207	0.0	7.361	0.057	0.0	0.038	40.019	0	0	0
1999	Ireland	IE	3754786	98782454400.1705	2.459	3.003	0.192	0.0	8.343	0.063	0.0	0.042	42.135	0	0	0
2000	Ireland	IE	3805174	99855065966.464	2.617	3.443	0.192	0.0	8.216	0.077	0.0	0.055	43.39	0	0	0
2001	Ireland	IE	3866243	109119051633.11	2.742	3.591	0.135	0.0	8.967	0.098	0.0	0.076	46.384	0	0	0
