year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Israel	IL	2563000	3663333333.33333	0.0	0.069	0.0	0.0	3.878	0.0	0.0	0.0	11.865	0	0	0
1966	Israel	IL	2629000	3980000000	0.0	0.09	0.0	0.0	4.045	0.0	0.0	0.0	12.389	0	0	0
1967	Israel	IL	2745000	4030000000	0.0	0.1	0.0	0.0	4.216	0.0	0.0	0.0	12.927	0	0	0
1968	Israel	IL	2803000	4619000000	0.0	0.129	0.0	0.0	4.396	0.0	0.0	0.0	13.499	0	0	0
1969	Israel	IL	2877000	5329333333.33333	0.0	0.133	0.0	0.0	4.585	0.0	0.0	0.0	14.089	0	0	0
1970	Israel	IL	2974000	6267666666.66667	0.0	0.121	0.0	0.0	4.78	0.0	0.0	0.0	14.693	0	0	0
1971	Israel	IL	3069000	5851750000	0.0	0.113	0.0	0.0	4.985	0.0	0.0	0.0	15.327	0	0	0
1972	Israel	IL	3148000	7496250000	0.0	0.112	0.0	0.0	5.208	0.0	0.0	0.0	15.944	0	0	0
1973	Israel	IL	3278000	9692000000	0.0	0.049	0.0	0.0	5.509	0.0	0.0	0.0	16.958	0	0	0
1974	Israel	IL	3377000	13986250000	0.0	0.059	0.0	0.0	5.62	0.0	0.0	0.0	17.237	0	0	0
1975	Israel	IL	3455000	13028166666.6667	0.0	0.054	0.0	0.0	5.795	0.0	0.0	0.0	17.832	0	0	0
1976	Israel	IL	3533000	12359875000	0.0	0.052	0.0	0.0	6.121	0.0	0.0	0.0	18.927	0	0	0
1977	Israel	IL	3613000	14390000000	0.0	0.052	0.0	0.0	6.397	0.0	0.0	0.0	19.918	0	0	0
1978	Israel	IL	3690000	13967647058.8235	0.0	0.051	0.0	0.0	6.821	0.0	0.0	0.0	21.301	0	0	0
1979	Israel	IL	3786000	17796000000	0.0	0.036	0.0	0.0	7.481	0.0	0.0	0.0	23.418	0	0	0
1980	Israel	IL	3878000	21884705882.3529	0.001	0.002	0.0	0.0	8.01	0.0	0.0	0.0	23.563	0	0	0
1981	Israel	IL	3956000	23258596491.2281	0.001	0.002	0.0	0.0	8.154	0.0	0.0	0.0	24.106	0	0	0
1982	Israel	IL	4031000	24539341563.786	0.555	0.041	0.0	0.0	7.887	0.0	0.0	0.0	25.388	0	0	0
1983	Israel	IL	4105000	27442580071.1744	1.046	0.058	0.0	0.0	7.437	0.0	0.0	0.0	25.952	0	0	0
1984	Israel	IL	4159000	26043655184.1746	1.693	0.051	0.0	0.0	6.918	0.0	0.0	0.0	26.969	0	0	0
1985	Israel	IL	4233000	24121638985.495	1.847	0.048	0.0	0.0	6.508	0.0	0.0	0.0	26.277	0	0	0
1986	Israel	IL	4299000	29702243917.1932	2.051	0.036	0.001	0.0	6.748	0.0	0.0	0.0	27.799	0	0	0
1987	Israel	IL	4369000	35477234541.5778	2.184	0.041	0.002	0.0	7.557	0.0	0.0	0.0	30.553	0	0	0
1988	Israel	IL	4442000	43893303708.7998	2.093	0.037	0.002	0.0	8.354	0.0	0.0	0.0	32.557	0	0	0
1989	Israel	IL	4518000	44599771759.5491	2.261	0.034	0.001	0.0	8.571	0.0	0.0	0.0	33.996	0	0	0
1990	Israel	IL	4660000	52490327348.4773	2.37	0.03	0.001	0.0	8.878	0.0	0.0	0.0	35.006	0	0	0
1991	Israel	IL	4949000	59170286560.4844	2.567	0.025	0.001	0.0	9.11	0.0	0.0	0.0	36.291	0	0	0
1992	Israel	IL	5123000	65771216420.6417	3.159	0.021	0.007	0.0	9.582	0.0	0.0	0.0	39.55	0	0	0
1993	Israel	IL	5261000	65925583866.2945	3.569	0.021	0.006	0.0	9.949	0.0	0.0	0.0	41.719	0	0	0
1994	Israel	IL	5399000	74669719504.5	3.783	0.019	0.005	0.0	11.009	0.0	0.0	0.0	45.391	0	0	0
1995	Israel	IL	5545000	99968784246.0067	4.129	0.023	0.006	0.0	12.362	0.0	0.0	0.0	50.415	0	0	0
1996	Israel	IL	5692000	109774101575.963	5.005	0.014	0.005	0.0	12.385	0.0	0.0	0.0	53.644	0	0	0
1997	Israel	IL	5836000	114543978662.956	5.443	0.017	0.006	0.0	11.678	0.0	0.0	0.0	53.301	0	0	0
1998	Israel	IL	5971000	115838004263.046	5.843	0.011	0.006	0.0	12.419	0.0	0.0	0.0	56.707	0	0	0
