year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	India	IN	497920270	60599264111.7178	35.547	0.204	4.337	0.0	12.642	0.0	0.0	0.0	167.717	0	3.022	0
1966	India	IN	508402908	46669801600	35.461	0.229	4.529	0.0	14.126	0.0	0.0	0.0	170.332	0	4.647	0
1967	India	IN	519162069	51014155360	36.052	0.306	5.068	0.0	14.57	0.0	0.0	0.0	174.811	0	5.667	0
1968	India	IN	530274729	54016411986.6667	37.302	0.34	5.849	0.0	16.316	0.0	0.0	0.0	182.895	0	5.853	0
1969	India	IN	541844848	59472993626.6667	39.625	0.408	6.494	0.164	19.596	0.0	0.0	0.0	197.863	0	6.723	0
1970	India	IN	553943226	63517182000	37.559	0.592	6.887	0.296	19.505	0.0	0.0	0.0	190.35	0	6.809	0.592
1971	India	IN	566605402	68532117824.1238	38.08	0.627	7.554	0.22	20.475	0.0	0.0	0.0	207.106	0	7.185	0.627
1972	India	IN	579800632	72716439112.1	40.214	0.688	7.332	0.209	22.091	0.0	0.0	0.0	219.312	0	7.373	0.688
1973	India	IN	593451889	87014945186.3156	39.678	0.686	7.808	0.442	23.314	0.0	0.0	0.0	219.842	0	7.198	0.686
1974	India	IN	607446519	101271278198.505	44.786	0.776	7.513	0.407	22.834	0.0	0.0	0.0	239.426	0	7.49	0.776
1975	India	IN	621703641	100199707352.023	48.143	0.994	8.976	0.485	23.347	0.0	0.0	0.0	254.445	0	8.283	0.994
1976	India	IN	636182810	104518508553.081	50.132	1.208	9.39	0.601	24.593	0.0	0.0	0.0	264.889	0	8.659	1.208
1977	India	IN	650907559	123617837582.482	52.48	1.29	10.245	0.419	26.413	0.0	0.0	0.0	278.794	0	10.185	1.29
1978	India	IN	665936435	139708121469.133	50.788	1.44	12.711	0.512	28.717	0.0	0.0	0.0	278.257	0	11.271	1.44
1979	India	IN	681358553	155674658263.583	53.955	1.791	12.257	0.531	31.004	0.0	0.0	0.0	297.563	0	12.839	1.791
1980	India	IN	697229745	189592920294.446	56.712	1.06	12.545	0.554	31.633	0.0	0.0	0.0	311.339	0	9.399	1.06
1981	India	IN	713561406	196883842005.062	63.813	1.85	13.369	0.558	34.036	0.0	0.0	0.0	341.494	63.778	14.975	1.85
1982	India	IN	730303461	204235073533.23	63.104	2.425	11.282	0.488	35.403	0.0	0.0	0.0	343.909	63.134	19.881	2.425
1983	India	IN	747374856	222089924399.492	66.986	2.885	10.871	0.696	37.223	0.0	0.0	0.0	366.916	66.796	25.356	2.885
1984	India	IN	764664278	215878839023.118	70.362	3.305	12.147	0.914	39.934	0.0	0.0	0.0	388.436	70.083	28.194	3.305
1985	India	IN	782085127	236589423202.641	73.723	4.042	11.724	1.02	43.333	0.0	0.0	0.0	410.791	72.374	30.202	4.042
1986	India	IN	799607235	253352444883.275	79.212	5.648	11.895	1.136	45.53	0.0	0.0	0.0	440.156	77.853	31.622	5.648
1987	India	IN	817232241	283926977522.458	86.985	6.506	11.079	1.204	46.995	0.0	0.0	0.0	477.058	85.338	30.684	6.506
1988	India	IN	834944397	301790256315.321	93.341	7.621	12.358	1.375	51.53	0.0	0.0	0.0	513.972	90.725	32.286	7.621
1989	India	IN	852736160	301234030103.707	101.457	9.061	14.339	0.91	55.801	0.0	0.0	0.0	561.237	98.661	34.449	9.061
1990	India	IN	870601776	326608014285.316	109.718	10.84	15.024	1.447	57.943	0.015	0.0	0.007	604.3	106.291	34.171	10.84
1991	India	IN	888513869	274842161318.346	116.756	12.072	16.726	1.225	58.903	0.047	0.0	0.026	637.083	113.656	32.18	12.072
1992	India	IN	906461358	293262722482.422	123.668	13.497	15.853	1.449	62.075	0.047	0.0	0.02	674.57	119.957	29.186	13.497
1993	India	IN	924475633	284194018792.066	128.085	13.715	16.005	1.409	62.662	0.078	0.0	0.021	695.129	123.935	27.875	13.715
1994	India	IN	942604211	333014993709.73	132.183	14.827	18.15	1.119	67.384	0.129	0.0	0.043	726.464	126.061	32.378	14.827
1995	India	IN	960874982	366600193391.349	140.293	16.904	17.179	1.723	75.232	0.24	0.0	0.112	776.435	133.096	36.647	16.904
1996	India	IN	979290432	399787263892.645	144.324	18.45	15.626	1.901	81.062	0.371	0.001	0.199	815.746	142.644	34.8	18.45
1997	India	IN	997817250	423160799040.86	150.982	20.06	15.887	2.279	86.503	0.447	0.001	0.224	857.71	147.369	35.585	20.06
1998	India	IN	1016402907	428740690379.961	156.005	22.014	18.924	2.573	92.527	0.538	0.001	0.244	897.602	146.47	34.695	22.014
1999	India	IN	1034976626	466866720520.974	154.541	22.557	18.611	2.88	100.303	0.71	0.001	0.327	914.104	143.268	34.614	22.557
2000	India	IN	1053481072	476609148165.173	164.384	23.716	17.421	3.568	106.147	0.741	0.002	0.358	965.41	152.295	34.164	23.716
2001	India	IN	1071888190	493954161367.563	165.755	23.777	16.297	4.274	106.964	0.942	0.003	0.472	973.307	154.235	34.088	23.777
2002	India	IN	1090189358	523968381476.715	173.126	24.83	15.51	4.379	113.232	0.959	0.003	0.472	1025.215	161.072	35.242	24.83
2003	India	IN	1108369577	618356467437.027	181.326	26.581	15.68	4.105	116.464	1.207	0.004	0.589	1065.831	168.077	35.387	26.581
2004	India	IN	1126419321	721584805204.777	193.011	28.678	18.971	3.793	119.466	1.936	0.004	1.182	1120.803	181.611	36.338	26.311
2005	India	IN	1144326293	834214699568.14	211.263	32.097	22.044	4.033	121.9	2.273	0.004	1.356	1209.26	189.855	34.924	26.661
2006	India	IN	1162088305	949116769619.554	219.376	33.547	25.482	3.99	128.256	3.306	0.004	2.16	1257.31	198.159	36.045	26.357
2007	India	IN	1179685631	1201071960529.75	240.121	36.29	27.744	4.035	138.051	3.994	0.004	2.582	1370.681	210.346	36.44	27.084
2008	India	IN	1197070109	1186913419021.34	259.348	37.391	26.06	3.446	144.695	4.775	0.004	3.017	1472.228	227.463	37.797	27.483
2009	India	IN	1214182182	1323896417147.06	280.838	45.63	24.062	3.805	152.564	6.323	0.007	4.115	1601.675	246.047	37.998	33.803
2010	India	IN	1230984504	1656562168648.57	290.401	54.279	24.606	5.223	155.391	7.171	0.058	4.448	1667.234	252.353	41.27	44.349
2011	India	IN	1247446011	1822989507290.05	304.768	54.981	29.801	7.291	163.019	8.831	0.121	5.551	1741.237	250.815	42.881	40.06
2012	India	IN	1263589639	1828119928467.85	329.988	63.965	26.197	7.499	173.575	10.377	0.306	6.814	1872.783	255.048	42.548	34.99
2013	India	IN	1279498874	1857236714880.03	352.782	44.369	29.864	7.537	175.345	11.589	0.643	7.599	1933.144	255.728	42.47	28.926
2014	India	IN	1295291543	2033532372971.17	387.544	43.937	31.451	7.849	180.846	11.958	0.989	7.54	2085.858	269.452	41.64	27.46
2015	India	IN	1311050527	2088841351184.16	396.55	41.165	30.159	8.668	195.838	12.714	1.486	7.409	2157.398	280.896	41.172	26.367
2016	India	IN	1311050527	NA	411.949	45.084	29.143	8.575	212.684	16.466	2.702	10.137	2271.11	288.527	40.221	24.866
