year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Iran, Islamic Republic of	IR	24955116	6197319928.71287	0.211	0.745	0.389	0.0	7.109	0.0	0.0	0.0	21.98	0	95.662	0
1966	Iran, Islamic Republic of	IR	25624650	6789938671.9472	0.232	0.781	0.418	0.0	7.767	0.0	0.0	0.0	24.211	0	106.893	0
1967	Iran, Islamic Republic of	IR	26318116	7555383689.76898	0.256	0.818	0.45	0.0	8.571	0.0	0.0	0.0	26.917	0	130.508	0
1968	Iran, Islamic Republic of	IR	27032944	8623172959.73597	0.282	0.874	0.484	0.0	9.44	0.0	0.0	0.0	29.875	0	142.78	0
1969	Iran, Islamic Republic of	IR	27765239	9743089607.92079	0.311	1.026	0.521	0.0	10.287	0.0	0.0	0.0	32.996	0	169.264	0
1970	Iran, Islamic Republic of	IR	28514011	10976245153.7954	0.343	2.432	0.561	0.0	11.101	0.0	0.0	0.0	38.973	0	192.587	3.331
1971	Iran, Islamic Republic of	IR	29281130	13731801564.3564	0.242	2.815	0.603	0.0	12.133	0.0	0.0	0.0	42.2	0	228.685	8.056
1972	Iran, Islamic Republic of	IR	30073845	17153463263.3663	0.378	3.222	0.792	0.0	13.465	0.0	0.0	0.0	47.555	0	253.711	10.863
1973	Iran, Islamic Republic of	IR	30903565	27081698249.1798	0.635	3.914	0.671	0.0	16.153	0.0	0.0	0.0	58.235	0	295.377	12.005
1974	Iran, Islamic Republic of	IR	31784896	46209092072.4584	0.695	3.98	0.739	0.0	18.699	0.0	0.0	0.0	64.993	0	303.197	12.456
1975	Iran, Islamic Republic of	IR	32730555	51776222349.8518	1.288	4.06	0.776	0.0	21.844	0.0	0.0	0.0	76.154	0	269.47	12.976
1976	Iran, Islamic Republic of	IR	33739231	68055295080.4565	1.273	4.573	0.868	0.0	24.739	0.0	0.0	0.0	86.876	0	296.966	13.22
1977	Iran, Islamic Republic of	IR	34814231	80600122702.2202	1.288	4.677	0.897	0.0	28.677	0.0	0.0	0.0	98.134	0	285.628	13.425
1978	Iran, Islamic Republic of	IR	35977589	77994316621.497	0.787	3.622	1.405	0.0	31.199	0.0	0.0	0.0	95.216	0	264.82	8.41
1979	Iran, Islamic Republic of	IR	37256771	90391877325.2927	1.136	4.852	1.218	0.0	32.209	0.0	0.0	0.0	104.172	0	160.485	8.1
1980	Iran, Islamic Republic of	IR	38668222	94362275579.4621	1.196	4.322	1.263	0.0	28.766	0.0	0.0	0.0	96.772	0	74.158	4.322
1981	Iran, Islamic Republic of	IR	40209077	100499312749.447	0.999	4.696	1.379	0.0	28.603	0.0	0.0	0.0	98.686	0	66.16	4.696
1982	Iran, Islamic Republic of	IR	41862373	125948756439.161	1.347	6.431	1.447	0.0	31.036	0.0	0.0	0.0	111.484	0	120.092	6.431
1983	Iran, Islamic Republic of	IR	43610506	156365156618.288	1.271	7.35	1.416	0.0	37.599	0.0	0.0	0.0	132.479	0	122.834	7.35
1984	Iran, Islamic Republic of	IR	45429019	162276728619.617	0.983	8.556	1.324	0.0	40.442	0.0	0.0	0.0	143.415	0	102.518	8.556
1985	Iran, Islamic Republic of	IR	47290793	180183629600.037	0.967	9.23	1.266	0.0	44.665	0.0	0.0	0.0	156.643	0	110.351	9.23
1986	Iran, Islamic Republic of	IR	49205577	209094561834.095	0.952	8.867	1.605	0.0	41.14	0.0	0.0	0.0	146.414	0	102.7	8.867
1987	Iran, Islamic Republic of	IR	51152122	134009995922.987	0.937	10.855	1.855	0.0	43.367	0.0	0.0	0.0	155.937	0	116.726	10.855
1988	Iran, Islamic Republic of	IR	53035939	123057861333.933	0.967	11.785	1.708	0.0	45.528	0.0	0.0	0.0	164.146	0	117.383	11.785
1989	Iran, Islamic Republic of	IR	54735239	120496362916.372	0.71	14.881	1.692	0.0	50.046	0.0	0.0	0.0	180.333	0	143.839	14.881
1990	Iran, Islamic Republic of	IR	56169196	124813263926.374	0.71	21.724	1.447	0.0	51.925	0.0	0.0	0.0	194.937	0	162.789	23.553
