year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Japan	JP	98883000	90950278257.7778	48.712	1.57	15.849	0.006	87.936	0.0	0.0	0.0	446.771	0	0	0
1966	Japan	JP	99790000	105628070343.111	51.915	1.611	18.059	0.084	100.047	0.0	0.0	0.0	492.649	0	0	0
1967	Japan	JP	100725000	123781880217.6	57.024	1.667	15.614	0.192	122.969	0.0	0.0	0.0	578.024	0	0	0
1968	Japan	JP	101061000	146601072685.511	58.681	1.814	15.659	0.163	142.741	0.0	0.0	0.0	641.492	0	0	0
1969	Japan	JP	103172000	172204199480.889	62.681	2.007	17.328	0.212	169.072	0.0	0.0	0.0	731.351	0	0	0
1970	Japan	JP	104345000	209070551156.667	60.387	3.073	16.611	0.748	199.238	0.055	0.0	0.0	810.523	0	0	0
1971	Japan	JP	105697000	236154755295.247	54.829	3.295	17.968	1.606	219.765	0.053	0.0	0.0	845.35	0	0	0
1972	Japan	JP	107188000	312738030290.016	53.579	3.296	18.995	1.987	234.466	0.056	0.0	0.0	880.916	0	0	0
1973	Japan	JP	108079000	424891148590.163	56.648	4.586	15.833	2.149	269.192	0.057	0.0	0.0	994.983	0	0	0
1974	Japan	JP	110162000	471643172433.473	60.047	6.267	17.878	4.205	259.032	0.07	0.0	0.0	985.697	0	0	0
1975	Japan	JP	111940000	512861437158.573	56.171	7.506	18.255	4.913	244.093	0.086	0.0	0.0	923.56	0	0	0
1976	Japan	JP	112771000	576405865272.759	54.926	8.998	18.898	8.316	253.549	0.083	0.0	0.0	951.2	0	0	0
1977	Japan	JP	113863000	709404712455.402	51.819	10.989	16.342	6.374	258.523	0.121	0.0	0.0	954.959	0	0	0
1978	Japan	JP	114898000	996741758196.688	46.925	15.422	15.448	11.776	264.059	0.187	0.0	0.0	934.19	0	0	0
1979	Japan	JP	115870000	1037452649454.69	50.113	18.298	17.901	14.018	266.885	0.249	0.0	0.0	959.692	0	0	0
1980	Japan	JP	116782000	1086988088501.05	58.217	21.653	19.54	18.696	237.848	0.247	0.0	0.0	931.746	0	0	0
