year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Korea, Republic of	KR	28704674	3017614366.36637	4.952	0.0	0.161	0.0	1.287	0.0	0.0	0.0	24.872	0	0	0
1966	Korea, Republic of	KR	29435571	3806043708.63124	5.607	0.0	0.223	0.0	1.927	0.0	0.0	0.0	29.612	0	0	0
1967	Korea, Republic of	KR	30130983	4702747059.36714	5.349	0.0	0.216	0.0	3.342	0.0	0.0	0.0	32.785	0	0	0
1968	Korea, Republic of	KR	30838302	5955336766.31122	5.05	0.0	0.21	0.0	4.942	0.0	0.0	0.0	36.308	0	0	0
1969	Korea, Republic of	KR	31544266	7475692343.83676	5.274	0.0	0.323	0.0	6.709	0.0	0.0	0.0	42.49	0	0	0
1970	Korea, Republic of	KR	32240827	9409775888.71716	5.629	0.0	0.276	0.0	8.38	0.0	0.0	0.0	49.041	0	0	0
1971	Korea, Republic of	KR	32882704	10418262998.7037	5.689	0.0	0.299	0.0	9.461	0.0	0.0	0.0	52.61	0	0	0
1972	Korea, Republic of	KR	33505406	11367558349.6653	5.831	0.0	0.31	0.0	9.876	0.0	0.0	0.0	54.585	0	0	0
1973	Korea, Republic of	KR	34103149	14538310905.8044	7.374	0.0	0.291	0.0	12.158	0.0	0.0	0.0	67.741	0	0	0
1974	Korea, Republic of	KR	34692266	20426484040.8436	7.605	0.0	0.431	0.0	12.55	0.0	0.0	0.0	68.761	0	0	0
1975	Korea, Republic of	KR	35280725	22797520661.157	8.035	0.0	0.381	0.0	14.194	0.0	0.0	0.0	75.26	0	0	0
1976	Korea, Republic of	KR	35848523	31354545454.5455	8.957	0.0	0.405	0.0	15.949	0.0	0.0	0.0	84.12	0	0	0
1977	Korea, Republic of	KR	36411795	40255785123.9669	9.778	0.0	0.315	0.016	18.984	0.0	0.0	0.0	96.225	0	0	0
1978	Korea, Republic of	KR	36969185	54273760330.5785	9.894	0.0	0.409	0.526	21.672	0.0	0.0	0.0	103.94	0	0	0
1979	Korea, Republic of	KR	37534236	69731818181.8182	11.843	0.0	0.52	0.713	24.367	0.0	0.0	0.0	119.155	0	0	0
1980	Korea, Republic of	KR	38123775	67802380521.2123	13.199	0.0	0.435	0.787	24.123	0.0	0.0	0.0	123.405	0	0	0
1981	Korea, Republic of	KR	38723248	76240987915.3635	15.244	0.0	0.588	0.656	23.872	0.0	0.0	0.0	131.475	8.743	0	0
1982	Korea, Republic of	KR	39326352	81639218690.157	15.45	0.0	0.388	0.855	23.683	0.0	0.0	0.0	131.729	8.853	0	0
1983	Korea, Republic of	KR	39910403	90524009023.5256	16.491	0.0	0.519	2.029	24.711	0.0	0.0	0.0	138.039	8.738	0	0
1984	Korea, Republic of	KR	40405956	99983374277.2773	19.867	0.0	0.452	2.668	24.77	0.0	0.0	0.0	151.073	9.403	0	0
1985	Korea, Republic of	KR	40805744	103729914254.845	22.022	0.0	0.721	3.789	26.081	0.0	0.0	0.0	162.194	9.918	0	0
1986	Korea, Republic of	KR	41213674	119773895286.176	23.331	0.061	0.704	6.406	28.352	0.0	0.0	0.0	173.508	10.67	0	0
1987	Korea, Republic of	KR	41621690	150986906889.383	23.639	1.894	0.897	8.896	29.768	0.0	0.0	0.0	182.58	10.679	0	0
1988	Korea, Republic of	KR	42031247	202308365346.494	25.162	2.446	0.45	9.074	35.644	0.0	0.0	0.0	207.409	10.692	0	0
1989	Korea, Republic of	KR	42449038	248768504452.983	24.493	2.367	0.671	10.718	40.959	0.0	0.0	0.0	218.382	9.148	0	0
1990	Korea, Republic of	KR	42869283	284757121057.986	24.385	2.721	1.06	11.967	49.527	0.0	0.0	0.0	239.087	7.577	0	0
1991	Korea, Republic of	KR	43295704	332324538078.68	24.535	3.152	0.789	12.742	59.89	0.0	0.0	0.0	267.237	6.581	0	0
1992	Korea, Republic of	KR	43747962	356117978607.571	23.618	4.123	0.701	12.791	72.31	0.0	0.0	0.0	290.143	4.699	0	0
1993	Korea, Republic of	KR	44194628	391963073243.051	25.882	5.151	0.957	13.155	79.307	0.0	0.0	0.0	319.374	3.811	0	0
1994	Korea, Republic of	KR	44641540	458704213081.088	26.701	6.856	0.531	13.271	86.997	0.002	0.001	0.001	348.095	3.086	0	0
1995	Korea, Republic of	KR	45092991	559329547369.922	28.12	8.292	0.625	15.167	94.845	0.057	0.001	0.0	379.631	2.465	0	0
1996	Korea, Republic of	KR	45524681	603413139412.021	32.237	10.955	0.549	16.727	101.435	0.092	0.001	0.0	419.354	2.154	0	0
1997	Korea, Republic of	KR	45953580	560485235837.652	34.758	13.313	0.637	17.443	111.352	0.019	0.001	0.0	452.314	1.982	0	0
1998	Korea, Republic of	KR	46286503	376481975682.155	36.082	12.454	0.968	20.294	93.91	0.015	0.001	0.001	394.106	1.924	0	0
1999	Korea, Republic of	KR	46616677	486315001429.989	38.216	15.164	0.941	23.321	100.703	0.024	0.001	0.004	428.445	1.846	0	0
2000	Korea, Republic of	KR	47008111	561633037419.537	43.034	17.032	0.907	24.656	103.764	0.023	0.001	0.004	462.377	1.79	0	0
2001	Korea, Republic of	KR	47357362	533051998853.593	45.711	18.708	0.527	25.373	103.517	0.024	0.001	0.003	473.523	1.655	0	0
2002	Korea, Republic of	KR	47622179	609020054512.465	49.095	20.789	0.731	26.95	105.338	0.045	0.002	0.003	490.409	1.478	0	0
2003	Korea, Republic of	KR	47859311	680520807982.478	51.113	21.775	1.105	29.341	106.37	0.05	0.002	0.005	500.165	1.469	0	0
2004	Korea, Republic of	KR	48039415	764880644710.649	53.125	25.516	0.975	29.578	104.676	0.079	0.002	0.011	515.638	1.42	0	0
2005	Korea, Republic of	KR	48138077	898137194716.188	54.77	27.319	0.831	33.212	104.743	0.091	0.003	0.029	521.174	1.251	0	0
2006	Korea, Republic of	KR	48371946	1011797457138.5	54.788	28.804	0.785	33.658	104.707	0.115	0.007	0.053	520.759	1.257	0	0
2007	Korea, Republic of	KR	48597652	1122679154632.41	59.654	31.197	0.822	32.343	107.65	0.188	0.016	0.085	545.373	1.342	0	0
2008	Korea, Republic of	KR	48948698	1002219052967.54	66.06	32.104	0.695	34.158	103.097	0.311	0.064	0.099	556.789	1.289	0	0
2009	Korea, Republic of	KR	49182038	901934953364.711	68.604	30.517	0.637	33.437	103.745	0.405	0.128	0.155	559.004	1.171	0	0
2010	Korea, Republic of	KR	49410366	1094499338702.72	75.896	38.707	0.833	33.624	104.958	1.013	0.175	0.185	609.786	0.969	0	0
2011	Korea, Republic of	KR	49779440	1202463682633.85	83.64	41.656	1.04	35.01	105.79	1.718	0.208	0.195	645.6	0.969	0	0
2012	Korea, Republic of	KR	50004441	1222807195712.49	80.978	45.166	0.898	34.015	108.773	1.95	0.25	0.207	644.109	0.974	0	0
2013	Korea, Republic of	KR	50219669	1305604981271.91	81.915	47.271	0.971	31.403	108.294	2.299	0.363	0.26	646.489	0.817	0	0
2014	Korea, Republic of	KR	50423955	1411333926201.24	84.612	42.996	0.623	35.391	107.936	3.325	0.578	0.259	644.333	0.787	0	0
2015	Korea, Republic of	KR	50617045	1377873107856.33	85.473	39.253	0.486	37.282	113.778	3.919	0.9	0.304	653.969	0.794	0	0
2016	Korea, Republic of	KR	50617045	NA	81.584	40.919	0.556	36.696	122.15	4.307	1.185	0.403	662.087	0.777	0	0
