year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Kuwait	KW	482173	2097451694.2033	0.0	1.183	0.0	0.0	5.449	0.0	0.0	0.0	16.42	0	119.011	0
1966	Kuwait	KW	533521	2391486978.43741	0.0	1.272	0.0	0.0	5.324	0.0	0.0	0.0	16.334	0	125.556	0
1967	Kuwait	KW	585831	2441893027.16326	0.0	1.369	0.0	0.0	5.203	0.0	0.0	0.0	16.278	0	126.392	0
1968	Kuwait	KW	639170	2663119574.34892	0.0	1.473	0.0	0.0	5.088	0.0	0.0	0.0	16.253	0	133.128	0
1969	Kuwait	KW	693876	2769532343.88127	0.0	1.585	0.0	0.0	4.978	0.0	0.0	0.0	16.259	0	140.908	0
1970	Kuwait	KW	750184	2873984878.18538	0.0	1.833	0.0	0.0	4.872	0.0	0.0	0.0	16.597	0	151.799	1.833
1971	Kuwait	KW	807900	3880370401.57259	0.0	1.894	0.0	0.0	4.814	0.0	0.0	0.0	16.628	0	162.549	1.894
1972	Kuwait	KW	866747	4451200972.9401	0.0	2.238	0.0	0.0	5.235	0.0	0.0	0.0	18.502	0	167.349	2.238
1973	Kuwait	KW	926817	5408293998.65138	0.0	2.507	0.0	0.0	4.978	0.0	0.0	0.0	18.501	0	153.8	2.507
1974	Kuwait	KW	988267	13004774556.6166	0.0	2.638	0.0	0.0	4.573	0.0	0.0	0.0	17.791	0	129.87	2.638
1975	Kuwait	KW	1051187	12024138275.8621	0.0	2.891	0.0	0.0	3.645	0.0	0.0	0.0	16.08	0	106.35	2.891
1976	Kuwait	KW	1115463	13131668946.6484	0.0	3.478	0.0	0.0	4.237	0.0	0.0	0.0	18.939	0	109.911	3.478
1977	Kuwait	KW	1180939	14135729588.2763	0.0	3.792	0.0	0.0	4.099	0.0	0.0	0.0	19.326	0	100.78	3.792
1978	Kuwait	KW	1247597	15500908760.4507	0.0	4.249	0.0	0.0	4.397	0.0	0.0	0.0	21.147	0	108.78	4.249
1979	Kuwait	KW	1315428	24746019536.903	0.0	5.626	0.0	0.0	4.912	0.0	0.0	0.0	25.695	0	129.62	5.626
1980	Kuwait	KW	1384342	28638550499.4451	0.0	3.664	0.0	0.0	4.192	0.0	0.0	0.0	20.974	0	86.834	3.664
1981	Kuwait	KW	1452383	25056672166.4275	0.0	4.216	0.0	0.0	5.724	0.0	0.0	0.0	27.049	0	58.624	4.216
1982	Kuwait	KW	1518855	21577977770.059	0.0	3.308	0.0	0.0	6.588	0.0	0.0	0.0	27.469	0	42.664	3.308
1983	Kuwait	KW	1586205	20869434305.3173	0.0	3.632	0.0	0.0	7.239	0.0	0.0	0.0	30.605	0	55.006	3.632
1984	Kuwait	KW	1657920	21697297872.3404	0.0	3.938	0.0	0.0	7.621	0.0	0.0	0.0	32.312	0	60.727	3.938
1985	Kuwait	KW	1735320	21442619680.8511	0.0	3.78	0.0	0.0	7.522	0.0	0.0	0.0	31.527	0	55.489	3.78
1986	Kuwait	KW	1823201	17903681693.0489	0.0	5.157	0.0	0.0	7.755	0.0	0.0	0.0	35.588	0	59.395	5.157
1987	Kuwait	KW	1917950	22365734481.5213	0.0	4.302	0.0	0.0	7.659	0.0	0.0	0.0	33.294	0	52.115	4.302
1988	Kuwait	KW	2002645	20692472759.8566	0.0	6.156	0.0	0.0	7.519	0.0	0.0	0.0	37.448	0	63.046	6.156
1989	Kuwait	KW	2054443	24312117767.1886	0.0	7.344	0.0	0.0	7.578	0.0	0.0	0.0	40.496	0	68.411	7.344
1990	Kuwait	KW	2058832	18427777777.7778	0.0	3.771	0.0	0.0	3.268	0.0	0.0	0.0	19.218	0	46.797	3.771
1991	Kuwait	KW	2007110	11008793176.2223	0.0	0.45	0.0	0.0	3.486	0.0	0.0	0.0	11.574	0	9.217	0.45
1992	Kuwait	KW	2007110	19858555214.7239	0.0	2.358	0.0	0.0	4.915	0.0	0.0	0.0	20.44	0	53.956	2.358
1993	Kuwait	KW	2007110	23941391390.7285	0.0	4.878	0.0	0.0	5.094	0.0	0.0	0.0	26.74	0	96.582	4.878
1994	Kuwait	KW	2007110	24848483838.3838	0.0	5.373	0.0	0.0	6.858	0.0	0.0	0.0	33.231	0	103.357	5.373
1995	Kuwait	KW	1637031	27191689008.0429	0.0	8.35	0.0	0.0	7.084	0.0	0.0	0.0	40.804	0	104.889	8.35
1996	Kuwait	KW	1637906	31493987641.9506	0.0	8.372	0.0	0.0	6.906	0.0	0.0	0.0	40.388	0	105.126	8.372
1997	Kuwait	KW	1686256	30354434553.2476	0.0	8.343	0.0	0.0	7.506	0.0	0.0	0.0	41.676	0	105.114	8.343
1998	Kuwait	KW	1766247	25941929461.9423	0.0	8.542	0.0	0.0	10.511	0.0	0.0	0.0	49.323	0	110.003	8.542
1999	Kuwait	KW	1853152	30121879434.954	0.0	7.776	0.0	0.0	11.745	0.0	0.0	0.0	50.974	0	102.556	7.776
2000	Kuwait	KW	1929470	37711864406.7797	0.0	8.64	0.0	0.0	11.805	0.0	0.0	0.0	53.19	0	109.88	8.64
2001	Kuwait	KW	1990022	34890772742.0933	0.0	9.45	0.0	0.0	12.168	0.0	0.0	0.0	56.136	0	106.596	8.55
2002	Kuwait	KW	2042215	38137545245.1464	0.0	8.514	0.0	0.0	13.166	0.0	0.0	0.0	57.032	0	98.796	7.839
2003	Kuwait	KW	2095993	47875838926.1745	0.0	9.918	0.0	0.0	15.608	0.0	0.0	0.0	68.308	0	115.587	9.0
2004	Kuwait	KW	2166344	59440108585.0017	0.0	10.71	0.0	0.0	17.786	0.0	0.0	0.0	76.861	0	123.271	9.81
2005	Kuwait	KW	2263604	80797945205.4795	0.0	10.98	0.0	0.0	19.529	0.0	0.0	0.0	82.707	0	130.384	11.07
2006	Kuwait	KW	2389498	101550654720.882	0.0	11.25	0.0	0.0	17.697	0.0	0.0	0.0	77.869	0	133.666	11.169
2007	Kuwait	KW	2538591	114641097818.438	0.0	10.89	0.0	0.0	17.862	0.0	0.0	0.0	77.052	0	129.872	10.134
2008	Kuwait	KW	2705290	147395833333.333	0.0	11.475	0.0	0.0	19.016	0.0	0.0	0.0	82.233	0	136.064	11.43
2009	Kuwait	KW	2881243	105899930507.297	0.0	11.143	0.0	0.0	20.435	0.0	0.0	0.0	83.498	0	120.943	10.34
2010	Kuwait	KW	3059473	115419050942.08	0.0	13.068	0.0	0.0	20.942	0.0	0.0	0.0	89.409	0	123.299	10.56
2011	Kuwait	KW	3239181	154027536231.884	0.0	15.042	0.0	0.0	20.36	0.0	0.0	0.0	92.467	0	140.798	12.18
2012	Kuwait	KW	3419581	174070025008.932	0.0	16.639	0.0	0.0	24.41	0.0	0.0	0.0	108.573	0	153.88	13.964
2013	Kuwait	KW	3593689	174161495063.47	0.0	16.843	0.0	0.0	22.678	0.0	0.0	0.0	103.717	0	151.327	14.68
2014	Kuwait	KW	3753121	162631763879.129	0.0	16.623	0.0	0.0	20.983	0.0	0.0	0.0	98.252	0	150.125	13.526
2015	Kuwait	KW	3892115	114041209704.221	0.0	19.203	0.0	0.0	22.273	0.001	0.001	0.0	108.331	0	148.223	15.218
2016	Kuwait	KW	3892115	NA	0.0	19.732	0.0	0.0	21.993	0.006	0.006	0.0	108.572	0	152.734	15.411
