year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1985	Lithuania	LT	3544543	NA	0.813	3.507	0.089	2.145	8.677	0.0	0.0	0.0	37.431	0	0	0
1986	Lithuania	LT	3578914	NA	0.946	3.515	0.087	2.236	7.26	0.0	0.0	0.0	33.551	0	0	0
1987	Lithuania	LT	3616367	NA	0.932	3.671	0.082	2.078	7.967	0.0	0.0	0.0	36.001	0	0	0
1988	Lithuania	LT	3655049	NA	0.939	3.828	0.087	2.899	7.661	0.0	0.0	0.0	35.389	0	0	0
1989	Lithuania	LT	3684255	NA	0.878	4.062	0.087	3.768	7.859	0.0	0.0	0.0	36.232	0	0	0
1990	Lithuania	LT	3697838	NA	0.797	4.679	0.094	3.855	7.512	0.0	0.0	0.0	36.065	0	0	0
1991	Lithuania	LT	3704134	NA	0.89	4.843	0.076	3.847	8.263	0.0	0.0	0.0	38.966	0	0	0
1992	Lithuania	LT	3700114	NA	0.417	2.767	0.07	3.313	4.343	0.0	0.0	0.0	20.725	0	0	0
1993	Lithuania	LT	3682613	NA	0.37	1.496	0.089	2.775	3.79	0.0	0.0	0.0	16.371	0	0	0
1994	Lithuania	LT	3657144	NA	0.307	1.731	0.102	1.744	3.518	0.0	0.0	0.0	15.445	0	0	0
1995	Lithuania	LT	3629102	7870782260.51698	0.245	2.029	0.084	2.675	3.173	0.0	0.0	0.0	14.317	0	0	0
1996	Lithuania	LT	3601613	8385109020.28485	0.226	2.169	0.074	3.155	3.295	0.0	0.0	0.0	14.806	0	0	0
1997	Lithuania	LT	3575137	10120274492.8787	0.182	2.002	0.067	2.721	3.263	0.0	0.0	0.0	14.086	0	0	0
1998	Lithuania	LT	3549331	11240360897.7126	0.159	1.754	0.094	3.068	3.756	0.0	0.0	0.0	14.703	0	0	0
1999	Lithuania	LT	3524238	10972878636.1675	0.136	1.813	0.094	2.232	3.085	0.0	0.0	0.0	12.705	0	0	0
2000	Lithuania	LT	3499536	11539211480.3625	0.092	2.064	0.077	1.905	2.372	0.0	0.0	0.0	10.885	0	0	0
2001	Lithuania	LT	3470818	12252498921.0186	0.084	2.147	0.074	2.571	2.74	0.0	0.0	0.0	12.099	0	0	0
2002	Lithuania	LT	3443067	14278357283.7419	0.135	2.17	0.08	3.201	2.53	0.001	0.0	0.0	11.582	0	0	0
2003	Lithuania	LT	3415213	18802576988.1557	0.175	2.354	0.074	3.504	2.42	0.002	0.0	0.0	11.756	0	0	0
2004	Lithuania	LT	3377075	22649930576.2543	0.169	2.348	0.095	3.417	2.597	0.002	0.0	0.0	12.255	0	0	0
2005	Lithuania	LT	3322528	26125575942.2814	0.185	2.477	0.102	2.339	2.777	0.002	0.0	0.0	12.975	0	0	0
2006	Lithuania	LT	3269909	30216060233.4044	0.251	2.454	0.09	1.958	2.806	0.009	0.0	0.003	13.304	0	0	0
2007	Lithuania	LT	3231294	39738180076.6283	0.249	2.892	0.095	2.225	2.789	0.036	0.0	0.024	13.039	0	0	0
2008	Lithuania	LT	3198231	47850551148.8365	0.212	2.596	0.091	2.239	3.06	0.045	0.0	0.03	13.177	0	0	0
2009	Lithuania	LT	3162916	37440673477.8982	0.168	2.182	0.096	2.456	2.63	0.059	0.0	0.036	11.945	0	0	0
2010	Lithuania	LT	3097282	37132564255.4319	0.207	2.492	0.122	0.0	2.695	0.084	0.0	0.051	13.074	0	0	0
2011	Lithuania	LT	3028115	43522572641.2469	0.24	2.719	0.109	0.0	2.607	0.143	0.0	0.107	12.246	0	0	0
2012	Lithuania	LT	2987773	42869580922.9978	0.234	2.655	0.096	0.0	2.685	0.172	0.001	0.122	12.307	0	0	0
2013	Lithuania	LT	2957689	46464958449.4889	0.269	2.164	0.118	0.0	2.61	0.227	0.01	0.136	11.562	0	0	0
2014	Lithuania	LT	2932367	48547231524.4792	0.228	2.065	0.09	0.0	2.554	0.252	0.017	0.145	10.887	0	0	0
2015	Lithuania	LT	2904910	41400137850.7264	0.182	2.067	0.079	0.0	2.795	0.301	0.017	0.183	11.331	0	0	0
2016	Lithuania	LT	2904910	NA	0.192	1.842	0.103	0.0	2.991	0.362	0.015	0.249	11.593	0	0	0
