year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Mexico	MX	44623041	21829712000	0.69	7.526	2.005	0.0	14.229	0.0	0.0	0.0	61.654	0	18.054	0
1966	Mexico	MX	46010959	24337232000	0.736	7.922	2.3	0.0	14.761	0.0	0.0	0.0	64.2	0	18.49	0
1967	Mexico	MX	47429553	26556376000	0.903	6.811	2.505	0.0	15.783	0.0	0.0	0.0	65.404	0	20.464	0
1968	Mexico	MX	48893607	29363632000	0.946	7.296	2.861	0.0	17.294	0.0	0.0	0.0	71.095	0	21.901	0
1969	Mexico	MX	50423127	32515752000	0.959	9.025	3.066	0.0	18.211	0.0	0.0	0.0	78.012	0	22.965	0
1970	Mexico	MX	52029859	35541712000	1.076	9.209	3.395	0.0	19.601	0.0	0.0	0.0	82.91	0	24.179	10.123
1971	Mexico	MX	53719547	39200880000	1.351	9.54	3.271	0.0	20.709	0.0	0.0	0.0	87.791	0	24.107	10.02
1972	Mexico	MX	55480125	45178120000	1.493	10.207	3.489	0.0	23.186	0.0	0.0	0.0	97.254	0	25.098	10.439
1973	Mexico	MX	57283361	55271304000	1.6	11.302	3.682	0.0	24.657	0.036	0.0	0.0	104.801	0	25.859	11.35
1974	Mexico	MX	59090495	71976544000	1.768	11.894	3.797	0.0	28.412	0.105	0.0	0.0	118.863	0	32.416	11.903
1975	Mexico	MX	60872399	88003984000	2.031	12.089	3.434	0.0	31.951	0.117	0.0	0.0	130.342	0	40.155	12.089
1976	Mexico	MX	62620087	89023915584.4156	1.558	11.878	3.903	0.0	35.445	0.131	0.0	0.0	138.382	0	44.774	11.878
1977	Mexico	MX	64337694	81825783185.8407	2.242	12.53	4.345	0.0	36.574	0.134	0.0	0.0	146.014	0	54.366	12.586
1978	Mexico	MX	66025613	102517451754.386	2.337	15.757	3.668	0.0	41.551	0.135	0.0	0.0	165.961	0	66.692	15.757
1979	Mexico	MX	67688533	134540324561.404	2.296	19.141	4.076	0.0	44.656	0.231	0.0	0.0	181.93	0	80.66	19.141
1980	Mexico	MX	69330974	194356826086.957	2.325	20.717	3.829	0.0	49.396	0.207	0.0	0.0	199.167	0	107.188	23.137
1981	Mexico	MX	70950741	250083020408.163	2.055	22.432	5.571	0.0	54.021	0.218	0.0	0.0	212.199	1.699	127.995	24.907
1982	Mexico	MX	72547995	173720851063.83	2.461	24.474	5.182	0.0	55.754	0.293	0.0	0.0	223.428	2.043	151.013	26.619
1983	Mexico	MX	74133377	148866910907.577	2.802	25.104	4.695	0.0	54.398	0.306	0.0	0.0	219.9	2.595	147.125	26.803
1984	Mexico	MX	75721210	175632157330.155	2.81	25.423	5.342	0.0	58.029	0.322	0.0	0.0	230.274	2.827	148.311	26.369
1985	Mexico	MX	77322643	184473106267.03	3.046	25.893	5.939	0.0	60.51	0.371	0.0	0.0	237.517	2.901	145.854	25.619
1986	Mexico	MX	78939441	129440194508.009	3.358	23.013	4.532	0.0	60.77	0.768	0.0	0.0	232.412	3.141	136.882	22.779
1987	Mexico	MX	80571067	140263679436.947	3.248	23.372	4.15	0.0	63.731	1.0	0.0	0.0	241.468	3.487	143.035	23.151
1988	Mexico	MX	82223153	183144268180.018	3.074	23.594	4.747	0.0	63.556	1.048	0.0	0.0	242.075	3.113	142.691	23.458
1989	Mexico	MX	83901643	222977035953.687	3.403	22.924	5.521	0.084	67.845	1.058	0.0	0.0	253.935	3.344	143.065	22.515
1990	Mexico	MX	85609404	262709776007.964	3.374	24.776	5.329	0.665	71.008	1.16	0.0	0.0	268.776	3.386	145.169	24.408
1991	Mexico	MX	87347208	314453890803.074	3.264	26.275	4.966	0.96	74.021	1.32	0.0	0.0	279.16	3.074	152.817	24.749
