year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Malaysia	MY	9569784	2956356984.18921	0.015	0.0	0.135	0.0	2.285	0.0	0.0	0.0	7.017	0	0.048	0
1966	Malaysia	MY	9844116	3143538481.64119	0.02	0.0	0.16	0.0	2.659	0.0	0.0	0.0	8.181	0	0.048	0
1967	Malaysia	MY	10111920	3188945511.56409	0.012	0.0	0.167	0.0	2.713	0.0	0.0	0.0	8.29	0	0.048	0
1968	Malaysia	MY	10375877	3330393309.81315	0.012	0.0	0.185	0.0	2.753	0.0	0.0	0.0	8.393	0	0.192	0
1969	Malaysia	MY	10640347	3664575983.27453	0.015	0.0	0.233	0.0	2.839	0.0	0.0	0.0	8.667	0	0.43	0
1970	Malaysia	MY	10908634	3864170913.36731	0.016	0.007	0.295	0.0	3.128	0.0	0.0	0.0	9.569	0	0.86	0.0
1971	Malaysia	MY	11182078	4244340333.51899	0.041	0.071	0.297	0.0	3.425	0.0	0.0	0.0	10.788	0	3.296	0.071
1972	Malaysia	MY	11460080	5043268548.73032	0.104	0.1	0.281	0.0	3.806	0.0	0.0	0.0	12.166	0	4.455	0.1
1973	Malaysia	MY	11741849	7662996766.66803	0.099	0.1	0.296	0.0	4.125	0.0	0.0	0.0	13.261	0	4.348	0.1
1974	Malaysia	MY	12025930	9496074114.07918	0.099	0.208	0.293	0.0	4.111	0.0	0.0	0.0	13.403	0	3.87	0.208
1975	Malaysia	MY	12311782	9298800799.46702	0.009	0.251	0.293	0.0	4.335	0.0	0.0	0.0	13.836	0	4.682	0.251
1976	Malaysia	MY	12599655	11050125904.9418	0.01	0.299	0.268	0.0	4.841	0.0	0.0	0.0	15.592	0	8.0	0.299
1977	Malaysia	MY	12891715	13139397879.1695	0.011	0.273	0.224	0.0	5.51	0.0	0.0	0.0	17.581	0	8.743	0.273
1978	Malaysia	MY	13191699	16358376511.2263	0.024	2.021	0.241	0.0	5.941	0.0	0.0	0.0	23.199	0	10.319	2.034
1979	Malaysia	MY	13504433	21213672089.1976	0.034	2.515	0.295	0.0	7.205	0.0	0.0	0.0	28.391	0	13.473	2.524
1980	Malaysia	MY	13833739	24488033442.0506	0.05	2.237	0.376	0.0	8.155	0.0	0.0	0.0	30.498	0	13.222	2.245
1981	Malaysia	MY	14180093	25004557093.8761	0.093	1.881	0.416	0.0	8.688	0.0	0.0	0.0	31.691	0	12.374	1.891
1982	Malaysia	MY	14543585	26804401815.5348	0.085	2.368	0.4	0.0	9.073	0.0	0.0	0.0	33.813	0	14.524	2.379
1983	Malaysia	MY	14926976	30346788437.5135	0.221	3.319	0.466	0.0	9.714	0.0	0.0	0.0	38.574	0	18.393	5.737
1984	Malaysia	MY	15333369	33943505717.6993	0.239	4.112	0.921	0.0	9.538	0.0	0.0	0.0	39.877	0	21.366	8.715
1985	Malaysia	MY	15764340	31200161095.4491	0.319	3.971	0.853	0.0	9.511	0.0	0.0	0.0	39.164	0	21.26	9.629
1986	Malaysia	MY	16221767	27734562640.4277	0.237	6.162	0.921	0.0	9.105	0.0	0.0	0.0	41.764	0	23.887	12.95
1987	Malaysia	MY	16703500	32181695507.2234	0.327	6.147	1.111	0.0	9.336	0.0	0.0	0.0	42.776	0	23.601	14.002
1988	Malaysia	MY	17202032	35271880250.4964	0.26	6.271	1.268	0.0	10.145	0.0	0.0	0.0	45.447	0	25.724	14.455
1989	Malaysia	MY	17707064	38848567631.4235	1.197	7.181	1.197	0.0	10.491	0.0	0.0	0.0	52.299	0	27.973	15.645
1990	Malaysia	MY	18211097	44024178343.0071	1.326	6.801	0.9	0.0	12.632	0.0	0.0	0.0	58.831	0	29.55	15.487
1991	Malaysia	MY	18709835	49142784405.0044	1.562	10.112	1.005	0.0	13.601	0.0	0.0	0.0	70.497	0	30.77	18.39
1992	Malaysia	MY	19204700	59167157497.9385	1.64	10.798	0.97	0.0	14.88	0.0	0.0	0.0	75.921	0	31.264	19.061
1993	Malaysia	MY	19700762	66894448545.1226	1.371	10.792	1.098	0.0	16.389	0.0	0.0	0.0	77.219	0	30.577	20.743
1994	Malaysia	MY	20205992	74477975918.3051	1.523	10.578	1.467	0.0	18.045	0.0	0.0	0.0	84.051	0	31.114	21.339
1995	Malaysia	MY	20725374	88704944178.6284	1.669	11.573	1.399	0.0	18.87	0.0	0.0	0.0	87.128	0	33.323	24.164
1996	Malaysia	MY	21260881	100854996422.609	1.677	13.633	1.173	0.0	20.647	0.0	0.0	0.0	98.155	0	33.794	30.696
1997	Malaysia	MY	21808125	100005323301.867	1.622	16.836	0.935	0.0	23.872	0.0	0.0	0.0	113.604	0	33.498	34.955
1998	Malaysia	MY	22358128	72167753770.8928	1.731	17.203	1.009	0.0	20.292	0.0	0.0	0.0	104.593	0	34.023	35.076
1999	Malaysia	MY	22898579	79148947368.4211	1.94	19.36	1.709	0.0	22.342	0.0	0.0	0.0	117.538	0	32.413	35.665
2000	Malaysia	MY	23420751	93789736842.1053	2.486	23.971	1.583	0.0	22.41	0.0	0.0	0.0	129.629	0	33.501	41.964
2001	Malaysia	MY	23920963	92783947368.4211	2.971	23.101	1.373	0.0	23.305	0.0	0.0	0.0	131.833	0	32.53	41.419
2002	Malaysia	MY	24401977	100845263157.895	3.642	23.381	1.225	0.0	26.03	0.0	0.0	0.0	142.291	0	34.175	42.72
2003	Malaysia	MY	24869423	110202368421.053	5.316	25.408	1.152	0.0	27.568	0.0	0.0	0.0	157.849	0	35.389	44.711
2004	Malaysia	MY	25332026	124749736842.105	6.632	27.416	1.261	0.0	27.987	0.0	0.0	0.0	169.179	0	36.277	51.008
2005	Malaysia	MY	25796124	143534102611.497	6.889	31.417	1.359	0.0	28.002	0.0	0.0	0.0	179.426	0	34.625	57.51
2006	Malaysia	MY	26263048	162690965596.205	7.298	31.813	1.431	0.0	28.881	0.0	0.0	0.0	183.331	0	32.683	56.437
2007	Malaysia	MY	26730607	193547824063.3	8.847	31.941	1.348	0.0	30.809	0.0	0.0	0.0	184.284	0	33.844	55.383
2008	Malaysia	MY	27197419	230813597937.526	9.782	35.309	1.767	0.0	29.455	0.0	0.0	0.0	193.095	0	34.024	57.387
