year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Norway	NO	3723168	8058681060.159	0.763	0.0	11.17	0.0	5.105	0.0	0.0	0.0	17.714	0	0	0
1966	Norway	NO	3753012	8696460205.3397	0.703	0.0	11.018	0.0	5.761	0.0	0.0	0.0	19.417	0	0	0
1967	Norway	NO	3784539	9514496703.39762	0.738	0.0	12.066	0.0	5.956	0.0	0.0	0.0	19.992	0	0	0
1968	Norway	NO	3816486	10159934136.7838	0.751	0.0	13.628	0.0	6.63	0.0	0.0	0.0	21.896	0	0	0
1969	Norway	NO	3847707	11063065083.4888	0.837	0.0	12.987	0.0	7.291	0.0	0.0	0.0	23.96	0	0	0
1970	Norway	NO	3875763	12814123115.2613	0.855	0.0	13.091	0.0	8.198	0.0	0.0	0.0	26.75	0	0	0.0
1971	Norway	NO	3903039	14583114840.0629	0.804	0.0	14.468	0.0	8.092	0.0	0.0	0.0	26.503	0	0.293	0.0
1972	Norway	NO	3933004	17358610849.701	0.873	0.0	15.418	0.0	8.476	0.0	0.0	0.0	27.904	0	1.615	0.0
1973	Norway	NO	3960612	22534253702.8686	0.938	0.0	16.666	0.0	8.609	0.0	0.0	0.0	28.022	0	1.561	0.0
1974	Norway	NO	3985258	27145693810.1341	1.04	0.0	17.345	0.0	7.841	0.0	0.0	0.0	26.206	0	1.708	0.0
1975	Norway	NO	4007313	32877805200.023	0.989	0.0	17.521	0.0	8.1	0.0	0.0	0.0	26.887	0	9.223	0.0
1976	Norway	NO	4026152	35942270686.3374	0.954	0.0	18.566	0.0	8.957	0.0	0.0	0.0	29.612	0	13.652	0.0
1977	Norway	NO	4043205	41508030431.1074	0.822	0.343	16.339	0.0	8.82	0.0	0.0	0.0	29.445	0	14.005	2.389
1978	Norway	NO	4058671	46523091009.6713	0.847	0.576	18.3	0.0	9.85	0.0	0.0	0.0	31.357	0	17.372	12.781
1979	Norway	NO	4072517	53132244623.9213	1.054	0.658	20.137	0.0	9.786	0.0	0.0	0.0	32.596	0	19.5	18.603
1980	Norway	NO	4085620	64439382896.0156	0.976	0.707	19.003	0.0	9.391	0.0	0.0	0.0	29.98	0	25.05	22.579
1981	Norway	NO	4099702	63596654760.8677	0.978	0.869	21.108	0.0	8.727	0.0	0.0	0.0	28.341	0	24.292	22.456
1982	Norway	NO	4114787	62647195537.6511	0.94	0.938	21.021	0.0	8.374	0.0	0.0	0.0	27.17	0	25.232	21.564
1983	Norway	NO	4128432	61627240831.0948	1.002	1.056	24.0	0.0	8.272	0.0	0.0	0.0	27.134	0	31.398	21.251
1984	Norway	NO	4140099	62057955032.7758	1.124	1.016	24.066	0.0	8.565	0.0	0.0	0.0	27.566	0	35.955	23.366
1985	Norway	NO	4152516	65416879914.3907	1.119	1.071	23.297	0.0	8.992	0.001	0.0	0.0	28.903	0	39.211	23.567
1986	Norway	NO	4167354	78693253275.995	0.997	1.18	21.911	0.0	9.698	0.006	0.0	0.0	31.21	0	43.034	23.481
1987	Norway	NO	4186905	94230055658.6271	0.963	1.299	23.482	0.0	9.586	0.005	0.0	0.0	30.404	0	50.115	25.336
1988	Norway	NO	4209488	101900260856.222	0.989	1.636	24.792	0.0	8.976	0.006	0.0	0.0	29.966	0	56.98	25.497
1989	Norway	NO	4226901	102633789557.535	0.866	1.812	26.863	0.0	9.113	0.007	0.0	0.0	30.392	0	74.909	25.864
1990	Norway	NO	4241473	119791683307.507	0.811	1.919	27.471	0.0	9.334	0.048	0.0	0.0	31.069	0	82.143	22.932
1991	Norway	NO	4261732	121872464483.487	0.722	2.162	25.026	0.0	8.566	0.047	0.0	0.0	29.139	0	93.842	22.524
1992	Norway	NO	4286401	130838040067.584	0.726	2.327	26.492	0.0	8.896	0.051	0.0	0.0	30.844	0	106.901	23.25
1993	Norway	NO	4311991	120579072750.596	0.785	2.448	27.071	0.0	9.341	0.055	0.0	0.0	31.74	0	114.128	22.323
1994	Norway	NO	4336613	127131461119.927	0.885	2.628	25.532	0.0	9.597	0.061	0.0	0.0	33.633	0	128.583	24.157
1995	Norway	NO	4359184	152027402449.804	0.966	2.653	27.721	0.0	9.381	0.065	0.0	0.0	33.28	0	138.4	25.032
1996	Norway	NO	4381336	163517783497.163	0.96	2.88	23.518	0.0	10.166	0.069	0.0	0.0	36.276	0	154.664	33.658
1997	Norway	NO	4405157	161354369892.838	0.953	3.326	25.103	0.0	10.278	0.055	0.0	0.0	37.511	0	156.228	38.65
1998	Norway	NO	4431464	154165219811.533	1.034	3.397	26.311	0.0	10.283	0.061	0.0	0.0	38.4	0	149.6	39.775
1999	Norway	NO	4461913	162286003692.686	0.969	3.245	27.574	0.0	10.198	0.065	0.0	0.003	38.091	0	149.674	43.624
2000	Norway	NO	4490967	171315639982.731	0.993	3.643	32.187	0.0	9.37	0.065	0.0	0.007	35.669	0	160.735	44.816
2001	Norway	NO	4513751	174003247439.305	0.885	3.376	27.38	0.0	10.223	0.064	0.0	0.007	36.366	0	162.49	48.633
2002	Norway	NO	4538159	195418347152.985	0.767	3.603	29.359	0.0	9.806	0.065	0.0	0.009	35.572	0	157.922	59.035
2003	Norway	NO	4564855	228752436371.854	0.749	3.882	24.012	0.0	10.36	0.124	0.0	0.05	37.222	0	153.851	65.664
2004	Norway	NO	4591910	264357494659.388	0.846	4.105	24.727	0.0	10.009	0.14	0.0	0.059	37.639	0	150.267	71.261
2005	Norway	NO	4623291	308722079937.912	0.722	4.013	30.903	0.0	10.155	0.19	0.0	0.115	37.311	0	138.73	77.258
