year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	New Zealand	NZ	2628400	5654463586.00366	1.645	0.0	2.267	0.0	2.718	0.305	0.0	0.0	15.047	0	0	0
1966	New Zealand	NZ	2675900	5863733230.97616	1.6	0.0	2.445	0.0	3.014	0.308	0.0	0.0	15.796	0	0	0
1967	New Zealand	NZ	2724100	5961418093.53003	1.461	0.0	2.539	0.0	3.17	0.257	0.0	0.0	15.734	0	0	0
1968	New Zealand	NZ	2748100	5180597620.64135	1.375	0.0	2.664	0.0	3.253	0.293	0.0	0.0	15.671	0	0	0
1969	New Zealand	NZ	2772800	5761588761.69421	1.41	0.0	2.633	0.0	3.378	0.3	0.0	0.0	16.198	0	0	0
1970	New Zealand	NZ	2810700	NA	1.411	0.1	2.867	0.0	3.975	0.288	0.0	0.0	18.334	0	0	0
1971	New Zealand	NZ	2853000	7912290825.15868	1.255	0.127	3.257	0.0	4.103	0.284	0.0	0.0	18.198	0	0	0
1972	New Zealand	NZ	2903900	9567331064.65727	1.286	0.23	3.454	0.0	4.417	0.284	0.0	0.0	19.561	0	0	0
1973	New Zealand	NZ	2961300	12802281897.8712	1.457	0.267	3.416	0.0	4.679	0.281	0.0	0.0	21.14	0	0	0
1974	New Zealand	NZ	3023700	13939602868.1743	1.5	0.313	3.437	0.0	4.462	0.398	0.0	0.0	20.733	0	0	0
1975	New Zealand	NZ	3083100	12861983284.3912	1.412	0.344	3.771	0.0	4.282	0.404	0.0	0.0	19.877	0	0	0
1976	New Zealand	NZ	3110500	13604832424.0062	1.455	0.807	3.507	0.0	4.419	0.393	0.0	0.0	21.582	0	0	0
1977	New Zealand	NZ	3120200	15445837859.1883	1.385	1.368	3.331	0.0	4.42	0.375	0.0	0.0	22.62	0	0	0
1978	New Zealand	NZ	3121200	18529473244.1472	1.278	1.283	3.543	0.0	4.192	0.381	0.0	0.0	21.26	0	0	0
1979	New Zealand	NZ	3109000	20730241410.3977	1.139	0.858	4.173	0.0	4.245	0.353	0.0	0.0	19.868	0	0	0
1980	New Zealand	NZ	3112900	23245512449.3341	1.172	0.794	4.382	0.0	4.104	0.374	0.0	0.0	19.401	0	0	0
1981	New Zealand	NZ	3124900	24417617184.2478	1.167	0.969	4.453	0.0	3.889	0.366	0.0	0.0	19.038	1.244	0	0
1982	New Zealand	NZ	3156100	24164603058.9949	1.145	1.718	4.142	0.0	3.876	0.373	0.0	0.0	20.652	1.258	0	0
1983	New Zealand	NZ	3199300	24308622502.6288	1.268	1.857	4.469	0.0	3.716	0.377	0.0	0.0	20.768	1.395	0	0
1984	New Zealand	NZ	3227100	21665456808.0473	1.179	2.368	4.611	0.0	3.764	0.412	0.0	0.0	20.871	1.44	0	0
1985	New Zealand	NZ	3247100	24680306905.3708	1.089	3.011	4.459	0.0	3.608	0.383	0.0	0.0	21.505	1.377	0	0
1986	New Zealand	NZ	3246300	30605196451.2041	1.252	3.618	5.0	0.0	3.681	0.399	0.0	0.0	23.823	1.436	0	0
1987	New Zealand	NZ	3274400	40376973073.3519	1.045	3.497	4.962	0.0	3.892	0.398	0.0	0.0	22.769	1.249	0	0
1988	New Zealand	NZ	3283400	45176167471.8196	1.132	3.793	5.196	0.0	4.038	0.4	0.0	0.0	24.205	1.405	0	0
1989	New Zealand	NZ	3299200	43919630703.6752	1.233	3.893	5.105	0.0	4.148	0.512	0.0	0.0	25.175	1.594	0	0
1990	New Zealand	NZ	3329800	45495727006.5141	1.198	3.873	5.246	0.0	4.764	0.59	0.0	0.0	27.043	1.498	0	0
1991	New Zealand	NZ	3495100	42745329732.163	1.142	4.209	5.18	0.0	4.586	0.63	0.0	0.0	26.817	1.572	0	0
1992	New Zealand	NZ	3531700	41649298170.9911	1.258	4.467	4.773	0.0	4.701	0.625	0.0	0.0	28.406	1.79	0	0
1993	New Zealand	NZ	3572200	46775067750.6775	1.239	4.344	5.316	0.0	4.543	0.653	0.0	0.0	27.42	2.02	0	0
1994	New Zealand	NZ	3620000	55315342817.0218	1.171	4.051	5.846	0.0	5.216	0.619	0.0	0.0	28.246	1.855	0	0
1995	New Zealand	NZ	3673400	63918703506.9075	1.213	3.826	6.23	0.0	5.655	0.607	0.0	0.0	28.66	2.274	0	0
1996	New Zealand	NZ	3732000	70140835299.0148	1.176	4.371	5.925	0.0	5.549	0.596	0.0	0.002	28.97	2.322	0	0
1997	New Zealand	NZ	3781300	66074513017.7142	1.264	4.679	5.263	0.0	5.882	0.618	0.0	0.003	30.998	2.185	0	0
1998	New Zealand	NZ	3815000	56226643507.553	1.15	4.158	5.729	0.0	5.979	0.703	0.0	0.005	29.78	1.897	0	0
1999	New Zealand	NZ	3835100	58761222689.2937	1.178	4.809	5.186	0.0	6.021	0.758	0.0	0.009	31.121	2.19	0	0
2000	New Zealand	NZ	3857700	52623281956.7031	1.123	5.055	5.529	0.0	6.167	0.814	0.0	0.027	31.556	2.182	0	0
2001	New Zealand	NZ	3880500	53872425916.6248	1.398	5.32	4.906	0.0	6.207	0.779	0.0	0.031	33.975	2.479	0	0
2002	New Zealand	NZ	3948500	66628222189.3637	1.398	5.057	5.627	0.0	6.427	0.777	0.0	0.035	33.848	2.85	0	0
2003	New Zealand	NZ	4027200	88250885550.2626	2.007	3.857	5.346	0.0	6.799	0.746	0.0	0.033	36.14	3.236	0	0
2004	New Zealand	NZ	4087500	103905210084.034	2.069	3.466	6.162	0.0	6.815	0.817	0.0	0.082	35.168	3.272	0	0
2005	New Zealand	NZ	4133900	114719425473.492	2.287	3.227	5.279	0.0	7.0	0.948	0.0	0.139	37.081	3.33	0	0
2006	New Zealand	NZ	4184600	111606899682.251	2.247	3.31	5.333	0.0	7.102	1.024	0.0	0.141	37.184	3.584	0	0
2007	New Zealand	NZ	4223800	137314617476.299	1.713	3.644	5.351	0.0	7.144	1.141	0.001	0.21	36.011	2.981	0	0
2008	New Zealand	NZ	4259800	133278976593.801	2.124	3.437	5.057	0.0	7.22	1.317	0.001	0.239	37.227	2.987	0	0
2009	New Zealand	NZ	4302600	121337372727.841	1.614	3.594	5.479	0.0	6.874	1.561	0.001	0.334	34.239	2.805	0	0
2010	New Zealand	NZ	4350700	146584522265.456	1.397	3.854	5.595	0.0	7.04	1.824	0.001	0.37	34.287	3.309	0	0
2011	New Zealand	NZ	4384000	168462632327.382	1.426	3.48	5.682	0.0	7.013	1.958	0.001	0.443	33.738	3.052	0	0
2012	New Zealand	NZ	4408100	176617424296.729	1.739	3.798	5.181	0.0	6.96	2.016	0.001	0.471	35.248	3.04	0	0
2013	New Zealand	NZ	4442100	190690896703.83	1.535	4.024	5.218	0.0	7.06	2.047	0.002	0.458	34.842	2.846	0	0
2014	New Zealand	NZ	4509700	200142409766.821	1.468	4.39	5.514	0.0	7.202	2.282	0.004	0.501	35.001	2.457	0	0
2015	New Zealand	NZ	4595700	173754075210.516	1.437	4.044	5.567	0.0	7.493	2.448	0.008	0.535	35.126	2.037	0	0
2016	New Zealand	NZ	4595700	NA	1.219	4.23	5.88	0.0	7.652	2.449	0.012	0.526	35.243	1.729	0	0
