year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Peru	PE	11607684	5166861068.42164	0.036	0.342	0.595	0.0	3.62	0.0	0.0	0.0	12.202	0	3.394	0
1966	Peru	PE	11941327	6113607728.15672	0.046	0.357	0.639	0.0	4.54	0.0	0.0	0.0	15.059	0	3.394	0
1967	Peru	PE	12282081	6204253758.57616	0.051	0.334	0.716	0.0	4.574	0.0	0.0	0.0	15.137	0	3.812	0
1968	Peru	PE	12629333	5736083835.22481	0.051	0.372	0.768	0.0	4.595	0.0	0.0	0.0	15.314	0	3.979	0
1969	Peru	PE	12982444	6420909789.63824	0.086	0.379	0.837	0.0	4.53	0.0	0.0	0.0	15.287	0	3.864	0
1970	Peru	PE	13341071	7432223176.77261	0.087	0.372	0.866	0.0	4.765	0.0	0.0	0.0	16.034	0	3.864	0.372
1971	Peru	PE	13704333	8289582883.50129	0.122	0.444	0.968	0.0	4.699	0.051	0.0	0.0	16.046	0	3.305	0.444
1972	Peru	PE	14072476	9189413409.01292	0.132	0.427	1.005	0.0	4.003	0.051	0.0	0.0	13.875	0	3.472	0.427
1973	Peru	PE	14447649	10994381894.7984	0.151	0.418	1.079	0.0	4.662	0.052	0.0	0.0	15.964	0	3.775	0.418
1974	Peru	PE	14832839	13858441211.2196	0.161	0.43	1.182	0.0	5.497	0.06	0.0	0.0	18.689	0	4.089	0.43
1975	Peru	PE	15229951	16877163792.1284	0.168	0.531	1.237	0.0	5.755	0.06	0.0	0.0	19.749	0	3.796	0.531
1976	Peru	PE	15639898	15947709379.6507	0.13	0.576	1.313	0.0	5.837	0.055	0.0	0.0	19.907	0	4.016	0.576
1977	Peru	PE	16061327	14620386673.8544	0.149	0.572	1.363	0.0	5.841	0.055	0.0	0.0	19.97	0	4.788	0.572
1978	Peru	PE	16491087	12495779622.071	0.127	0.598	1.403	0.0	5.796	0.049	0.0	0.0	19.799	0	7.921	0.598
1979	Peru	PE	16924758	15962459447.2168	0.135	0.553	1.516	0.0	6.028	0.037	0.0	0.0	20.489	0	10.062	0.553
1980	Peru	PE	17359118	18134029179.6393	0.142	0.594	1.587	0.0	6.515	0.019	0.0	0.0	22.101	0	10.247	0.594
1981	Peru	PE	17792551	21649137620.3055	0.144	0.682	1.811	0.0	6.645	0.017	0.0	0.0	22.661	0	10.114	0.682
1982	Peru	PE	18225727	21793496819.3379	0.163	0.716	1.9	0.0	6.532	0.034	0.0	0.0	22.594	0	10.219	0.716
1983	Peru	PE	18660443	17345624453.6916	0.138	0.472	1.837	0.0	5.651	0.033	0.0	0.0	19.227	0	8.929	0.472
1984	Peru	PE	19099575	17599660054.286	0.11	0.637	1.939	0.0	5.839	0.032	0.0	0.0	20.017	0	9.671	0.637
1985	Peru	PE	19544950	16548827018.2872	0.12	0.497	2.124	0.0	5.638	0.038	0.0	0.0	19.057	0	9.853	0.497
1986	Peru	PE	19996250	15244232957.876	0.163	0.527	2.237	0.0	6.069	0.035	0.0	0.0	20.473	0	9.331	0.527
1987	Peru	PE	20451712	20702298396.9717	0.184	0.524	2.411	0.0	6.698	0.031	0.0	0.0	22.566	0	8.6	0.524
1988	Peru	PE	20909897	15439408447.2288	0.181	0.494	2.361	0.0	6.547	0.031	0.0	0.0	22.185	0	7.419	0.494
1989	Peru	PE	21368856	22499559086.0343	0.201	0.419	2.353	0.0	5.804	0.033	0.0	0.0	19.836	0	6.825	0.419
1990	Peru	PE	21826658	26410386669.3609	0.145	0.401	2.303	0.0	5.807	0.031	0.0	0.0	19.602	0	6.773	0.401
1991	Peru	PE	22283130	34672122339.7898	0.281	0.376	2.542	0.0	5.37	0.03	0.0	0.0	18.639	0	6.042	0.376
1992	Peru	PE	22737056	36139225252.6227	0.275	0.339	2.192	0.0	5.612	0.03	0.0	0.0	19.246	0	6.11	0.339
1993	Peru	PE	23184222	35158109978.8868	0.289	0.357	2.642	0.0	5.883	0.025	0.0	0.0	20.013	0	6.616	0.357
1994	Peru	PE	23619358	44882079766.8913	0.356	0.373	2.9	0.0	6.394	0.027	0.0	0.0	21.631	0	6.668	0.373
1995	Peru	PE	24038761	53312793687.3836	0.374	0.361	2.927	0.0	7.213	0.032	0.0	0.0	24.203	0	6.407	0.361
1996	Peru	PE	24441076	55252414130.3019	0.392	0.366	3.015	0.0	7.434	0.031	0.0	0.0	25.309	0	6.32	0.366
1997	Peru	PE	24827409	58147522522.5225	0.408	0.217	2.99	0.0	7.347	0.035	0.0	0.0	24.566	0	6.23	0.217
1998	Peru	PE	25199744	55501467877.381	0.447	0.368	3.124	0.0	7.389	0.029	0.0	0.0	25.162	0	6.005	0.368
1999	Peru	PE	25561297	50187324567.883	0.405	0.37	3.29	0.0	7.541	0.032	0.0	0.0	25.549	0	5.54	0.37
2000	Peru	PE	25914875	51744749133.213	0.63	0.311	3.66	0.0	7.373	0.036	0.0	0.0	25.737	0	5.144	0.311
2001	Peru	PE	26261363	52030158775.4055	0.571	0.333	3.986	0.0	6.974	0.037	0.0	0.0	24.189	0	5.031	0.333
2002	Peru	PE	26601463	54777553515.0809	0.782	0.398	4.082	0.0	6.922	0.042	0.0	0.0	24.958	0	5.032	0.398
2003	Peru	PE	26937737	58731030121.8671	0.84	0.471	4.194	0.0	6.535	0.045	0.0	0.0	24.219	0	4.715	0.471
2004	Peru	PE	27273188	66768703497.5687	0.908	0.774	3.966	0.0	7.311	0.035	0.0	0.0	27.494	0	4.69	0.774
2005	Peru	PE	27610406	76060606060.606	0.921	1.365	4.068	0.0	7.129	0.079	0.0	0.0	28.447	0	5.322	1.365
2006	Peru	PE	27949958	88643193061.748	0.784	1.598	4.434	0.0	6.858	0.079	0.0	0.0	27.484	0	5.54	1.598
2007	Peru	PE	28292768	102170981144.136	1.035	2.408	4.423	0.0	7.108	0.095	0.0	0.0	31.13	0	5.485	2.408
2008	Peru	PE	28642048	120550599815.441	0.923	3.057	4.313	0.0	7.994	0.104	0.0	0.0	34.84	0	5.701	3.115
2009	Peru	PE	29001563	120822986521.479	0.829	3.127	4.504	0.0	8.164	0.104	0.0	0.0	34.669	0	6.514	3.193
2010	Peru	PE	29373644	147492391535.14	0.813	4.401	4.537	0.0	8.614	0.153	0.0	0.0	38.833	0	6.951	6.514
2011	Peru	PE	29759891	171724325697.898	0.818	4.953	4.878	0.0	9.461	0.153	0.0	0.0	42.923	0	6.737	10.224
2012	Peru	PE	30158768	192605185353.65	0.873	5.541	4.985	0.0	9.594	0.165	0.014	0.0	44.158	0	6.727	10.673
2013	Peru	PE	30565461	201150658576.291	0.88	5.369	5.05	0.0	10.142	0.262	0.045	0.0	45.421	0	7.129	10.973
2014	Peru	PE	30973148	201021342537.156	0.869	6.144	5.026	0.0	10.008	0.395	0.045	0.058	46.651	0	7.299	11.632
2015	Peru	PE	31376670	189111139010.075	0.81	6.438	5.36	0.0	10.681	0.43	0.052	0.134	49.21	0	6.212	11.245
2016	Peru	PE	31376670	NA	0.813	7.086	5.391	0.0	11.442	0.56	0.055	0.23	53.1	0	5.582	12.601
