year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Philippines	PH	30913931	5784398976.9821	0.044	0.0	0.172	0.0	4.176	0.0	0.0	0.0	13.209	0	0	0
1966	Philippines	PH	31867565	6371459304.41018	0.042	0.0	0.18	0.0	4.556	0.0	0.0	0.0	14.388	0	0	0
1967	Philippines	PH	32826602	6809134235.54298	0.033	0.0	0.243	0.0	5.145	0.0	0.0	0.0	16.168	0	0	0
1968	Philippines	PH	33797041	7591603053.43511	0.015	0.0	0.159	0.0	5.883	0.0	0.0	0.0	18.378	0	0	0
1969	Philippines	PH	34787588	8408229699.14295	0.02	0.0	0.181	0.0	6.303	0.0	0.0	0.0	19.712	0	0	0
1970	Philippines	PH	35804731	6687204834.3687	0.02	0.0	0.349	0.0	7.183	0.0	0.0	0.0	22.407	0	0	0
1971	Philippines	PH	36851055	7408305735.65309	0.019	0.0	0.386	0.0	8.319	0.0	0.0	0.0	25.983	0	0	0
1972	Philippines	PH	37925400	8017468688.2004	0.019	0.0	0.324	0.0	8.164	0.0	0.0	0.0	25.49	0	0	0
1973	Philippines	PH	39026082	10082885603.0668	0.019	0.0	0.418	0.0	9.597	0.0	0.0	0.0	29.578	0	0	0
1974	Philippines	PH	40149959	13781139969.6519	0.026	0.0	0.503	0.0	8.977	0.0	0.0	0.0	27.773	0	0	0
1975	Philippines	PH	41295129	14893969287.6557	0.049	0.0	0.503	0.0	9.684	0.0	0.0	0.0	30.049	0	0	0
1976	Philippines	PH	42461189	17097563270.2982	0.059	0.0	0.596	0.0	9.954	0.0	0.0	0.0	30.973	0	0	0
1977	Philippines	PH	43650333	19648106122.0079	0.145	0.0	0.436	0.0	10.89	0.0	0.0	0.0	34.045	0	0	0
1978	Philippines	PH	44866279	22706155475.3048	0.133	0.0	0.634	0.0	11.223	0.001	0.0	0.0	35.275	0	0	0
1979	Philippines	PH	46113992	27502168726.9573	0.116	0.0	0.628	0.0	11.589	0.144	0.0	0.0	36.336	0	0	0
1980	Philippines	PH	47396966	32450541843.0652	0.14	0.0	0.778	0.0	10.881	0.463	0.0	0.0	34.666	0	0	0
1981	Philippines	PH	48715592	35646416952.5425	0.243	0.0	0.835	0.0	10.225	0.885	0.0	0.0	33.033	0	0	0
1982	Philippines	PH	50068493	37140163934.4262	0.271	0.0	0.864	0.0	9.841	0.884	0.0	0.0	31.867	0	0	0
1983	Philippines	PH	51455037	33212180658.1659	0.493	0.0	0.67	0.0	10.29	1.117	0.0	0.0	33.779	0	0	0
1984	Philippines	PH	52873979	31408492876.691	0.789	0.0	1.18	0.0	8.396	1.212	0.0	0.0	29.172	0	0	0
1985	Philippines	PH	54323651	30734335448.9905	1.117	0.0	1.261	0.0	7.445	1.345	0.0	0.0	27.499	0	0	0
1986	Philippines	PH	55803915	29868339080.8263	0.88	0.0	1.358	0.0	7.83	1.261	0.0	0.0	27.741	0	0	0
