year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Pakistan	PK	50848775	5884712095.75809	1.379	1.592	0.497	0.0	3.777	0.0	0.0	0.0	20.17	0	0	0
1966	Pakistan	PK	52194629	6466610751.78496	1.164	1.799	0.497	0.0	3.878	0.0	0.0	0.0	20.054	0	0	0
1967	Pakistan	PK	53594445	7403821902.56195	1.118	2.099	0.589	0.0	4.335	0.0	0.0	0.0	21.929	0	0	0
1968	Pakistan	PK	55045897	8090088555.2289	1.231	2.355	0.708	0.0	4.936	0.0	0.0	0.0	24.796	0	0	0
1969	Pakistan	PK	56545924	8632927257.45485	1.108	2.902	0.747	0.0	4.632	0.0	0.0	0.0	24.433	0	0	0
1970	Pakistan	PK	58094239	10027088849.223	0.923	3.137	0.661	0.0	4.581	0.0	0.0	0.0	24.007	0	0	3.137
1971	Pakistan	PK	59690467	10602058189.8362	0.731	3.128	0.863	0.011	4.29	0.0	0.0	0.0	22.235	0	0	3.128
1972	Pakistan	PK	61341255	9309109764.07784	0.586	2.899	0.908	0.046	3.554	0.0	0.0	0.0	18.845	0	0	2.899
1973	Pakistan	PK	63062204	6324884129.38617	0.582	3.302	0.958	0.086	3.641	0.0	0.0	0.0	20.02	0	0	3.302
1974	Pakistan	PK	64873705	8773030424.24242	0.533	3.653	0.963	0.12	3.921	0.0	0.0	0.0	21.561	0	0	3.653
1975	Pakistan	PK	66791496	11340000242.4242	0.517	4.104	1.108	0.138	4.066	0.0	0.0	0.0	22.907	0	0	4.104
1976	Pakistan	PK	68818471	13338484979.798	0.512	4.185	1.203	0.117	4.061	0.0	0.0	0.0	23.024	0	0	4.185
1977	Pakistan	PK	70953777	15126059646.4646	0.557	4.572	1.429	0.074	4.27	0.0	0.0	0.0	24.663	0	0	4.572
1978	Pakistan	PK	73204087	17820100626.2626	0.593	4.698	1.774	0.038	4.497	0.0	0.0	0.0	25.786	0	0	4.698
1979	Pakistan	PK	75575981	19707979303.0303	0.661	5.292	1.918	0.012	4.794	0.0	0.0	0.0	28.036	0	0	5.292
1980	Pakistan	PK	78071984	23689696767.6768	0.704	6.462	2.011	0.018	5.012	0.0	0.0	0.0	30.341	0	0	6.462
1981	Pakistan	PK	80691701	28100605515.1515	0.799	7.047	2.1	0.038	5.328	0.0	0.0	0.0	32.299	0.701	0	7.047
1982	Pakistan	PK	83427522	30725972786.7299	0.906	7.686	2.363	0.046	5.869	0.0	0.0	0.0	34.609	0.795	0	7.686
1983	Pakistan	PK	86264621	28691890433.0709	1.028	7.578	2.737	0.062	6.476	0.0	0.0	0.0	36.872	0.818	0	7.578
1984	Pakistan	PK	89183159	31151824658.6524	1.166	7.776	2.837	0.075	7.028	0.0	0.0	0.0	39.175	1.038	0	7.776
1985	Pakistan	PK	92165065	31144920554.0897	1.323	7.938	2.947	0.088	7.506	0.0	0.0	0.0	41.806	0.984	0	7.938
1986	Pakistan	PK	95207133	31899071053.9368	1.501	8.514	2.818	0.119	8.084	0.0	0.0	0.0	45.498	0.921	0	8.514
1987	Pakistan	PK	98301647	33351528115.351	1.704	9.117	3.705	0.069	8.849	0.0	0.0	0.0	50.878	1.083	0	9.117
