year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Romania	RO	19031576	NA	4.36	13.731	0.226	0.0	7.147	0.0	0.0	0.0	71.93	0	12.821	0
1966	Romania	RO	19215450	NA	4.695	14.804	0.234	0.0	7.447	0.0	0.0	0.0	76.701	0	13.075	0
1967	Romania	RO	19534242	NA	5.203	16.321	0.334	0.0	8.429	0.0	0.0	0.0	85.347	0	13.456	0
1968	Romania	RO	19799831	NA	5.704	17.269	0.353	0.0	8.866	0.0	0.0	0.0	90.886	0	13.535	0
1969	Romania	RO	20009141	NA	6.592	20.053	0.503	0.0	9.895	0.0	0.0	0.0	104.229	0	13.546	0
1970	Romania	RO	20250398	NA	7.162	20.843	0.626	0.0	10.714	0.0	0.0	0.0	110.892	0	13.677	21.0
1971	Romania	RO	20461567	NA	7.564	22.286	1.018	0.0	10.876	0.0	0.0	0.0	116.434	0	14.093	22.442
1972	Romania	RO	20657957	NA	7.918	22.623	1.661	0.0	11.619	0.0	0.0	0.0	120.956	0	14.428	22.956
1973	Romania	RO	20835681	NA	8.916	23.903	1.708	0.0	13.066	0.0	0.0	0.0	132.542	0	14.637	24.304
1974	Romania	RO	21029429	NA	9.377	24.672	1.918	0.0	12.054	0.0	0.0	0.0	132.942	0	14.836	25.084
1975	Romania	RO	21293583	NA	9.721	26.805	1.971	0.0	13.657	0.0	0.0	0.0	144.402	0	14.98	27.248
1976	Romania	RO	21551634	NA	9.866	29.546	1.834	0.0	15.234	0.0	0.0	0.0	156.361	0	15.09	29.722
1977	Romania	RO	21756096	NA	9.99	31.298	2.113	0.0	16.501	0.0	0.0	0.0	165.073	0	15.04	31.476
1978	Romania	RO	21951464	NA	11.218	32.354	2.403	0.0	18.41	0.0	0.0	0.0	178.538	0	14.114	31.691
1979	Romania	RO	22090488	NA	12.082	31.18	2.566	0.0	19.598	0.0	0.0	0.0	183.048	0	12.713	30.281
1980	Romania	RO	22242653	NA	12.364	32.38	2.861	0.0	18.571	0.0	0.0	0.0	183.628	0	12.001	31.267
1981	Romania	RO	22415169	NA	12.996	34.024	2.882	0.0	16.662	0.0	0.0	0.0	184.043	8.471	12.134	32.91
1982	Romania	RO	22515389	NA	12.418	34.604	2.682	0.0	16.38	0.0	0.0	0.0	182.175	8.397	12.232	33.275
1983	Romania	RO	22588790	NA	14.347	34.458	2.271	0.0	14.644	0.0	0.0	0.0	183.912	9.727	12.083	33.02
1984	Romania	RO	22655940	NA	14.322	34.33	2.563	0.0	14.011	0.0	0.0	0.0	181.49	9.832	11.943	32.784
1985	Romania	RO	22755427	NA	14.922	31.92	2.692	0.0	15.031	0.0	0.0	0.0	181.536	10.29	11.248	31.336
1986	Romania	RO	22859269	NA	15.113	32.494	2.447	0.0	16.159	0.0	0.0	0.0	187.191	10.468	10.655	31.712
1987	Romania	RO	22949430	38413636363.6364	16.182	31.909	2.537	0.0	17.77	0.0	0.0	0.0	195.2	11.276	10.034	30.139
1988	Romania	RO	23057662	40809523809.5238	17.523	32.008	3.082	0.0	16.649	0.0	0.0	0.0	197.189	12.586	9.839	29.515
1989	Romania	RO	23161458	42105263157.8947	17.503	31.882	2.858	0.0	17.192	0.0	0.0	0.0	198.422	12.413	9.623	26.458
1990	Romania	RO	23201835	38995454545.4545	12.731	28.838	2.484	0.0	18.693	0.0	0.0	0.0	178.922	8.264	8.136	22.911
1991	Romania	RO	23001155	28998684210.5263	10.24	23.798	3.224	0.0	15.566	0.0	0.0	0.0	142.454	7.03	7.008	20.057
1992	Romania	RO	22794284	25121666666.6667	10.762	21.195	2.647	0.0	12.66	0.0	0.0	0.0	126.577	7.347	6.827	17.612
1993	Romania	RO	22763280	26362894736.8421	10.133	20.376	2.889	0.0	12.121	0.0	0.0	0.0	121.961	7.625	6.929	16.76
1994	Romania	RO	22730211	30074440483.3837	10.415	18.559	2.953	0.0	11.246	0.0	0.0	0.0	118.689	7.78	6.974	14.824
1995	Romania	RO	22684270	37662075750.123	10.787	19.24	3.779	0.0	13.494	0.0	0.0	0.0	128.686	7.888	6.951	14.446
1996	Romania	RO	22619004	37182938696.0752	10.748	19.418	3.566	0.314	12.978	0.0	0.0	0.0	126.938	8.064	6.852	13.764
1997	Romania	RO	22553978	35838588169.6429	9.716	15.939	3.963	1.222	13.659	0.002	0.0	0.0	115.47	6.603	6.75	11.908
1998	Romania	RO	22507344	41976002703.9207	8.056	14.985	4.274	1.201	11.968	0.002	0.0	0.0	101.413	5.15	6.553	11.15
1999	Romania	RO	22472040	36183003978.3474	6.861	13.731	4.139	1.176	9.476	0.0	0.0	0.0	85.248	4.647	6.379	11.192
2000	Romania	RO	22442971	37438527799.5302	7.493	13.68	3.344	1.235	9.979	0.0	0.0	0.0	89.03	5.603	6.287	10.968
2001	Romania	RO	22131970	40716836998.0386	7.649	13.18	3.377	1.232	10.604	0.0	0.0	0.0	90.963	5.701	6.238	10.78
2002	Romania	RO	21730496	46174557555.5892	8.819	13.629	3.631	1.248	10.645	0.001	0.0	0.0	96.537	6.099	6.072	10.599
2003	Romania	RO	21574326	59867801204.8193	9.423	14.729	3.001	1.11	9.425	0.001	0.0	0.0	98.989	6.54	5.89	10.429
2004	Romania	RO	21451748	76216441462.1442	9.311	13.937	3.736	1.255	10.854	0.001	0.0	0.0	100.038	6.299	5.705	10.377
2005	Romania	RO	21319685	99697566667.8107	8.788	13.923	4.572	1.257	10.509	0.001	0.0	0.0	94.955	5.795	5.437	9.701
2006	Romania	RO	21193760	123533036667.853	9.515	14.353	4.154	1.274	10.311	0.001	0.0	0.0	98.639	6.48	4.996	9.568
2007	Romania	RO	20882982	171536685395.563	10.145	12.734	3.613	1.744	10.338	0.009	0.0	0.001	96.574	6.858	4.745	9.233
2008	Romania	RO	20537875	208181626900.631	9.603	12.588	3.891	2.54	10.384	0.007	0.0	0.001	94.86	6.963	4.719	9.035
2009	Romania	RO	20367487	167422949529.4	7.556	10.536	3.515	2.659	9.186	0.005	0.0	0.002	79.769	6.565	4.498	8.938
2010	Romania	RO	20246871	167998080493.408	7.008	10.788	4.499	2.63	8.753	0.095	0.0	0.069	77.398	5.904	4.287	8.625
2011	Romania	RO	20147528	185362855081.021	8.162	11.048	3.333	2.658	9.117	0.359	0.0	0.314	83.064	6.662	4.222	8.667
2012	Romania	RO	20058035	171664638717.49	7.603	11.17	2.73	2.595	9.205	0.647	0.002	0.597	81.108	6.346	3.982	9.019
2013	Romania	RO	19983693	191549024910.604	5.755	10.173	3.347	2.629	8.402	1.175	0.095	1.023	69.402	4.657	4.131	8.605
2014	Romania	RO	19908979	199493490982.921	5.745	9.489	4.191	2.642	8.953	1.476	0.293	1.069	69.43	4.449	4.052	8.766
