year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1985	Russian Federation	RU	143858000	NA	198.098	315.375	36.142	22.473	247.358	0.0	0.0	0.0	2193.405	185.806	542.306	376.306
1986	Russian Federation	RU	144894000	NA	203.479	319.032	37.184	23.809	250.384	0.0	0.0	0.0	2232.083	192.173	561.182	409.683
1987	Russian Federation	RU	145908000	NA	206.583	337.439	36.776	28.217	252.497	0.0	0.0	0.0	2290.835	193.731	569.481	443.321
1988	Russian Federation	RU	146857000	NA	203.534	356.09	36.413	30.505	250.562	0.0	0.0	0.0	2315.502	199.957	568.779	480.38
1989	Russian Federation	RU	147721000	506500154001.466	196.807	361.384	36.142	30.85	255.29	0.0	0.0	0.0	2314.203	192.346	552.226	501.557
1990	Russian Federation	RU	148292000	516814258695.568	182.306	366.841	37.753	26.774	251.734	0.015	0.0	0.0	2258.427	185.561	515.891	531.041
1991	Russian Federation	RU	148624000	517962962962.963	167.06	376.371	38.042	27.154	245.347	0.015	0.0	0.0	2193.03	170.644	461.944	523.71
1992	Russian Federation	RU	148689000	460290556900.726	156.983	364.317	39.061	27.073	234.997	0.014	0.0	0.0	2096.745	163.634	398.81	524.525
1993	Russian Federation	RU	148520000	435083713850.837	141.691	363.258	39.645	26.973	196.228	0.014	0.0	0.0	1919.945	147.577	354.875	503.593
1994	Russian Federation	RU	148336000	395077301248.464	123.923	341.268	39.787	22.14	172.89	0.014	0.0	0.0	1749.847	131.34	317.578	494.633
1995	Russian Federation	RU	148375726	395531066563.296	119.376	329.865	40.058	22.491	150.598	0.013	0.0	0.0	1639.378	124.714	310.749	479.321
1996	Russian Federation	RU	148160042	391719993756.828	117.166	331.705	34.853	24.668	129.559	0.013	0.0	0.0	1586.155	120.76	302.873	489.176
1997	Russian Federation	RU	147915307	404926534140.017	108.035	305.919	35.645	24.509	128.355	0.013	0.0	0.0	1484.176	116.036	307.42	463.683
1998	Russian Federation	RU	147670692	270953116950.026	101.157	318.462	35.916	23.559	123.106	0.013	0.0	0.0	1467.858	108.835	304.34	479.403
1999	Russian Federation	RU	147214392	195905767668.562	101.977	317.484	36.413	27.145	125.684	0.013	0.0	0.0	1467.725	117.78	304.768	482.172
2000	Russian Federation	RU	146596557	259708496267.33	105.766	324.326	37.411	29.534	123.241	0.018	0.0	0.0	1474.389	121.495	326.665	475.656
2001	Russian Federation	RU	145976083	306602673980.117	103.174	329.62	39.809	30.983	127.091	0.026	0.0	0.001	1487.902	128.388	351.695	473.62
2002	Russian Federation	RU	145306046	345110438692.185	103.606	333.611	37.142	32.053	122.067	0.041	0.0	0.001	1488.11	122.571	383.715	484.941
2003	Russian Federation	RU	144648257	430347770731.787	104.249	341.511	35.667	33.631	126.468	0.085	0.0	0.002	1517.522	132.46	425.733	505.385
2004	Russian Federation	RU	144067054	591016690742.798	99.893	350.389	40.195	32.748	124.697	0.103	0.0	0.002	1513.199	137.08	463.304	515.973
2005	Russian Federation	RU	143518523	764017107992.391	94.575	354.624	39.494	33.4	125.019	0.104	0.0	0.002	1489.404	135.558	474.829	522.081
2006	Russian Federation	RU	143049528	989930542278.695	97.022	373.52	39.647	35.412	130.389	0.116	0.0	0.001	1559.035	140.98	485.646	535.638
2007	Russian Federation	RU	142805088	1299705247685.76	93.916	379.792	40.498	36.217	129.968	0.111	0.0	0.001	1552.405	143.475	496.79	532.833
2008	Russian Federation	RU	142742350	1660844408499.61	100.718	374.416	37.726	36.902	133.628	0.112	0.0	0.001	1578.265	148.954	493.694	541.548
2009	Russian Federation	RU	142785342	1222643696991.85	92.154	350.682	39.855	37.015	128.179	0.113	0.0	0.001	1464.125	141.718	500.84	474.889
2010	Russian Federation	RU	142849449	1524915341870.26	90.543	372.734	38.061	38.542	133.282	0.122	0.0	0.001	1509.842	150.953	511.813	529.975
2011	Russian Federation	RU	142960868	2031768558633.76	94.017	382.11	37.279	39.155	142.219	0.128	0.0	0.001	1572.089	157.577	518.846	546.308
2012	Russian Federation	RU	143201676	2170143623038.25	98.426	374.614	37.226	40.209	144.636	0.116	0.001	0.001	1582.177	168.286	526.172	533.047
2013	Russian Federation	RU	143506911	2230625004654.86	90.517	372.116	40.589	39.14	144.328	0.112	0.002	0.001	1533.775	173.117	531.133	544.243
2014	Russian Federation	RU	143819666	2063662281004.85	87.552	368.743	39.569	40.902	152.271	0.138	0.006	0.022	1542.241	176.592	534.129	523.57
2015	Russian Federation	RU	144096870	1365865245098.8	92.163	362.509	38.454	44.231	144.176	0.153	0.01	0.033	1521.909	186.383	540.738	517.622
2016	Russian Federation	RU	144096870	NA	87.309	351.765	42.227	44.49	147.986	0.165	0.021	0.033	1490.076	192.771	554.332	521.452
