year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Slovakia	SK	4370983	NA	6.039	0.289	0.503	0.0	2.298	0.0	0.0	0.0	31.116	0	0	0
1966	Slovakia	SK	4411666	NA	6.115	0.321	0.482	0.0	2.539	0.0	0.0	0.0	32.144	0	0	0
1967	Slovakia	SK	4449367	NA	5.896	0.385	0.413	0.0	2.825	0.0	0.0	0.0	32.259	0	0	0
1968	Slovakia	SK	4483915	NA	6.201	0.766	0.379	0.0	3.116	0.0	0.0	0.0	35.11	0	0	0
1969	Slovakia	SK	4518607	NA	6.522	0.777	0.295	0.0	3.345	0.0	0.0	0.0	37.022	0	0	0
1970	Slovakia	SK	4538223	NA	6.576	1.043	0.445	0.0	4.014	0.0	0.0	0.0	39.738	0	0	0
1971	Slovakia	SK	4557449	NA	6.898	1.309	0.334	0.0	4.418	0.0	0.0	0.0	42.524	0	0	0
1972	Slovakia	SK	4596622	NA	7.021	1.421	0.35	0.001	4.839	0.0	0.0	0.0	44.319	0	0	0
1973	Slovakia	SK	4641445	NA	6.827	1.561	0.299	0.053	5.444	0.0	0.0	0.0	45.699	0	0	0
1974	Slovakia	SK	4689623	NA	6.804	1.903	0.503	0.111	5.587	0.0	0.0	0.0	46.795	0	0	0
1975	Slovakia	SK	4739105	NA	6.775	2.179	0.453	0.042	6.164	0.0	0.0	0.0	49.004	0	0	0
1976	Slovakia	SK	4789507	NA	6.715	2.406	0.457	0.1	6.516	0.0	0.0	0.0	50.456	0	0	0
1977	Slovakia	SK	4840501	NA	6.897	2.734	0.545	0.025	6.813	0.0	0.0	0.0	52.778	0	0	0
1978	Slovakia	SK	4890125	NA	7.232	3.064	0.511	0.004	7.048	0.0	0.0	0.0	55.504	0	0	0
1979	Slovakia	SK	4938973	NA	7.113	3.162	0.426	0.486	7.163	0.0	0.0	0.0	56.54	0	0	0
1980	Slovakia	SK	4979815	NA	8.096	2.318	0.511	1.024	6.668	0.0	0.0	0.0	56.655	0	0	0
1981	Slovakia	SK	5016105	NA	7.879	2.406	0.445	1.161	6.571	0.0	0.0	0.0	55.759	0	0	0
1982	Slovakia	SK	5055099	NA	8.02	2.513	0.391	1.322	5.994	0.0	0.0	0.0	54.912	0	0	0
1983	Slovakia	SK	5091971	NA	8.031	2.58	0.415	1.392	5.867	0.0	0.0	0.0	54.742	0	0	0
1984	Slovakia	SK	5127097	NA	8.543	2.929	0.352	1.639	6.219	0.0	0.0	0.0	58.671	0	0	0
1985	Slovakia	SK	5161768	NA	8.475	3.009	0.479	2.124	6.18	0.0	0.0	0.0	58.426	0	0	0
1986	Slovakia	SK	5193838	NA	7.828	3.223	0.379	2.652	5.967	0.0	0.0	0.0	55.63	0	0	0
1987	Slovakia	SK	5222840	NA	8.223	3.404	0.437	2.605	5.868	0.0	0.0	0.0	56.683	0	0	0
1988	Slovakia	SK	5250596	NA	8.57	3.351	0.397	2.596	5.727	0.0	0.0	0.0	57.263	0	0	0
1989	Slovakia	SK	5275942	NA	8.266	3.788	0.444	2.752	5.668	0.0	0.0	0.0	53.262	0	0	0
1990	Slovakia	SK	5299187	12694544692.7374	7.824	5.088	0.425	2.723	4.966	0.0	0.0	0.0	54.305	0	0	0
1991	Slovakia	SK	5303294	14213045493.8806	6.955	4.525	0.319	2.645	4.353	0.0	0.0	0.0	48.18	0	0	0
1992	Slovakia	SK	5305016	15431288006.2104	6.155	4.978	0.438	2.5	3.92	0.0	0.0	0.0	45.794	0	0	0
1993	Slovakia	SK	5325305	16452201100.9604	6.121	4.929	0.784	2.599	3.244	0.0	0.0	0.0	43.151	0	0	0
1994	Slovakia	SK	5346331	20079363625.5784	5.459	4.706	0.985	2.85	3.348	0.0	0.0	0.0	40.248	0	0	0
1995	Slovakia	SK	5361999	25733043137.2549	5.39	5.217	1.104	2.588	3.241	0.0	0.0	0.0	40.786	0	0	0
1996	Slovakia	SK	5373361	27821913814.9556	5.339	5.498	0.956	2.545	3.399	0.0	0.0	0.0	41.042	0	0	0
1997	Slovakia	SK	5383291	27660149541.1805	5.089	5.58	0.92	2.506	3.393	0.0	0.0	0.0	40.003	0	0	0
1998	Slovakia	SK	5390516	29828899205.7277	4.69	5.67	0.966	2.578	3.785	0.0	0.0	0.0	40.087	0	0	0
1999	Slovakia	SK	5396020	30415095887.492	4.556	5.738	1.012	2.968	3.431	0.0	0.0	0.0	38.669	0	0	0
2000	Slovakia	SK	5388720	29114875621.8905	4.278	5.776	1.044	3.732	3.41	0.0	0.0	0.0	36.92	0	0	0
2001	Slovakia	SK	5378867	30703017449.6644	4.433	6.168	1.115	3.87	3.188	0.035	0.0	0.0	38.586	0	0	0
2002	Slovakia	SK	5376912	35083608130.9994	4.273	5.867	1.192	4.062	3.539	0.034	0.0	0.0	38.134	0	0	0
2003	Slovakia	SK	5373374	46731767494.3567	4.595	5.669	0.744	4.043	3.332	0.023	0.0	0.0	38.338	0	0	0
2004	Slovakia	SK	5372280	57240535137.8197	4.53	5.498	0.904	3.853	3.184	0.006	0.0	0.001	37.376	0	0	0
2005	Slovakia	SK	5372807	62697540106.9519	4.231	5.903	1.023	4.011	3.827	0.009	0.0	0.002	38.445	0	0	0
