year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1985	Turkmenistan	TM	3229499	NA	0.322	7.542	0.137	0.0	4.861	0.0	0.0	0.0	34.398	0	6.78	67.757
1986	Turkmenistan	TM	3310059	NA	0.322	12.217	0.024	0.0	3.538	0.0	0.0	0.0	41.184	0	6.56	68.986
1987	Turkmenistan	TM	3392823	2331358819.75954	0.322	12.135	0.182	0.0	3.534	0.0	0.0	0.0	40.977	0	6.47	71.756
1988	Turkmenistan	TM	3479088	3010982414.24425	0.276	12.298	0.226	0.0	3.53	0.0	0.0	0.0	41.165	0	5.72	71.919
1989	Turkmenistan	TM	3570558	3006988216.55045	0.322	12.706	0.024	0.0	3.526	0.0	0.0	0.0	42.289	0	5.75	73.222
1990	Turkmenistan	TM	3668000	3189539641.3171	0.368	8.56	0.158	0.0	4.606	0.0	0.0	0.0	36.11	0	5.7	71.511
1991	Turkmenistan	TM	3772350	3208098919.0146	0.322	8.389	0.158	0.0	5.156	0.0	0.0	0.0	37.275	0	5.4	68.661
1992	Turkmenistan	TM	3881973	3200539816.0601	0.138	8.145	0.001	0.0	5.008	0.0	0.0	0.0	35.424	0	5.2	48.95
1993	Turkmenistan	TM	3991917	3179225948.58114	0.0	8.145	0.001	0.0	2.852	0.0	0.0	0.0	28.031	0	4.382	53.186
1994	Turkmenistan	TM	4095512	2561118608.35516	0.005	8.878	0.001	0.0	2.86	0.0	0.0	0.0	29.779	0	4.192	29.077
1995	Turkmenistan	TM	4188010	2482228439.71407	0.005	7.004	0.001	0.0	2.632	0.0	0.0	0.0	24.671	0	4.07	26.308
1996	Turkmenistan	TM	4267690	2379281767.9558	0.046	8.715	0.001	0.0	3.057	0.0	0.0	0.0	30.165	0	4.355	28.669
1997	Turkmenistan	TM	4335991	2450084970.24741	0.0	8.796	0.001	0.0	2.987	0.0	0.0	0.0	29.948	0	5.368	14.09
1998	Turkmenistan	TM	4395293	2605688065.08338	0.0	8.959	0.001	0.0	3.831	0.0	0.0	0.0	32.908	0	6.369	10.833
1999	Turkmenistan	TM	4449427	2450686659.778	0.0	9.856	0.001	0.0	4.187	0.0	0.0	0.0	36.092	0	7.063	18.57
2000	Turkmenistan	TM	4501419	2904662604.82053	0.0	10.996	0.001	0.0	4.001	0.0	0.0	0.0	38.263	0	7.062	38.281
2001	Turkmenistan	TM	4551762	3534771968.51189	0.0	11.24	0.001	0.0	3.804	0.0	0.0	0.0	38.24	0	7.911	41.783
2002	Turkmenistan	TM	4600172	4462028988.72949	0.0	11.566	0.001	0.0	4.346	0.0	0.0	0.0	40.695	0	8.892	43.575
2003	Turkmenistan	TM	4648036	5977440582.80171	0.0	12.787	0.001	0.0	4.958	0.0	0.0	0.0	45.464	0	9.906	48.124
2004	Turkmenistan	TM	4696876	6838351088.46688	0.0	13.521	0.001	0.0	4.942	0.0	0.0	0.0	47.174	0	9.573	47.484
2005	Turkmenistan	TM	4747839	8104355716.8784	0.0	14.498	0.001	0.0	4.977	0.0	0.0	0.0	49.585	0	9.494	51.312
2006	Turkmenistan	TM	4801594	10277598152.4249	0.0	16.534	0.001	0.0	4.849	0.0	0.0	0.0	53.994	0	9.194	54.326
2007	Turkmenistan	TM	4858235	12664165103.1895	0.0	19.14	0.001	0.0	5.091	0.0	0.0	0.0	60.861	0	9.814	58.887
2008	Turkmenistan	TM	4917541	19271523178.8079	0.0	19.266	0.001	0.0	5.224	0.0	0.0	0.0	61.577	0	10.397	59.457
2009	Turkmenistan	TM	4978960	20214385964.9123	0.0	17.688	0.001	0.0	5.022	0.0	0.0	0.0	57.315	0	10.496	32.742
2010	Turkmenistan	TM	5041995	22583157894.7368	0.0	20.361	0.001	0.0	5.547	0.0	0.0	0.0	65.228	0	10.796	38.118
2011	Turkmenistan	TM	5106672	29233333333.3333	0.0	21.19	0.0	0.0	5.767	0.0	0.0	0.0	67.824	0	10.796	53.594
2012	Turkmenistan	TM	5172941	35164210526.3158	0.0	23.684	0.0	0.0	6.01	0.0	0.0	0.0	74.471	0	11.199	56.059
2013	Turkmenistan	TM	5240088	39197543859.6491	0.0	20.582	0.0	0.0	6.179	0.0	0.0	0.0	67.592	0	11.683	56.115
2014	Turkmenistan	TM	5307188	43513684210.5263	0.0	23.013	0.0	0.0	6.463	0.001	0.001	0.0	74.196	0	12.121	60.398
2015	Turkmenistan	TM	5373502	35854571428.5714	0.0	26.474	0.0	0.0	6.618	0.001	0.001	0.0	82.808	0	12.724	62.618
2016	Turkmenistan	TM	5373502	NA	0.0	26.553	0.0	0.0	6.689	0.001	0.001	0.0	83.217	0	12.702	60.112
