year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Trinidad and Tobago	TT	912419	736568861.926151	0.0	1.052	0.0	0.0	1.901	0.0	0.0	0.0	7.783	0	6.671	0
1966	Trinidad and Tobago	TT	919902	723735635.536371	0.0	1.234	0.0	0.0	1.915	0.0	0.0	0.0	8.142	0	7.563	0
1967	Trinidad and Tobago	TT	925918	761981474.023359	0.0	1.362	0.0	0.0	1.997	0.0	0.0	0.0	8.625	0	8.851	0
1968	Trinidad and Tobago	TT	931466	758899950	0.0	1.429	0.0	0.0	2.035	0.0	0.0	0.0	8.862	0	9.485	0
1969	Trinidad and Tobago	TT	937846	779200000	0.0	1.437	0.0	0.0	2.133	0.0	0.0	0.0	9.184	0	7.775	0
1970	Trinidad and Tobago	TT	945996	821850000	0.0	1.644	0.0	0.0	2.188	0.0	0.0	0.0	9.718	0	6.934	1.644
1971	Trinidad and Tobago	TT	956364	896754316.674262	0.0	1.602	0.0	0.0	2.261	0.008	0.0	0.0	9.874	0	6.389	1.602
1972	Trinidad and Tobago	TT	968742	1083381044.08473	0.0	1.656	0.0	0.0	3.732	0.008	0.0	0.0	14.305	0	7.002	1.656
1973	Trinidad and Tobago	TT	982594	1308799458.96284	0.0	1.591	0.0	0.0	3.751	0.007	0.0	0.0	14.179	0	8.221	1.591
1974	Trinidad and Tobago	TT	997052	2042031901.42217	0.0	1.453	0.0	0.0	3.7	0.006	0.0	0.0	13.313	0	9.261	1.453
1975	Trinidad and Tobago	TT	1011487	2442667573.04821	0.0	1.321	0.0	0.0	2.822	0.005	0.0	0.0	10.212	0	10.697	1.321
1976	Trinidad and Tobago	TT	1025655	2500410583.79177	0.0	1.487	0.0	0.0	3.181	0.004	0.0	0.0	11.708	0	10.528	1.487
1977	Trinidad and Tobago	TT	1039757	3138666666.66667	0.0	1.747	0.0	0.0	3.101	0.005	0.0	0.0	11.745	0	11.341	1.747
1978	Trinidad and Tobago	TT	1054109	3562333458.33333	0.0	2.086	0.0	0.0	2.773	0.007	0.0	0.0	10.955	0	11.391	2.086
1979	Trinidad and Tobago	TT	1069199	4602416625	0.0	2.156	0.0	0.0	2.123	0.007	0.0	0.0	9.141	0	10.598	2.156
1980	Trinidad and Tobago	TT	1085308	6235833333.33333	0.0	2.436	0.0	0.0	1.67	0.006	0.0	0.0	8.573	0	10.528	2.436
1981	Trinidad and Tobago	TT	1102562	6992083333.33333	0.0	2.684	0.0	0.0	1.654	0.004	0.0	0.0	9.582	0	9.36	2.684
1982	Trinidad and Tobago	TT	1120610	8140416666.66667	0.0	3.262	0.0	0.0	1.836	0.004	0.0	0.0	9.919	0	8.766	3.262
1983	Trinidad and Tobago	TT	1138673	7763750000	0.0	3.379	0.0	0.0	1.584	0.004	0.0	0.0	8.967	0	7.924	3.379
1984	Trinidad and Tobago	TT	1155701	7757083333.33333	0.0	3.54	0.0	0.0	1.35	0.003	0.0	0.0	8.144	0	8.442	3.54
1985	Trinidad and Tobago	TT	1170935	7375918367.34694	0.0	3.624	0.0	0.0	1.438	0.004	0.0	0.0	8.401	0	8.636	3.624
1986	Trinidad and Tobago	TT	1184053	4794444444.44444	0.0	3.709	0.0	0.0	1.558	0.006	0.0	0.0	9.103	0	8.298	3.709
1987	Trinidad and Tobago	TT	1195243	4797777777.77778	0.0	3.929	0.0	0.0	1.021	0.007	0.0	0.0	7.954	0	7.614	3.929
1988	Trinidad and Tobago	TT	1204890	4496852073.46896	0.0	4.522	0.0	0.0	0.92	0.006	0.0	0.0	8.328	0	7.445	4.522
1989	Trinidad and Tobago	TT	1213625	4323058823.52941	0.0	4.531	0.0	0.0	0.826	0.006	0.0	0.0	8.035	0	7.343	4.531
1990	Trinidad and Tobago	TT	1221904	5068000000	0.0	4.698	0.0	0.0	1.265	0.007	0.0	0.0	9.648	0	7.375	4.698
