year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	United States	US	194303000	743700000000	291.826	397.364	45.023	0.871	551.336	0.078	0.0	0.0	3631.209	0	427.694	0
1966	United States	US	196560000	815000000000	306.0	428.275	45.241	1.315	578.854	0.087	0.0	0.0	3836.658	0	454.539	0
1967	United States	US	198712000	861700000000	300.221	452.201	51.414	1.823	601.038	0.107	0.0	0.0	3938.29	0	484.222	0
1968	United States	US	200706000	942500000000	310.728	484.075	51.626	2.984	642.782	0.142	0.0	0.0	4169.46	0	502.88	0
1969	United States	US	202677000	1019900000000	312.01	521.076	57.933	3.317	678.485	0.181	0.0	0.0	4354.298	0	511.352	0
1970	United States	US	205052000	1075884000000	309.061	549.217	57.359	5.193	705.692	0.186	0.0	0.0	4488.414	0	533.49	545.966
1971	United States	US	207661000	1167770000000	292.275	566.211	61.604	9.076	729.641	0.183	0.0	0.0	4531.597	0	525.888	561.441
1972	United States	US	209896000	1282449000000	304.333	571.985	63.066	12.884	788.87	0.407	0.0	0.0	4759.316	0	527.888	559.621
1973	United States	US	211909000	1428549000000	326.876	567.303	62.953	19.883	833.138	0.523	0.0	0.0	4962.382	0	514.652	559.112
1974	United States	US	213854000	1548825000000	319.099	547.649	69.531	27.147	799.738	0.622	0.0	0.0	4788.195	0	491.406	534.487
1975	United States	US	215973000	1688923000000	319.097	502.678	69.289	41.088	783.471	0.798	0.0	0.0	4647.536	0	469.77	494.928
1976	United States	US	218035000	1877587000000	342.313	512.696	65.58	45.518	841.268	0.903	0.0	0.0	4930.107	0	457.98	490.896
1977	United States	US	220239000	2085951000000	350.831	502.24	51.106	59.756	888.263	0.947	0.0	0.0	5087.773	0	462.804	493.038
1978	United States	US	222585000	2356571000000	346.887	504.002	64.789	65.835	869.525	0.773	0.0	0.0	5031.497	0	484.206	491.019
1979	United States	US	225055000	2632143000000	378.991	520.77	64.7	60.774	851.281	1.021	0.0	0.0	5140.769	0	476.991	505.915
1980	United States	US	227225000	2862505000000	388.648	509.925	63.81	59.812	788.148	1.293	0.0	0.0	4970.228	0	480.193	501.663
1981	United States	US	229466000	3210956000000	400.863	497.624	60.305	64.947	734.297	1.427	0.0	0.0	4807.578	463.087	478.797	496.41
1982	United States	US	231664000	3344991000000	386.097	462.569	71.396	67.352	694.069	1.215	0.0	0.0	4559.706	469.689	480.723	461.632
1983	United States	US	233792000	3638137000000	400.533	433.958	76.634	69.949	688.918	1.519	0.001	0.001	4539.962	434.609	482.963	418.146
1984	United States	US	235825000	4040693000000	430.172	463.511	74.125	78.037	713.027	2.007	0.001	0.001	4751.862	496.916	496.137	453.792
1985	United States	US	237924000	4346734000000	440.449	446.12	64.982	91.389	709.948	2.478	0.002	0.001	4765.732	486.986	498.705	427.898
1986	United States	US	240133000	4590155000000	434.955	418.095	67.198	98.617	739.905	2.658	0.003	0.001	4769.837	491.63	482.329	416.821
1987	United States	US	242289000	4870217000000	453.805	444.516	57.793	108.438	754.83	2.839	0.002	0.001	4922.884	507.547	467.26	431.815
1988	United States	US	244499000	5252629000000	474.919	464.892	51.678	125.517	786.622	2.766	0.002	0.0	5152.07	522.58	459.062	443.477
1989	United States	US	246819000	5657693000000	480.55	493.954	62.163	126.084	785.892	11.595	0.057	0.483	5249.127	537.899	429.033	449.744
1990	United States	US	249623000	5979589000000	483.142	493.991	66.136	137.399	771.4	13.723	0.084	0.637	5161.028	565.894	416.617	461.811
1991	United States	US	252981000	6174043000000	478.582	504.822	65.015	145.903	754.358	14.484	0.108	0.674	5117.454	544.158	422.897	459.356
1992	United States	US	256514000	6539299000000	481.878	521.975	56.891	147.383	771.128	15.419	0.093	0.66	5201.31	545.036	413.032	463.045
1993	United States	US	259919000	6878718000000	499.837	534.959	63.188	145.362	777.375	15.938	0.108	0.687	5318.279	510.269	397.006	468.31
1994	United States	US	263126000	7308755000000	501.71	547.538	58.682	152.543	797.964	15.916	0.114	0.788	5398.939	557.183	387.499	487.562
1995	United States	US	266278000	7664060000000	506.227	571.303	70.421	160.394	795.521	15.155	0.116	0.723	5436.073	555.127	383.554	480.864
1996	United States	US	269394000	8100201000000	529.239	581.723	78.642	160.71	823.642	15.53	0.122	0.739	5624.498	571.616	382.058	487.467
1997	United States	US	272657000	8608515000000	540.415	585.203	80.548	149.733	834.992	15.765	0.121	0.752	5714.711	584.912	379.95	488.717
1998	United States	US	275854000	9089168000000	545.716	575.312	72.881	160.465	850.566	15.658	0.119	0.692	5747.887	603.161	368.13	494.247
1999	United States	US	279040000	9660624000000	544.879	577.303	71.64	173.459	874.375	16.185	0.117	1.026	5793.54	584.279	352.626	487.378
2000	United States	US	282162411	10284779000000	568.995	600.354	61.719	179.565	882.843	16.462	0.117	1.278	5976.013	570.094	347.57	495.462
2001	United States	US	284968955	10621824000000	552.23	573.859	47.572	183.122	882.807	16.792	0.13	1.54	5863.577	590.284	344.533	508.164
2002	United States	US	287625193	10977514000000	551.971	592.444	58.417	185.799	883.545	18.747	0.136	2.367	5897.142	570.068	341.952	488.42
2003	United States	US	290107933	11510670000000	562.478	575.323	61.088	181.909	899.399	18.836	0.138	2.557	5968.585	553.631	332.548	494.751
2004	United States	US	292805298	12274928000000	566.139	577.651	59.41	187.815	935.164	19.67	0.158	3.233	6071.054	572.371	325.372	480.663
2005	United States	US	295516599	13093726000000	574.463	568.638	60.286	186.257	938.395	20.667	0.169	4.071	6108.159	580.188	308.955	467.604
2006	United States	US	298379912	13855888000000	565.659	560.407	64.611	187.503	930.661	22.8	0.187	6.077	6029.18	595.099	304.507	479.339
2007	United States	US	301231207	14477635000000	573.277	596.291	54.995	192.078	928.77	24.837	0.248	7.874	6132.42	587.719	305.12	498.604
2008	United States	US	304093966	14718582000000	564.154	600.832	56.807	192.026	875.359	29.666	0.37	12.654	5954.086	596.724	302.256	521.704
2009	United States	US	306771529	14418739000000	496.21	590.072	61.441	190.275	833.162	33.911	0.47	16.887	5529.795	540.75	322.404	532.705
