year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	Viet Nam	VN	38341000	NA	0.898	0.0	0.077	0.0	1.486	0.0	0.0	0.0	8.226	0	0	0
1966	Viet Nam	VN	39142000	NA	0.943	0.0	0.088	0.0	3.247	0.0	0.0	0.0	13.944	0	0	0
1967	Viet Nam	VN	39980000	NA	1.033	0.0	0.097	0.0	4.756	0.0	0.0	0.0	19.046	0	0	0
1968	Viet Nam	VN	40856000	NA	1.146	0.0	0.109	0.0	4.852	0.0	0.0	0.0	19.795	0	0	0
1969	Viet Nam	VN	41773000	NA	1.222	0.0	0.122	0.0	5.864	0.0	0.0	0.0	23.276	0	0	0
1970	Viet Nam	VN	42729000	NA	1.305	0.0	0.136	0.0	6.079	0.0	0.0	0.0	24.282	0	0	0.0
1971	Viet Nam	VN	43725000	NA	1.433	0.0	0.139	0.0	5.143	0.0	0.0	0.0	21.846	0	0	0.0
1972	Viet Nam	VN	44758000	NA	1.078	0.0	0.095	0.0	5.335	0.0	0.0	0.0	21.119	0	0	0.0
1973	Viet Nam	VN	45825000	NA	1.552	0.0	0.095	0.0	5.241	0.0	0.0	0.0	22.7	0	0	0.0
1974	Viet Nam	VN	46918000	NA	1.854	0.0	0.095	0.0	3.191	0.0	0.0	0.0	17.295	0	0	0.0
1975	Viet Nam	VN	48030000	NA	2.577	0.0	0.113	0.0	3.038	0.0	0.0	0.0	19.762	0	0	0.0
1976	Viet Nam	VN	49158000	NA	2.433	0.0	0.126	0.0	0.793	0.0	0.0	0.0	12.052	0	0	0.0
1977	Viet Nam	VN	50295000	NA	2.667	0.0	0.136	0.0	0.795	0.0	0.0	0.0	12.863	0	0	0.0
1978	Viet Nam	VN	51436000	NA	2.578	0.0	0.181	0.0	0.965	0.0	0.0	0.0	13.076	0	0	0.0
1979	Viet Nam	VN	52574000	NA	2.666	0.0	0.226	0.0	1.113	0.0	0.0	0.0	13.894	0	0	0.0
1980	Viet Nam	VN	53700000	NA	2.274	0.0	0.337	0.0	1.931	0.0	0.0	0.0	14.94	0	0	0.0
1981	Viet Nam	VN	54722000	NA	2.532	0.009	0.341	0.0	1.683	0.0	0.0	0.0	15.198	3.36	0	0.009
1982	Viet Nam	VN	55687000	NA	2.8	0.017	0.353	0.0	1.709	0.0	0.0	0.0	16.36	3.528	0	0.017
1983	Viet Nam	VN	56655000	NA	2.818	0.059	0.277	0.0	1.958	0.0	0.0	0.0	17.35	3.528	0	0.059
1984	Viet Nam	VN	57692000	NA	2.821	0.051	0.362	0.0	1.915	0.0	0.0	0.0	17.207	2.8	0	0.051
1985	Viet Nam	VN	58868000	14094687820.7445	2.804	0.032	0.334	0.0	1.943	0.0	0.0	0.0	17.365	3.136	0	0.032
1986	Viet Nam	VN	60249000	26336617261.6954	3.09	0.033	0.318	0.0	2.17	0.0	0.0	0.0	18.947	3.416	0	0.033
1987	Viet Nam	VN	61750000	36658108340.6777	3.445	0.033	0.313	0.0	2.531	0.0	0.0	0.0	21.45	3.528	0.28	0.033
1988	Viet Nam	VN	63263000	25423812719.4906	3.227	0.025	0.405	0.0	2.643	0.0	0.0	0.0	20.907	3.416	0.69	0.025
