year	country	country_code	population	gdp	coal	gas	hydro	nuclear	oil	other_renewables	solar	wind	co2	coal_production	oil_production	gas_production
1965	South Africa	ZA	19813947	11002379672.4066	24.657	0.0	0.0	0.0	5.606	0.0	0.0	0.0	115.227	0	0	0
1966	South Africa	ZA	20325230	11994960100.798	24.345	0.0	0.0	0.0	6.093	0.0	0.0	0.0	115.519	0	0	0
1967	South Africa	ZA	20843785	13382332493.3501	25.048	0.0	0.0	0.0	6.623	0.0	0.0	0.0	118.897	0	0	0
1968	South Africa	ZA	21374931	14475710065.7987	26.219	0.0	0.0	0.0	7.201	0.0	0.0	0.0	125.256	0	0	0
1969	South Africa	ZA	21926165	16315273134.5373	26.477	0.0	0.0	0.0	7.919	0.0	0.0	0.0	128.424	0	0	0
1970	South Africa	ZA	22502502	17907041999.16	27.352	0.0	0.0	0.0	8.582	0.0	0.0	0.0	133.865	0	0	0
1971	South Africa	ZA	23106806	19765101370.2461	29.25	0.0	0.021	0.0	9.388	0.0	0.0	0.0	141.38	0	0	0
1972	South Africa	ZA	23736489	20753220241.967	29.457	0.0	0.187	0.0	10.24	0.0	0.0	0.0	144.763	0	0	0
1973	South Africa	ZA	24384538	28443804466.8588	31.378	0.0	0.043	0.0	11.303	0.0	0.0	0.0	155.595	0	0	0
1974	South Africa	ZA	25040940	35727741280.3532	32.871	0.0	0.254	0.0	11.011	0.0	0.0	0.0	160.856	0	0	0
1975	South Africa	ZA	25698856	36947938877.62	35.083	0.0	0.251	0.0	11.684	0.0	0.0	0.0	171.714	0	0	0
1976	South Africa	ZA	26354140	35473781048.758	36.835	0.0	0.424	0.0	11.811	0.0	0.0	0.0	179.205	0	0	0
1977	South Africa	ZA	27009755	39398574287.0285	38.159	0.0	0.44	0.0	11.697	0.0	0.0	0.0	184.086	0	0	0
1978	South Africa	ZA	27674446	45326587511.4995	37.062	0.0	0.431	0.0	12.287	0.0	0.0	0.0	181.189	0	0	0
1979	South Africa	ZA	28360820	55938240142.5178	39.531	0.0	0.262	0.0	11.65	0.0	0.0	0.0	189.175	0	0	0
1980	South Africa	ZA	29077143	80546993194.6584	42.711	0.227	0.227	0.0	11.983	0.0	0.0	0.0	202.646	0	0	0
1981	South Africa	ZA	29828874	86833985896.9762	50.633	0.22	0.374	0.0	12.979	0.0	0.0	0.0	235.421	74.861	0	0
1982	South Africa	ZA	30611206	80083518597.6498	55.511	0.2	0.23	0.0	13.145	0.0	0.0	0.0	255.351	82.817	0	0
1983	South Africa	ZA	31409913	86015133649.3755	56.38	0.227	0.135	0.0	13.269	0.0	0.0	0.0	257.239	83.697	0	0
1984	South Africa	ZA	32204952	85169436537.2766	60.751	0.228	0.127	0.935	14.448	0.0	0.0	0.0	276.354	93.722	0	0
1985	South Africa	ZA	32983013	67065070009.4607	62.388	0.215	0.141	1.266	14.116	0.0	0.0	0.0	282.147	99.757	0	0
1986	South Africa	ZA	33733547	79503484221.1697	63.256	0.225	0.367	2.097	13.623	0.0	0.0	0.0	283.604	101.738	0	0
1987	South Africa	ZA	34463077	104024659658.109	64.366	0.209	0.366	1.469	14.401	0.0	0.0	0.0	290.822	101.41	0	0
1988	South Africa	ZA	35195598	114630316416.931	69.641	0.21	0.715	2.5	15.874	0.0	0.0	0.0	314.16	104.191	0	0
1989	South Africa	ZA	35965131	124907439724.056	64.994	0.214	0.624	2.644	16.449	0.0	0.0	0.0	294.866	101.079	0	0
1990	South Africa	ZA	36793490	112014836393.151	67.317	0.235	0.229	2.013	16.593	0.0	0.0	0.0	305.631	100.149	0	0
1991	South Africa	ZA	37692367	120225985441.64	66.101	0.26	0.448	2.178	16.722	0.0	0.0	0.0	300.054	102.164	0	0
1992	South Africa	ZA	38646788	130513680154.278	66.353	0.679	0.17	2.213	17.276	0.0	0.0	0.0	304.995	104.602	0	0
1993	South Africa	ZA	39619539	134309807571.074	66.615	0.927	0.033	1.728	18.003	0.0	0.0	0.0	306.522	106.923	0	0
1994	South Africa	ZA	40558495	139752373972.063	68.756	0.958	0.243	2.311	18.783	0.0	0.0	0.0	317.404	111.128	0	0
1995	South Africa	ZA	41426810	155460234815.693	71.343	0.921	0.12	2.692	20.034	0.0	0.0	0.0	326.42	116.918	0	0
1996	South Africa	ZA	42210216	147608050636.15	72.443	0.949	0.298	2.805	20.669	0.014	0.0	0.0	332.029	116.946	0	0
1997	South Africa	ZA	42921506	152586031835.938	74.04	0.887	0.473	3.012	21.001	0.033	0.0	0.0	339.778	124.694	0	0
1998	South Africa	ZA	43584030	137774695403.65	71.817	1.01	0.361	3.24	21.315	0.052	0.0	0.0	333.321	126.07	0	0
1999	South Africa	ZA	44233730	136631881365.087	75.039	1.133	0.164	3.058	21.616	0.045	0.0	0.0	344.667	126.27	0	0
2000	South Africa	ZA	44896856	136361791002.623	74.632	1.058	0.249	3.099	21.991	0.069	0.0	0.0	343.353	126.634	0	0
2001	South Africa	ZA	45312937	121515880068.764	74.898	1.089	0.449	2.554	22.466	0.069	0.0	0.0	348.144	126.273	0	0
2002	South Africa	ZA	45855482.8828724	115482304201.808	71.247	0.939	0.539	2.857	23.051	0.063	0.005	0.0	337.002	124.359	0	0
2003	South Africa	ZA	46418193.8989267	175256866088.543	79.189	0.931	0.159	2.865	23.883	0.065	0.005	0.001	370.305	134.791	0	0
2004	South Africa	ZA	47001700.9913724	228593703990.959	86.768	1.927	0.215	3.024	24.77	0.067	0.005	0.003	408.506	137.093	0	0
2005	South Africa	ZA	47606670.2439658	257772766357.932	79.988	2.828	0.301	2.555	24.828	0.067	0.005	0.003	392.685	138.383	0	0
2006	South Africa	ZA	48233804.4849866	271638630111.497	81.473	3.127	0.656	2.666	25.256	0.068	0.005	0.003	401.311	138.254	0	0
2007	South Africa	ZA	48883844.9909288	299415359539.558	83.661	3.147	0.196	2.561	25.768	0.069	0.005	0.003	411.525	138.362	0	0
2008	South Africa	ZA	49557573.2955342	286769850239.675	93.336	3.366	0.272	2.942	24.428	0.072	0.005	0.005	447.477	140.978	0	0
2009	South Africa	ZA	50255813.1102008	295936471258.128	93.824	3.026	0.317	2.898	24.137	0.075	0.005	0.007	447.099	139.741	0	0
2010	South Africa	ZA	50979432.3622277	375349396273.835	92.823	3.525	0.478	2.738	25.619	0.08	0.008	0.008	449.197	144.104	0	0
2011	South Africa	ZA	51729345.3578159	416418862155.872	90.512	3.718	0.465	3.055	25.738	0.09	0.016	0.008	440.729	143.194	0	0
2012	South Africa	ZA	52506515.0772335	396342265529.842	88.339	3.972	0.273	2.705	26.521	0.096	0.021	0.008	435.571	146.565	0	0
2013	South Africa	ZA	53311955.6100823	367593603380.597	88.613	4.129	0.262	3.192	27.263	0.131	0.055	0.008	439.449	145.262	0	0
2014	South Africa	ZA	54146734.739162	351304928727.413	89.839	4.465	0.221	3.121	27.022	0.564	0.254	0.241	444.044	148.233	0	0
2015	South Africa	ZA	55011976.6820294	314571945857.401	83.35	4.56	0.178	2.769	27.868	1.385	0.622	0.695	421.833	142.891	0	0
2016	South Africa	ZA	55011976.6820294	NA	85.108	4.631	0.236	3.601	26.941	1.754	0.741	0.945	425.71	142.441	0	0
